arno2022	doi:10.7326/m22-0092
akinseloyin2026	doi:10.1093/biomethods/bpag006
degen2024	doi:10.31219/osf.io/ju8dk
fagerberg2025	doi:10.1101/2025.11.03.25339455
felizardo2024	doi:10.1145/3674805.3690743
fernandes2026	doi:10.2139/ssrn.7048543
gargari2023	doi:10.1136/bmjebm-2023-112678
gartlehner2025	doi:10.1002/cesm.70063
golob2025	doi:10.1101/2025.11.07.25339719
hamel2021	doi:10.1186/s12874-021-01451-2
hirt2021	doi:10.1111/jnu.12628
holst2025	doi:10.2196/80247
huang2026	doi:10.64898/2026.07.30.26359375
huotala2025	doi:10.1109/esem64174.2025.00053
knafou2023	doi:10.1186/s13643-023-02247-9
legate2024	doi:10.12688/f1000research.151493.2
lombaers2024	doi:10.3390/app14093842
luo2024	doi:10.2196/56780
madeyski2025	doi:10.1016/j.infsof.2026.108204
mughal2026	arxiv:2607.05031
napoleao2021	doi:10.1109/seaa53835.2021.00015
oami2025	doi:10.2196/64682
oconnor2024	doi:10.1186/s13643-024-02666-2
page2021	doi:10.1136/bmj.n71
petersen2008	doi:10.14236/ewic/EASE2008.8
rose2025	doi:10.1186/s12874-025-02631-0
safarpour2026	doi:10.1109/saner-c67878.2026.00047
song2026	doi:10.2196/76130
syriani2023	doi:10.1016/j.cola.2024.101287
vandinter2021	doi:10.1016/j.infsof.2021.106589
woelfle2024	doi:10.1016/j.jclinepi.2024.111533
wohlin2014	doi:10.1145/2601248.2601268
