date	kind	id	source	query_or_seed	direction	hits	screened	included_keys	excluded_keys	notes
2026-08-08	search	oa1	openalex	"large language model ""systematic review"""		50				
2026-08-08	search	oa2	openalex	"large language model ""literature review"""		50				
2026-08-08	search	oa3	openalex	"language model ""evidence synthesis"""		50				
2026-08-08	search	oa4	openalex	"citation screening ""language model"""		21				
2026-08-08	search	oa5	openalex	"data extraction ""large language model"" review"		50				
2026-08-08	search	s21	semanticscholar	large language model systematic review automation		50				
2026-08-08	search	s22	semanticscholar	LLM literature review screening agent		FAILED:HTTP Error 429: 				
2026-08-08	search	s23	semanticscholar	evidence synthesis language model reliability		FAILED:HTTP Error 429: 				
2026-08-08	search	cr1	crossref	large language model systematic review automation		50				
2026-08-08	search	ax1	arxiv	"all:""systematic review"" AND all:""large language model"""		50				
2026-08-08	search	ax2	arxiv	"all:""literature review"" AND all:""language model"" AND all:agent"		50				
2026-08-08	search	s22	semanticscholar	LLM literature review screening agent		50				
2026-08-08	search	s23	semanticscholar	evidence synthesis language model reliability		FAILED:persistent-429				
2026-08-09	audit	unified-ledger-migration	record							included.tsv and excluded.tsv merged into catalog.tsv (statuses included/excluded/parked; U rows became parked); searches.tsv became log.tsv with a kind column; marginals preserved: 646 included, 634 excluded, 12 parked, 1292 keys
2026-08-09	audit	retitle-evidence-synthesis	record							"survey retitled ""Agent-Assisted Systematic Review Methodology"" -> ""Agent-Assisted Evidence Synthesis""; slug agent-assisted-review-methodology -> agent-assisted-evidence-synthesis; declared scope unchanged (protocol already covered secondary studies broadly); review-centric query-vocabulary gap to be closed by new mapping/scoping/living-review qids this update"
2026-08-09	audit	critical-set-designation	record							priority column designated from syntheses/current-position.md: critical={degen2024,fagerberg2025,fernandes2026,holst2025,huang2026,huotala2025,luo2024,madeyski2025,song2026,vandinter2021,woelfle2024} (competing maps; load-bearing works for findings 2 and 4 incl. both watched preprints; the three unvalidated disclosure instruments); remaining 14 deep reads high; all other rows medium
2026-08-09	search	ax1	arxiv	"all:""systematic review"" AND all:""large language model"""		0	0			unique-keys:0
2026-08-09	search	ax2	arxiv	"all:""literature review"" AND all:""language model"" AND all:agent"		0	0			unique-keys:0
2026-08-09	search	ax3	arxiv	"all:""systematic mapping"" AND all:""language model"""		26	26	arxiv:2602.10147	arxiv:2211.15268,arxiv:2408.11961,arxiv:2411.05285,arxiv:2411.14473,arxiv:2412.06564,arxiv:2502.00015,arxiv:2502.03032,arxiv:2504.01990,arxiv:2504.14367,arxiv:2505.01469,arxiv:2505.18906,arxiv:2506.23749,arxiv:2507.12483,arxiv:2508.11698,arxiv:2509.25160,arxiv:2510.18787,arxiv:2512.01953,arxiv:2512.04116,arxiv:2512.06914,arxiv:2512.19466,arxiv:2602.22291,arxiv:2603.00399,arxiv:2603.14643,arxiv:2603.21654,arxiv:2607.21605	unique-keys:26
