key	via	year	title	id
arxiv:2305.11828	consensus	2023	Appraising the Potential Uses and Harms of LLMs for Medical Systematic Reviews	
arxiv:2306.14905	consensus	2023	PRISMA-DFLLM: An Extension of PRISMA for Systematic Literature Reviews using Domain-spec	
arxiv:2308.06610	consensus	2023	Bio-SIEVE: Exploring Instruction Tuning Large Language Models for Systematic Review Auto	
arxiv:2403.02574	consensus	2024	ChatCite: LLM Agent with Human Workflow Guidance for Comparative Literature Summary	
arxiv:2403.08399	consensus	2024	System for systematic literature review using multiple AI agents: Concept and an empiric	
arxiv:2405.14445	consensus	2024	Exploring the use of a Large Language Model for data extraction in systematic reviews: a	
arxiv:2406.17755	consensus	2024	Accelerating Clinical Evidence Synthesis with Large Language Models	
arxiv:2408.04646	consensus	2024	Efficacy of Large Language Models in Systematic Reviews	
arxiv:2409.04600	consensus	2024	The emergence of Large Language Models (LLM) as a tool in literature reviews: an LLM aut	
arxiv:2411.02451	consensus	2024	High-performance automated abstract screening with large language model ensembles	
arxiv:2411.06159	consensus	2024	Mixture of Knowledge Minigraph Agents for Literature Review Generation	
arxiv:2412.15247	consensus	2024	Streamlining Systematic Reviews: A Novel Application of Large Language Models	
arxiv:2501.05468	consensus	2025	LatteReview: A Multi-Agent Framework for Systematic Review Automation Using Large Langua	
arxiv:2501.19359	consensus	2025	Mechanical Properties of the Meninges: Large Language Model Assisted Systematic Review o	
arxiv:2502.14767	consensus	2025	Tree-of-Debate: Multi-Persona Debate Trees Elicit Critical Thinking for Scientific Compa	
arxiv:2502.15702	consensus	2025	Large language models streamline automated systematic review: A preliminary study	
arxiv:2503.13857	consensus	2025	Enabling Inclusive Systematic Reviews: Incorporating Preprint Articles with Large Langua	
arxiv:2504.04193	consensus	2025	AiReview: An Open Platform for Accelerating Systematic Reviews with LLMs	
arxiv:2504.08752	consensus	2025	Patience is all you need! An agentic system for performing scientific literature review	
arxiv:2504.14822	consensus	2025	Completing A Systematic Review in Hours instead of Months with Interactive AI Agents	
arxiv:2504.20276	consensus	2025	Enhancing Systematic Reviews with Large Language Models: Using GPT-4 and Kimi	
arxiv:2505.07155	consensus	2025	Reassessing Large Language Model Boolean Query Generation for Systematic Reviews	
arxiv:2505.20310	consensus	2025	Manalyzer: End-to-end Automated Meta-analysis with Multi-agent System	
arxiv:2505.22787	consensus	2025	Can Large Language Models Match the Conclusions of Systematic Reviews?	
arxiv:2505.24757	consensus	2025	LGAR: Zero-Shot LLM-Guided Neural Ranking for Abstract Screening in Systematic Literatur	
arxiv:2508.12170	consensus	2025	Energy Efficiency in Robotics Software: A Systematic Literature Review (2020-2024)	
arxiv:2510.05138	consensus	2025	LiRA: A Multi-Agent Framework for Reliable and Readable Literature Review Generation	
arxiv:2510.16091	consensus	2025	Evaluating Prompting Strategies and Large Language Models in Systematic Literature Revie	
arxiv:2511.12635	consensus	2025	LLM4SCREENLIT: Recommendations on Assessing the Performance of Large Language Models for	
arxiv:2511.17689	consensus	2025	ARISE: Agentic Rubric-Guided Iterative Survey Engine for Automated Scholarly Paper Gener	
arxiv:2512.11261	consensus	2025	Leveraging LLMs for Title and Abstract Screening for Systematic Review: A Cost-Effective	
arxiv:2512.20022	consensus	2025	LLM-Assisted Abstract Screening with OLIVER: Evaluating Calibration and Single-Model vs.	
arxiv:2602.00011	consensus	2025	Chained Prompting for Better Systematic Review Search Strategies	
arxiv:2603.22327	consensus	2026	Evaluating AI-based Scientific Knowledge Synthesis with Epidemiological Systematic Revie	
arxiv:2603.24767	consensus	2026	Fine-Tuning A Large Language Model for Systematic Review Screening	
arxiv:2603.28336	consensus	2026	A Multi-Agent Rhizomatic Pipeline for Non-Linear Literature Analysis	
arxiv:2604.01452	consensus	2026	A Multi-Agent Human-LLM Collaborative Framework for Closed-Loop Scientific Literature Su	
arxiv:2605.15245	adjudicated	2026	Assistance to Autonomy: A Systematic Literature Review of Agentic AI across the Software	
arxiv:2606.28363	consensus	2026	meta-pipe: An LLM-agent pipeline for end-to-end automated systematic review and meta-ana	
arxiv:2607.05031	adjudicated	2026	LLM-Based Test Oracles: Source-of-Authority Taxonomy -- A Systematic Literature Review	
doi:10.1001/jamanetworkopen.2024.20496	consensus	2024	Performance of a Large Language Model in Screening Citations	
doi:10.1002/cesm.70033	consensus	2025	Data Extractions Using a Large Language Model (Elicit) and Human Reviewers in Randomized	
doi:10.1002/cesm.70042	consensus	2025	Enhancing Evidence Synthesis Efficiency: Leveraging Large Language Models and Agentic Wo	
doi:10.1002/cesm.70058	consensus	2025	Harnessing Large‐Language Models for Efficient Data Extraction in Systematic Reviews: Th	
doi:10.1002/hkj2.70085	consensus	2026	Automated systematic reviews using machine learning and large language models in clinica	
doi:10.1002/jrsm.1710	consensus	2024	Data extraction for evidence synthesis using a large language model: A proof‐of‐concept 	
doi:10.1002/jrsm.1715	consensus	2024	Can large language models replace humans in systematic reviews? Evaluating <scp>GPT</scp	
doi:10.1002/jrsm.1732	consensus	2024	Performance of two large language models for data extraction in evidence synthesis	
