key	oa_id	n_refs	n_cites_fetched	new_from_refs	new_from_cites
arxiv:2305.11828	W4377866068	0	3	0	1
arxiv:2306.14905	W4382766855	0	10	0	5
arxiv:2308.06610	W4385848697	0	9	0	6
arxiv:2403.02574	W4392539621	0	4	0	3
arxiv:2403.08399	W4392822596	0	9	0	5
arxiv:2405.14445	W4398809873	0	12	0	10
arxiv:2406.17755	W4400065289	0	7	0	2
arxiv:2408.04646	W4402385950	0	1	0	0
arxiv:2409.04600	W4403593716	0	6	0	3
arxiv:2411.02451	W4404355732	0	2	0	0
arxiv:2411.06159	W4404401087	0	1	0	0
arxiv:2412.15247	W4405713874	0	1	0	1
arxiv:2501.05468	W4406316520	0	3	0	1
arxiv:2501.19359	W4407091876	0	0	0	0
arxiv:2502.14767	W4407821804	0	0	0	0
arxiv:2502.15702	W4414834072	0	2	0	1
arxiv:2503.13857	W4414900405	0	0	0	0
arxiv:2504.04193	W4416125829	0	0	0	0
arxiv:2504.08752	W4415152170	0	0	0	0
arxiv:2504.14822	W6948402738	0	1	0	0
arxiv:2504.20276	W4417168584	0	0	0	0
arxiv:2505.07155	W4417515390	0	0	0	0
arxiv:2505.20310	W4415035603	0	0	0	0
arxiv:2505.22787	W4416602923	0	1	0	0
arxiv:2505.24757	W4417095014	0	0	0	0
arxiv:2508.12170	W4414460477	0	0	0	0
arxiv:2510.05138	W4414973491	0	0	0	0
arxiv:2510.16091	W4415949686	0	0	0	0
arxiv:2511.12635	lookup-failed	0	0	0	0
arxiv:2511.17689	W7106713569	0	1	0	0
arxiv:2512.11261	W7115580081	0	1	0	0
arxiv:2512.20022	W7117241914	0	1	0	0
arxiv:2602.00011	W7127292009	0	0	0	0
arxiv:2603.22327	W7140330028	0	0	0	0
arxiv:2603.24767	W7141008388	0	0	0	0
arxiv:2603.28336	W7147674646	0	0	0	0
arxiv:2604.01452	W7148757828	0	0	0	0
arxiv:2605.15245	W7161553010	0	0	0	0
arxiv:2606.28363	W7166693886	0	0	0	0
arxiv:2607.05031	W7167611859	0	0	0	0
doi:10.1001/jamanetworkopen.2024.20496	W4400414272	30	77	6	43
doi:10.1002/cesm.70033	W4411160616	24	15	5	12
doi:10.1002/cesm.70042	W4415396422	23	1	11	0
doi:10.1002/cesm.70058	W4415617731	14	10	6	2
doi:10.1002/hkj2.70085	W7128367946	57	2	17	0
doi:10.1002/jrsm.1710	W4392343921	28	100	3	41
doi:10.1002/jrsm.1715	W4392791588	43	100	12	25
doi:10.1002/jrsm.1732	W4399812563	23	74	3	26
doi:10.1007/978-3-031-56027-9_25	W4392964628	35	20	11	6
doi:10.1007/s10462-024-10902-3	W4401667275	167	100	40	46
doi:10.1007/s11192-024-05206-w	W4406255460	146	18	7	2
doi:10.1007/s41669-024-00476-9	W4391723759	20	66	2	13
doi:10.1016/j.accre.2025.03.013	W4409200448	38	6	10	0
doi:10.1016/j.ijmedinf.2025.106035	W4411932877	37	9	10	1
doi:10.1016/j.jbi.2024.104640	W4394688596	56	39	10	9
doi:10.1016/j.jclinepi.2025.111746	W4407957917	45	100	11	40
doi:10.1016/j.jval.2025.04.1193	W4412442896	0	0	0	0
doi:10.1016/j.jval.2025.08.002	W4413149936	34	9	5	1
doi:10.1016/j.jval.2025.09.2953	W4417480066	0	0	0	0
doi:10.1016/j.jval.2025.09.3033	W4417480316	0	0	0	0
doi:10.1016/j.jval.2026.03.1578	W7166039827	0	0	0	0
doi:10.1016/j.smrv.2025.102192	W4415716979	42	11	6	4
doi:10.1016/j.tox.2024.153933	W4401801210	14	19	2	4
doi:10.1016/j.tree.2024.04.007	W4398764101	91	35	18	10
doi:10.1017/rsm.2025.10014	W4411569746	47	9	6	3
doi:10.1017/rsm.2025.10065	W7119470452	93	9	28	3
doi:10.1038/s41746-025-01457-w	W4407009455	37	48	8	10
doi:10.1038/s41746-025-01840-7	W4413051957	47	47	6	12
doi:10.1038/s41746-025-02273-y	W4415199876	58	10	7	2
doi:10.1073/pnas.2411962122	W4406110856	29	63	6	4
doi:10.1093/ehjdh/ztag070	W7160450396	25	0	6	0
doi:10.1093/jamia/ocae325	W4406663495	25	38	10	8
doi:10.1093/jamia/ocaf050	W4408763854	53	44	5	9
doi:10.1093/jamia/ocaf063	W4410157139	143	100	56	26
doi:10.1097/js9.0000000000002215	W4407119832	5	12	0	0
doi:10.1101/2023.10.02.23296415	W4387338911	23	13	0	4
doi:10.1101/2023.12.15.23300018	W4389923369	32	9	7	1
doi:10.1101/2023.12.29.23300652	W4390461413	19	1	0	0
doi:10.1101/2024.02.20.24303083	W4405364565	30	16	4	0
doi:10.1101/2024.06.03.24308405	W4399327517	42	8	5	1
doi:10.1101/2024.06.26.24309513	W4400028310	17	0	0	0
doi:10.1101/2024.09.20.24314108	W4402744604	40	9	5	1
doi:10.1101/2025.06.13.25329541	W4411259709	35	27	9	5
doi:10.1101/2025.08.11.25333429	W4413340975	33	1	3	0
doi:10.1109/fllm67465.2025.11391146	W7130603642	10	0	1	0
doi:10.1109/jcdl67857.2025.00042	W7127157007	20	0	2	0
doi:10.1109/sami68106.2026.11420686	W7135056671	21	0	5	0
doi:10.1111/cobi.14464	W4409075993	116	6	10	1
doi:10.1115/detc2023-116962	W4388873929	0	3	0	1
