query_id	last_completed	outcome	notes
ax1	2026-08-08	baseline-covered	initial campaign
ax2	2026-08-08	baseline-covered	initial campaign
cr1	2026-08-08	baseline-covered	initial campaign
oa1	2026-08-08	baseline-covered	initial campaign
oa2	2026-08-08	baseline-covered	initial campaign
oa3	2026-08-08	baseline-covered	initial campaign
oa4	2026-08-08	baseline-covered	initial campaign
oa5	2026-08-08	baseline-covered	initial campaign
s21	2026-08-08	baseline-covered	initial campaign
s22	2026-08-08	baseline-covered	initial campaign
s23	2026-08-08	baseline-covered	initial campaign
