date	kind	id	source	query_or_seed	direction	hits	screened	included_keys	excluded_keys	notes
2026-08-04	search	closure-concept-1	OpenAlex API	SELECT formal system testing debugging programs symbolic execution	query	6753	25	doi:10.1145/800027.808445	-	First 25 relevance-ranked results; snapshot screening/baseline-2026-08-04/concept-1-01.tsv
2026-08-04	search	closure-concept-1	OpenAlex API	knowledge compilation d-DNNF disjoint partial model enumeration	query	125	25	doi:10.24963/kr.2024/48,doi:10.24963/ijcai.2022/358,doi:10.1016/j.dam.2024.10.021	-	First 25 relevance-ranked results; snapshot screening/baseline-2026-08-04/concept-1-02.tsv
2026-08-04	search	closure-concept-1	OpenAlex API	projected model enumeration short models AllSAT	query	31	25	doi:10.1016/j.dam.2024.10.021,doi:10.1145/2975585,doi:10.1609/aaai.v38i8.28652,doi:10.1016/j.artint.2025.104346	-	First 25 relevance-ranked results; snapshot screening/baseline-2026-08-04/concept-1-03.tsv
2026-08-04	search	closure-concept-1	OpenAlex API	enumeration complexity output polynomial delay models	query	6330	25	doi:10.1016/j.dam.2019.02.025	-	Noisy cross-disciplinary result set; snapshot screening/baseline-2026-08-04/concept-1-04.tsv
2026-08-04	search	closure-concept-1	OpenAlex API	configuration structures event structures propositional models	query	99192	25	doi:10.1016/j.tcs.2009.06.014	-	Noisy cross-disciplinary result set; snapshot screening/baseline-2026-08-04/concept-1-05.tsv
2026-08-04	search	closure-concept-1	OpenAlex API	Lurette automatic testing reactive systems Lustre	query	21	21	doi:10.1109/real.1998.739746	-	All results screened; snapshot screening/baseline-2026-08-04/concept-1-06.tsv
2026-08-04	search	closure-concept-1	OpenAlex API	symbolic graph execution dataflow graph	query	3153	25	doi:10.1007/978-3-642-28872-2_19	doi:10.1145/3477141,doi:10.1145/3597428,doi:10.1145/3597503.3623345,doi:10.1007/bf01277522,doi:10.1145/1880050.1880052,doi:10.1109/seaa.2012.20	False-positive control; snapshot screening/baseline-2026-08-04/concept-1-07.tsv
2026-08-04	search	closure-concept-2	OpenAlex API	A Knowledge Compilation Map Darwiche Marquis	query	532	25	doi:10.1613/jair.989	-	Exact-title refinement; snapshot screening/baseline-2026-08-04/concept-2-01.tsv
2026-08-04	search	closure-concept-2	OpenAlex API	enumeration complexity polynomial delay output-sensitive	query	49	25	doi:10.1016/j.dam.2019.02.025	arxiv:2309.17042	Secondary survey excluded from claim evidence; snapshot screening/baseline-2026-08-04/concept-2-02.tsv
2026-08-04	search	closure-concept-2	OpenAlex API	On enumerating short projected models	query	10	10	doi:10.1016/j.dam.2024.10.021,doi:10.1609/aaai.v38i8.28652,doi:10.1016/j.artint.2025.104346	-	All results screened and duplicate versions merged by DOI; snapshot screening/baseline-2026-08-04/concept-2-03.tsv
2026-08-04	search	closure-concept-2	OpenAlex API	"configuration structures ""event structures"""	query	142	25	doi:10.1016/j.tcs.2009.06.014	-	Remaining results are concurrency-specific refinements; snapshot screening/baseline-2026-08-04/concept-2-04.tsv
2026-08-04	search	closure-concept-2	OpenAlex API	Automatic testing of reactive systems Lurette	query	8	8	doi:10.1109/real.1998.739746	-	Later applications did not define a closer semantic object; snapshot screening/baseline-2026-08-04/concept-2-05.tsv
2026-08-04	snowball	closure-seeds-1	Primary DATE paper bibliography	DOI:10.1109/DATE.2004.1268825	backward	10	10	doi:10.1109/iccad.1996.569909,doi:10.1109/tc.1986.1676819	-	seed-key:doi:10.1109/date.2004.1268825; primary bibliography used because the OpenAlex record is sparse; post-review audit linked the existing exact frozen copy; snapshot screening/baseline-2026-08-04/primary-feng2004dynamic-backward.tsv
2026-08-04	snowball	closure-seeds-1	Semantic Scholar Graph API	CorpusId:c709e9524e49394686ef5e0e3c7b1cd9c7412658	forward	2	2	doi:10.1145/1109118.1109122	doi:10.1109/test.2006.297666	seed-key:doi:10.1109/date.2004.1268825; citation graph is known incomplete and cannot establish forward closure; post-review reconstruction preserves the logged two works but not the unavailable original API ranking; snapshot screening/baseline-2026-08-04/semantic-scholar-feng2004dynamic-forward.tsv
2026-08-04	snowball	closure-seeds-1	OpenAlex API	DOI:10.1007/978-3-642-02658-4_33;W2107426858	backward	34	33	doi:10.1145/360248.360252	-	seed-key:doi:10.1007/978-3-642-02658-4_33; one identifier unresolved; snapshot screening/baseline-2026-08-04/seed-1-kanade2009-backward.tsv
2026-08-04	snowball	closure-seeds-1	OpenAlex API	W2107426858	forward	49	49	doi:10.1145/2248418.2248437,doi:10.1007/978-3-642-28891-3_33	-	seed-key:doi:10.1007/978-3-642-02658-4_33; all returned titles screened; snapshot screening/baseline-2026-08-04/seed-1-kanade2009-forward.tsv
2026-08-04	snowball	closure-seeds-1	OpenAlex API	DOI:10.1145/3341694;W2958869096	backward	34	32	-	-	seed-key:doi:10.1145/3341694; two identifiers unresolved; snapshot screening/baseline-2026-08-04/seed-1-mokhov2019-backward.tsv
2026-08-04	snowball	closure-seeds-1	OpenAlex API	W2958869096	forward	14	14	-	-	seed-key:doi:10.1145/3341694; selective parser and effect applications; snapshot screening/baseline-2026-08-04/seed-1-mokhov2019-forward.tsv
2026-08-04	snowball	closure-seeds-1	OpenAlex API	DOI:10.1145/1190215.1190226;W2133612077	backward	35	32	doi:10.1145/360248.360252	-	seed-key:doi:10.1145/1190215.1190226; three identifiers unresolved; snapshot screening/baseline-2026-08-04/seed-1-godefroid2007-backward.tsv
2026-08-04	snowball	closure-seeds-1	OpenAlex API	W2133612077	forward	411	411	doi:10.1007/978-3-540-78800-3_28,doi:10.1007/978-3-642-19811-3_18,doi:10.1109/icse.2015.79,doi:10.1007/978-3-642-28872-2_19	-	seed-key:doi:10.1145/1190215.1190226; all returned titles screened; snapshot screening/baseline-2026-08-04/seed-1-godefroid2007-forward.tsv
