rank	openalex_id	year	doi	title	venue	type
1	W1983587324	1985	https://doi.org/10.1145/4472.4478	MULTILISP: a language for concurrent symbolic computation	ACM Transactions on Programming Languages and Systems	article
2	W2132544882	2004	https://doi.org/10.1007/s10207-004-0055-7	OFMC: A symbolic model checker for security protocols	International Journal of Information Security	article
3	W2089294198	1995	https://doi.org/10.1145/224538.224648	Gated SSA-based demand-driven symbolic analysis for parallelizing compilers		conference-paper
4	W3157651462	2021	https://doi.org/10.1016/j.aiopen.2021.03.001	Neural, symbolic and neural-symbolic reasoning on knowledge graphs	AI Open	article
5	W4390502602	2024	https://doi.org/10.1007/s10462-023-10622-0	Interpretable scientific discovery with symbolic regression: a review	Artificial Intelligence Review	article
6	W4386443326	2023	https://doi.org/10.1145/3618295	A Comprehensive Survey on Automatic Knowledge Graph Construction	ACM Computing Surveys	article
7	W2022363576	1995	https://doi.org/10.1145/199448.199461	Demand-driven computation of interprocedural data flow		conference-paper
8	W3034272367	2020	https://doi.org/10.1016/j.rser.2020.109899	Artificial intelligence and machine learning approaches to energy demand-side response: A systematic review	Renewable and Sustainable Energy Reviews	review
9	W2787066086	2018	https://doi.org/10.1613/jair.5575	From Skills to Symbols: Learning Symbolic Representations for Abstract High-Level Planning	Journal of Artificial Intelligence Research	article
10	W3164846705	2021	https://doi.org/10.1016/j.inffus.2021.05.009	Notions of explainability and evaluation approaches for explainable artificial intelligence	Information Fusion	article
11	W2098345837	2010	https://doi.org/10.1145/1806799.1806864	Using symbolic evaluation to understand behavior in configurable software systems		conference-paper
12	W4366429305	2023	https://doi.org/10.1007/s11831-023-09922-z	Artificial Intelligence in Physical Sciences: Symbolic Regression Trends and Perspectives	Archives of Computational Methods in Engineering	article
13	W1572188237	2006	https://doi.org/10.1007/3-540-32182-9	Model Driven Architecture and Ontology Development		book
14	W3046238651	2020	https://doi.org/10.1016/j.jbi.2020.103655	The role of explainability in creating trustworthy artificial intelligence for health care: A comprehensive survey of the terminology, design choices, and evaluation strategies	Journal of Biomedical Informatics	article
15	W2164638440	1997	https://doi.org/10.1145/267959.269970	A practical framework for demand-driven interprocedural data flow analysis	ACM Transactions on Programming Languages and Systems	article
