rank	source_id	year	doi	title	venue	type
1	10.1007/s10728-008-0093-9	2009	10.1007/s10728-008-0093-9	Demand-Driven Care and Hospital Choice. Dutch Health Policy Toward Demand-Driven Care: Results from a Survey into Hospital Choice	Health Care Analysis	journal-article
2	10.3403/30284322u	None	10.3403/30284322u	Geographic information. Place Identifier (PI) architecture		standard
3	10.3403/30284322	None	10.3403/30284322	Geographic information. Place Identifier (PI) architecture		standard
4	10.1145/1985429.1985430	2011	10.1145/1985429.1985430	Recommending API methods based on identifier contexts	Proceedings of the 3rd International Workshop on Search-Driven Development: Users, Infrastructure, Tools, and Evaluation	proceedings-article
5	10.5860/choice.195363	2016	10.5860/choice.195363	Driven by demand: how energy gets its power	Choice Reviews Online	journal-article
6	10.1081/e-elis4-120049488	2017	10.1081/e-elis4-120049488	Demand-Driven Acquisition/Patron-Driven Acquisition	Encyclopedia of Library and Information Science, Fourth Edition	book-chapter
7	10.4324/9780203763148-16	2013	10.4324/9780203763148-16	Question-Driven Information Search in Auditor Diagnosis	Questions and Information Systems	book-chapter
8	10.3403/30215025u	None	10.3403/30215025u	Geographic information. Place Identifier (PI) architecture		standard
9	10.3403/30215025	None	10.3403/30215025	Geographic information. Place Identifier (PI) architecture		standard
10	10.70675/158a0795z2b22z4316za27cz8f0e1d516db3	None	10.70675/158a0795z2b22z4316za27cz8f0e1d516db3	Essays on the Role of Information in Job Search Behavior and Demand for Training		dissertation
11	10.1016/j.disopt.2010.07.001	2011	10.1016/j.disopt.2010.07.001	Information-theoretic approaches to branching in search	Discrete Optimization	journal-article
12	10.1007/978-1-4613-2521-5_31	1985	10.1007/978-1-4613-2521-5_31	On Penetrance and Branching Factor for Search Trees	Empirical Foundations of Information and Software Science	book-chapter
13	10.3403/30177056	None	10.3403/30177056	Information and documentation. Digital object identifier system		standard
14	10.3403/30177056u	None	10.3403/30177056u	Information and documentation�� Digital object identifier system		standard
15	10.3403/30486373	None	10.3403/30486373	Information and documentation�� Digital object identifier system		standard
16	10.3403/30425617	None	10.3403/30425617	Information and documentation. Digital object identifier system		standard
17	10.3403/30382866	None	10.3403/30382866	Information and documentation - Research activity identifier (RAiD)		standard
