rank	openalex_id	year	doi	title	venue	type
1	W2024955813	2009	https://doi.org/10.1016/j.tcs.2009.06.014	Configuration structures, event structures and Petri nets	Theoretical Computer Science	article
2	W2296604987	2002	https://doi.org/10.1109/lics.1995.523257	Configuration structures		conference-paper
3	W2000492932	2015	https://doi.org/10.1016/j.jlamp.2015.07.004	Reversibility and asymmetric conflict in event structures	Journal of Logical and Algebraic Methods in Programming	article
4	W1998563363	1993	https://doi.org/10.1016/0304-3975(93)90361-v	Refinement of actions in event structures and causal trees	Theoretical Computer Science	article
5	W2963245642	2016	https://doi.org/10.1016/j.jlamp.2016.08.004	Contextual equivalences in configuration structures and reversibility	Journal of Logical and Algebraic Methods in Programming	article
6	W137641731	2012	https://doi.org/10.1007/978-3-642-28729-9_15	Event Structure Semantics of Parallel Extrusion in the Pi-Calculus	Lecture notes in computer science	conference-paper
7	W2888768890	2018	https://doi.org/10.1007/s00354-018-0040-8	Reversing Event Structures	New Generation Computing	article
8	W4213006484	2022	https://doi.org/10.1016/j.tcs.2022.02.018	Behavioural logics for configuration structures	Theoretical Computer Science	article
9	W1967386165	2010	https://doi.org/10.4204/eptcs.18.5	Reverse Bisimulations on Stable Configuration Structures	Electronic Proceedings in Theoretical Computer Science	article
10	W2889468741	2022	https://doi.org/10.23638/lmcs-14(1:17)2018	Dynamic causality in event structures	DOAJ (DOAJ: Directory of Open Access Journals)	article
11	W2196942119	2015	https://doi.org/10.4204/eptcs.189.7	Reversible Barbed Congruence on Configuration Structures	Electronic Proceedings in Theoretical Computer Science	article
12	W3040945577	2020	https://doi.org/10.1007/978-3-030-52482-1_2	Reversible Occurrence Nets and Causal Reversible Prime Event Structures	Lecture notes in computer science	conference-paper
13	W2022080213	2005	https://doi.org/10.1515/cogl.2005.16.3.475	A frame-based approach to case alternations: The <i>swarm</i>-class verbs in Czech	Cognitive Linguistics	article
14	W277682754	2018	https://doi.org/10.23638/lmcs-14(1:17)2018	Dynamic Causality in Event Structures	Logical Methods in Computer Science	article
15	W1977967345	2004	https://doi.org/10.1016/j.entcs.2004.04.024	Event Structures for Interrupt Process Algebras	Electronic Notes in Theoretical Computer Science	article
16	W2021768695	1996	https://doi.org/10.1006/inco.1996.0026	Comparing Syntactic and Semantic Action Refinement	Information and Computation	article
17	W3194098067	2021	https://doi.org/10.3390/languages6030136	On the Integration of Dative Adjuncts into Event Structures in Yapa Languages	Languages	article
18	W2969638525	2019	https://doi.org/10.4204/eptcs.300.6	Conflict vs Causality in Event Structures	Electronic Proceedings in Theoretical Computer Science	article
19	W1995845908	2007	https://doi.org/10.1016/j.entcs.2007.08.018	Reversibility and Models for Concurrency	Electronic Notes in Theoretical Computer Science	article
20	W2397501793	2015	https://doi.org/10.1016/j.jlamp.2015.10.009	ST-structures	Journal of Logical and Algebraic Methods in Programming	article
21	W4214842070	2022	https://doi.org/10.1016/j.ic.2022.104887	Characterising spectra of equivalences for event structures, logically	Information and Computation	article
22	W3034826032	2020	https://doi.org/10.1007/978-3-030-50029-0_20	Operational Representation of Dependencies in Context-Dependent Event Structures	Lecture notes in computer science	conference-paper
23	W2800189394	2018	https://doi.org/10.1007/978-3-319-91268-4_7	From Event-Oriented Models to Transition Systems	Lecture notes in computer science	conference-paper
24	W1487071653	2007	https://doi.org/10.1007/978-3-540-73814-5_17	A Non-interleaving Denotational Semantics of Value Passing CCS with Action Refinement	Lecture notes in computer science	conference-paper
25	W137181627	2011	https://doi.org/10.1007/978-3-642-21834-7_14	On the Origin of Events: Branching Cells as Stubborn Sets	Lecture notes in computer science	conference-paper
