rank	openalex_id	year	doi	title	venue	type
1	W43882553	2007	https://doi.org/10.1142/9789812770837_0014	Binary Lambda Calculus and Combinatory Logic	WORLD SCIENTIFIC eBooks	book-chapter
2	W62652455	1999		Programming in an Integrated Functional and Logic Language.		article
3	W100098737	1985		Narrowing as the Operational Semantics of Functional Languages.	SLP	article
4	W134953795	1986		EQLOG: Equality, Types, and Generic Modules For Logic Programming.		article
5	W155273981	1985		SLOG: A Logic Programming Language Interpreter Based on Clausal Superposition and Rewriting.	SLP	article
6	W181692710	2012	https://doi.org/10.1007/978-3-642-27694-1_4	Contracts and Specifications for Functional Logic Programming	Lecture notes in computer science	conference-paper
7	W184339100	2012		The Glasgow Haskell Compiler		article
8	W209109747	2013		Mathematical Foundations of Quantum Mechanics	KTH Publication Database DiVA (KTH Royal Institute of Technology)	dissertation
9	W279050352	2007		Automated Planning: Theory and Practice.	K&uuml;nstliche Intell.	article
10	W632469267	2014	https://doi.org/10.1007/978-3-319-14125-1_12	Compiling a Functional Logic Language: The Fair Scheme	Lecture notes in computer science	conference-paper
11	W1502761127	1993	https://doi.org/10.1007/3-540-56992-8_14	On the completeness of narrowing as the operational semantics of functional logic programming	Lecture notes in computer science	conference-paper
12	W1572831335	2005	https://doi.org/10.1007/bfb0024197	Compiling logic programs with equality	Lecture notes in computer science	conference-paper
13	W1585088833	1995		Curry: A Truly Functional Logic Language		article
14	W1605638241	2006	https://doi.org/10.1007/11799573_9	Overlapping Rules and Logic Variables in Functional Logic Programs	Lecture notes in computer science	conference-paper
15	W1650673748	2011	https://doi.org/10.1007/978-3-642-22531-4_1	KiCS2: A New Compiler from Curry to Haskell	Lecture notes in computer science	conference-paper
16	W1844369973	2008	https://doi.org/10.1080/00330120701787282	The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger	The Professional Geographer	article
17	W1865778884	2012	https://doi.org/10.1007/978-3-642-29822-6_5	Compiling a Functional Logic Language: The Basic Scheme	Lecture notes in computer science	conference-paper
18	W1880050370	2011	https://doi.org/10.1007/978-3-642-22531-4_2	New Functional Logic Design Patterns	Lecture notes in computer science	conference-paper
19	W1973600615	2013	https://doi.org/10.1145/2505879.2505896	A semantics for weakly encapsulated search in functional logic programs		conference-paper
20	W1980781982	2005	https://doi.org/10.1016/j.jsc.2004.01.001	Operational semantics for declarative multi-paradigm languages	Journal of Symbolic Computation	article
21	W2009629271	2014	https://doi.org/10.1145/2543728.2543744	A modular and generic analysis server system for functional logic programs		conference-paper
22	W2022647944	1997	https://doi.org/10.1145/263699.263710	A unified computation model for functional and logic programming		conference-paper
23	W2029776211	2001	https://doi.org/10.1016/s1571-0661(04)00265-8	Evaluation Strategies for Functional Logic Programming	Electronic Notes in Theoretical Computer Science	article
24	W2044013129	2007	https://doi.org/10.1016/j.entcs.2006.05.049	Extra Variables Can Be Eliminated from Functional Logic Programs	Electronic Notes in Theoretical Computer Science	article
25	W2048748607	1974	https://doi.org/10.1145/321850.321859	Automated Theorem-Proving for Theories with Simplifiers Commutativity, and Associativity	Journal of the ACM	article
26	W2053719172	1992	https://doi.org/10.1016/0743-1066(92)90024-w	Logic programming with functions and predicates: The language Babel	The Journal of Logic Programming	article
27	W2054497239	1992	https://doi.org/10.1016/0004-3702(92)90028-v	On the complexity of blocks-world planning	Artificial Intelligence	article
28	W2059799630	1994	https://doi.org/10.1016/0743-1066(94)90034-5	The integration of functions into logic programming: From theory to practice	The Journal of Logic Programming	article
29	W2062897452	1960	https://doi.org/10.1145/321033.321034	A Computing Procedure for Quantification Theory	Journal of the ACM	article
30	W2063236708	1988	https://doi.org/10.1016/0743-1066(88)90007-6	Denotational and operational semantics for prolog	The Journal of Logic Programming	article
31	W2063521547	1999	https://doi.org/10.1016/s0743-1066(98)10029-8	An approach to declarative programming based on a rewriting logic	The Journal of Logic Programming	article
32	W2070953905	2005	https://doi.org/10.1016/j.jsc.2004.12.007	Evaluation strategies for functional logic programming	Journal of Symbolic Computation	article
33	W2095621310	1992	https://doi.org/10.1017/s0956796800000319	Implementing lazy functional languages on stock hardware: the Spineless Tagless G-machine	Journal of Functional Programming	article
34	W2112087718	2006	https://doi.org/10.1007/11680093_2	Declarative Programming with Function Patterns	Lecture notes in computer science	conference-paper
35	W2118172707	1985	https://doi.org/10.1007/3-540-15975-4_37	Lambda lifting: Transforming programs to recursive equations	Lecture notes in computer science	conference-paper
36	W2118499864	2009	https://doi.org/10.1145/1599410.1599420	Set functions for functional logic programming		conference-paper
37	W2123396057	1987	https://doi.org/10.1145/41625.41635	Constraint logic programming		conference-paper
38	W2127844749	2010	https://doi.org/10.1145/1721654.1721675	Functional logic programming	Communications of the ACM	article
39	W2141578886	1986	https://doi.org/10.1007/3-540-16442-1_9	Design and implementation of a generic, logic and functional programming language	Lecture notes in computer science	conference-paper
40	W2143382644	1982	https://doi.org/10.1145/322326.322339	Contributions to the Theory of Logic Programming	Journal of the ACM	article
41	W2151958460	2008	https://doi.org/10.1145/1375634.1375637	Parallel generational-copying garbage collection with a block-structured heap		conference-paper
42	W2158956202	1987		Le Fun: Logic, equations, and Functions		article
43	W2166089338	1963	https://doi.org/10.1016/s0049-237x(08)72018-4	A Basis for a Mathematical Theory of Computation )	Studies in logic and the foundations of mathematics	book-chapter
44	W2166822586	1978	https://doi.org/10.1016/0022-0000(78)90014-4	A theory of type polymorphism in programming	Journal of Computer and System Sciences	article
45	W2168144301	1997	https://doi.org/10.1007/bfb0027000	Optimal non-deterministic functional logic computations	Lecture notes in computer science	conference-paper
46	W2169402190	2001	https://doi.org/10.1145/773184.773205	Constructor-based conditional narrowing		conference-paper
47	W2407568656	2004		Encapsulating Non-Determinism in Functional Logic Computations.		article
48	W2504532483	1984	https://doi.org/10.1017/cbo9781107340725.005	HILBERT-SPACE QUANTUM MECHANICS	Cambridge University Press eBooks	book-chapter
49	W2567054742	2016	https://doi.org/10.4204/eptcs.234.13	Proving Non-Deterministic Computations in Agda	Electronic Proceedings in Theoretical Computer Science	article
50	W2616320900	2012		Implementing Functional Logic Programs: by Translation into Purely Functional Programs	Multimedialen Archiv und Publikationsserver der Christian-Albrechts-Universität zu Kiel (Christian-Albrechts-Universität zu Kiel)	dissertation
51	W2755502551	2020	https://doi.org/10.3233/fi-2020-1925	Combining Static and Dynamic Contract Checking for Curry	Fundamenta Informaticae	article
52	W2886268415	2018	https://doi.org/10.1145/3236950.3236957	Verifying Fail-Free Declarative Programs		conference-paper
53	W2888471488	2019	https://doi.org/10.1007/978-3-030-16202-3_6	Synthesizing Set Functions	Lecture notes in computer science	conference-paper
54	W3102193943	2013		2011): On the Correctness of Pull-Tabbing		article
55	W3111885891	2005	https://doi.org/10.1108/ir.2005.04932eae.001	Automated Planning: Theory and Practice	Industrial Robot the international journal of robotics research and application	article
56	W3145185114	2016		Proving Non-Deterministic Computations in Agda	PDXScholar  (Portland State University)	article
57	W4236387090	1969	https://doi.org/10.21236/ada459656	Application of Theorem Proving to Problem Solving		report
58	W4239671058	1957	https://doi.org/10.2307/2308516	Quantum Mechanics and Hilbert Space	American Mathematical Monthly	article
59	W4249075482	1969	https://doi.org/10.2307/1995158	The Principal Type-Scheme of an Object in Combinatory Logic	Transactions of the American Mathematical Society	article
60	W4313799999	2023	https://doi.org/10.1007/978-3-031-24841-2_1	RICE: An Optimizing Curry Compiler	Lecture notes in computer science	conference-paper
