rank	openalex_id	year	doi	title	venue	type
1	W1974755392	1988	https://doi.org/10.1137/0609045	Eigenvalues and Condition Numbers of Random Matrices	SIAM Journal on Matrix Analysis and Applications	article
2	W1988115241	1991	https://doi.org/10.1016/0893-6080(91)90009-t	Approximation capabilities of multilayer feedforward networks	Neural Networks	article
3	W2089947415	2014	https://doi.org/10.1109/tnnls.2013.2293637	On the Complexity of Neural Network Classifiers: A Comparison Between Shallow and Deep Architectures	IEEE Transactions on Neural Networks and Learning Systems	article
4	W2115780241	1990	https://doi.org/10.1137/0611023	Average-Case Stability of Gaussian Elimination	SIAM Journal on Matrix Analysis and Applications	article
5	W2559655401	2015		Advances in Neural Information Processing Systems 28		article
6	W2743909828	2019	https://doi.org/10.3390/math7100992	Universal Function Approximation by Deep Neural Nets with Bounded Width and ReLU Activations	Mathematics	article
7	W2803058183	2017	https://doi.org/10.1090/surv/226	Topics in Hyperplane Arrangements	Mathematical surveys and monographs	book
8	W2907812683	2019	https://doi.org/10.1016/b978-0-12-814066-6.00007-6	Analysis of Combinatorial Neural Codes: An Algebraic Approach	Elsevier eBooks	book-chapter
9	W2919115771	2015	https://doi.org/10.1038/nature14539	Deep learning	Nature	article
10	W2990138404	2007	https://doi.org/10.7551/mitpress/7503.001.0001	Advances in Neural Information Processing Systems 19	The MIT Press eBooks	book
11	W3065170192	2022	https://doi.org/10.1137/20m1368902	On Transversality of Bent Hyperplane Arrangements and the Topological Expressiveness of ReLU Neural Networks	SIAM Journal on Applied Algebra and Geometry	article
12	W3099132019			Universal Function Approximation by Deep Neural Nets with Bounded Width and ReLU Activations	RePEc: Research Papers in Economics	article
13	W4250954493	2018	https://doi.org/10.1017/9781108231596	High-Dimensional Probability	Cambridge University Press eBooks	book
14	W4389252352	2023	https://doi.org/10.1109/tpami.2023.3328347	Understanding and Accelerating Neural Architecture Search With Training-Free and Theory-Grounded Metrics	IEEE Transactions on Pattern Analysis and Machine Intelligence	article
