rank	openalex_id	year	doi	title	venue	type
1	W2530895108	2017	https://doi.org/10.1145/3062341.3062379	Skeletal program enumeration for rigorous compiler testing		conference-paper
2	W15103390	2011	https://doi.org/10.1007/978-3-642-24364-6_2	Automatic Proof and Disproof in Isabelle/HOL	Lecture notes in computer science	conference-paper
3	W174956004	2012	https://doi.org/10.1007/978-3-642-28756-5_28	Zeno: An Automated Prover for Properties of Recursive Data Structures	Lecture notes in computer science	conference-paper
4	W2396983327	2015	https://doi.org/10.1007/978-3-319-22102-1_22	Foundational Property-Based Testing	Lecture notes in computer science	conference-paper
5	W1507441114	2012	https://doi.org/10.1007/978-3-642-35308-6_10	The New Quickcheck for Isabelle	Lecture notes in computer science	conference-paper
6	W2031872041	2012	https://doi.org/10.1145/2364506.2364515	Feat		conference-paper
7	W2749302087	2017	https://doi.org/10.1007/978-3-319-66167-4_10	Superposition with Structural Induction	Lecture notes in computer science	conference-paper
8	W2476059279	2016	https://doi.org/10.1145/3009837.3009868	Beginner's luck: a language for property-based generators		conference-paper
9	W2971627214	2025	https://doi.org/10.4230/lipics.itp.2025.26	Improving the SMT Proof Reconstruction Pipeline in Isabelle/HOL		conference-paper
10	W1532502754	2010	https://doi.org/10.1007/978-3-642-11957-6_8	Testing Polymorphic Properties	Lecture notes in computer science	conference-paper
11	W2777305358	2017	https://doi.org/10.1145/3158133	Generating good generators for inductive relations	Proceedings of the ACM on Programming Languages	article
12	W2159192310	2013	https://doi.org/10.1145/2500365.2500574	Testing noninterference, quickly		conference-paper
13	W2215196193	2015	https://doi.org/10.1007/978-3-662-46669-8_33	Type Targeted Testing	Lecture notes in computer science	conference-paper
14	W2904255103	2019	https://doi.org/10.1145/3293880.3294087	Formalizing the metatheory of logical calculi and automatic provers in Isabelle/HOL (invited talk)		conference-paper
15	W2176407799	2014	https://doi.org/10.1007/978-3-319-07151-0_2	Generating Constrained Random Data with Uniform Distribution	Lecture notes in computer science	conference-paper
16	W2108792311	2009	https://doi.org/10.1145/1596550.1596556	Purely functional lazy non-deterministic programming		conference-paper
17	W1990069336	2015	https://doi.org/10.1145/2814270.2814323	Programming with enumerable sets of structures		conference-paper
18	W2899983867	2019	https://doi.org/10.1145/3290379	JaVerT 2.0: compositional symbolic execution for JavaScript	Proceedings of the ACM on Programming Languages	article
19	W37906187	2012	https://doi.org/10.1007/978-3-642-28717-6_14	Smart Testing of Functional Programs in Isabelle	Lecture notes in computer science	conference-paper
20	W2036560761	2009	https://doi.org/10.1145/1637837.1637844	DoubleCheck your theorems		conference-paper
21	W2017114730	2014	https://doi.org/10.1145/2633357.2633365	SmartCheck		conference-paper
22	W4284666365	2022	https://doi.org/10.1145/3510003.3510620	PropR	Proceedings of the 44th International Conference on Software Engineering	conference-paper
23	W2958869096	2019	https://doi.org/10.1145/3341694	Selective applicative functors	Proceedings of the ACM on Programming Languages	article
24	W2005957051	2014	https://doi.org/10.1145/2637647.2637655	SciFe		conference-paper
25	W4403223522	2024	https://doi.org/10.1145/3689795	Validating SMT Solvers for Correctness and Performance via Grammar-Based Enumeration	Proceedings of the ACM on Programming Languages	article
26	W2278624804	2015	https://doi.org/10.1017/s0956796815000143	Generating constrained random data with uniform distribution	Journal of Functional Programming	article
27	W2681883877	2011	https://doi.org/10.1017/s0956796811000189	Purely functional lazy nondeterministic programming	Journal of Functional Programming	article
28	W1623496080	2010	https://doi.org/10.1007/978-3-642-13953-6_9	Contract-Driven Testing of JavaScript Code	Lecture notes in computer science	conference-paper
29	W2996075572	2016	https://doi.org/10.1145/2951913.2951915	Dynamic witnesses for static type errors (or, ill-typed programs usually go wrong)		conference-paper
30	W2468404022	2016	https://doi.org/10.1007/978-3-319-40229-1_10	Model Finding for Recursive Functions in SMT	Lecture notes in computer science	conference-paper
31	W62843534	2014	https://doi.org/10.1007/978-3-319-07151-0_1	PrologCheck – Property-Based Testing in Prolog	Lecture notes in computer science	conference-paper
32	W2885626945	2018	https://doi.org/10.1145/3236950.3236956	Symbolic Execution for JavaScript		conference-paper
33	W2952139678	2017	https://doi.org/10.1145/3140587.3062379	Skeletal program enumeration for rigorous compiler testing	ACM SIGPLAN Notices	article
34	W3109017117	2020	https://doi.org/10.1145/3428273	Digging for fold: synthesis-aided API discovery for Haskell	Proceedings of the ACM on Programming Languages	article
35	W2504995592	2016	https://doi.org/10.1109/icstw.2016.24	Property-Based Testing with FsCheck by Deriving Properties from Business Rule Models		conference-paper
36	W1972453923	2009	https://doi.org/10.1145/1596627.1596637	Fast and sound random generation for automated testing and benchmarking in objective Caml		conference-paper
37	W3214783205	2020	https://doi.org/10.1145/3428217	Featherweight go	Proceedings of the ACM on Programming Languages	article
38	W1487343593	2008	https://doi.org/10.1007/978-3-540-92995-6_3	Huge Data But Small Programs: Visualization Design via Multiple Embedded DSLs	Lecture notes in computer science	conference-paper
39	W2612673962	2017	https://doi.org/10.1017/s1471068417000035	αCheck: A mechanized metatheory model checker	Theory and Practice of Logic Programming	article
40	W2065406109	2015	https://doi.org/10.1145/2804302.2804303	Reasoning with the HERMIT: tool support for equational reasoning on GHC core programs		conference-paper
41	W2612371455	2017	https://doi.org/10.1016/j.scico.2017.04.008	Concolic testing for functional languages	Science of Computer Programming	article
42	W2900015620	2019	https://doi.org/10.1145/3290326	Type-guided worst-case input generation	Proceedings of the ACM on Programming Languages	article
43	W75435561	2012	https://doi.org/10.1007/978-3-642-33263-0_42	Ask-Elle: A Haskell Tutor	Lecture notes in computer science	conference-paper
44	W2885842896	2018	https://doi.org/10.1145/3242744.3242747	Branching processes for QuickCheck generators		conference-paper
45	W4243922950	2012	https://doi.org/10.1145/2430532.2364515	Feat	ACM SIGPLAN Notices	article
46	W100593489	2012	https://doi.org/10.1007/978-94-007-4435-6_11	Program Testing and the Meaning Explanations of Intuitionistic Type Theory		book-chapter
47	W2434454117	2016	https://doi.org/10.4204/eptcs.210.3	Extending Nunchaku to Dependent Type Theory	Electronic Proceedings in Theoretical Computer Science	article
48	W3137008396	2021	https://doi.org/10.1007/978-3-030-72019-3_10	Do Judge a Test by its Cover	Lecture notes in computer science	conference-paper
49	W4310514121	2022	https://doi.org/10.1145/3567512.3567520	Property-Based Testing: Climbing the Stairway to Verification		conference-paper
50	W2068650466	2010	https://doi.org/10.1145/1863523.1863542	Species and functors and types, oh my!		conference-paper
51	W4390605205	2024	https://doi.org/10.1145/3632919	Generating Well-Typed Terms That Are Not “Useless”	Proceedings of the ACM on Programming Languages	article
52	W4206345292	2022	https://doi.org/10.1145/3498726	Logarithm and program testing	Proceedings of the ACM on Programming Languages	article
53	W2953958793	2019	https://doi.org/10.1145/3314221.3314618	Lazy counterfactual symbolic execution		conference-paper
54	W2083302545	2012	https://doi.org/10.1145/2364506.2364514	Testing type class laws		conference-paper
55	W2088263927	2015	https://doi.org/10.1145/2790449.2790519	Concolic testing for functional languages		conference-paper
56	W2515274237	2017	https://doi.org/10.1007/978-3-319-63139-4_13	CurryCheck: Checking Properties of Curry Programs	Lecture notes in computer science	conference-paper
57	W2771718012	2017	https://doi.org/10.1007/s10270-017-0647-0	Property-based testing of web services by deriving properties from business-rule models	Software & Systems Modeling	article
58	W1500472552	2012	https://doi.org/10.1007/978-3-642-34407-7_5	Lazy Generation of Canonical Test Programs	Lecture notes in computer science	conference-paper
59	W2009123843	2014	https://doi.org/10.1145/2633448.2633454	Jsongen		conference-paper
60	W2162741239	2012	https://doi.org/10.1145/2103746.2103752	Polynomial-time inverse computation for accumulative functions with multiple data traversals		conference-paper
61	W2329154668	2016	https://doi.org/10.1017/s0956796816000058	Testing noninterference, quickly	Journal of Functional Programming	article
62	W2511207189	2016	https://doi.org/10.1145/2976002.2976003	FitSpec: refining property sets for functional testing		conference-paper
63	W3021104605	2020	https://doi.org/10.1007/978-3-030-47147-7_4	How to Specify It!	Lecture notes in computer science	conference-paper
64	W1456438575	2013	https://doi.org/10.1007/978-3-642-41582-1_4	Advances in Lazy SmallCheck	Lecture notes in computer science	conference-paper
65	W2079294228	2011	https://doi.org/10.5381/jot.2011.10.1.a10	Testing with Axioms in C++ 2011.	The Journal of Object Technology	article
66	W2323936395	2016	https://doi.org/10.1109/icst.2016.8	Empirical Evaluation of Test Coverage for Functional Programs		conference-paper
67	W2974526072	2019	https://doi.org/10.1007/978-3-030-31157-5_12	Property-Based Test Case Generators for Free	Lecture notes in computer science	conference-paper
68	W3108990740	2020	https://doi.org/10.1007/978-3-030-64437-6_11	Stack-Driven Program Generation of WebAssembly	Lecture notes in computer science	conference-paper
69	W1998594782	2012	https://doi.org/10.1007/s10990-013-9097-8	Polynomial-time inverse computation for accumulative functions with multiple data traversals	LISP and Symbolic Computation	article
70	W2753416529	2017	https://doi.org/10.1017/s0956796817000107	Fair enumeration combinators	Journal of Functional Programming	article
71	W2606720986	2017	https://doi.org/10.1109/icstw.2017.62	Property-Based Testing with External Test-Case Generators		conference-paper
72	W2885866498	2018	https://doi.org/10.1145/3236797	Keep your laziness in check	Proceedings of the ACM on Programming Languages	article
73	W2338984668	2016	https://doi.org/10.1007/978-3-319-39110-6_2	Towards a Theory of Reach	Lecture notes in computer science	conference-paper
74	W2922787213	2019	https://doi.org/10.4204/eptcs.290.5	Theorem and Algorithm Checking for Courses on Logic and Formal Methods	Electronic Proceedings in Theoretical Computer Science	article
75	W3187027099	2020	https://doi.org/10.1145/3462172.3462192	Template-based Theory Exploration: Discovering Properties of Functional Programs by Testing		conference-paper
76	W2518130435	2016	https://doi.org/10.1145/2976022.2976030	Applications of applicative proof search		conference-paper
77	W3080522657	2020	https://doi.org/10.4204/eptcs.321.2	Describing Console I/O Behavior for Testing Student Submissions in Haskell	Electronic Proceedings in Theoretical Computer Science	article
78	W2063268168	2012	https://doi.org/10.1145/2364527.2364542	Painless programming combining reduction and search		conference-paper
79	W3015752260	2019	https://doi.org/10.1145/3412932.3412943	Deriving compositional random generators		conference-paper
80	W3048352688	2020	https://doi.org/10.1109/icst46399.2020.00016	MiMIs: Simple, Efficient, and Fast Bounded-Exhaustive Test Case Generators		conference-paper
81	W2810463395	2018	https://doi.org/10.1007/978-3-319-99639-4_20	A Purely Functional Computer Algebra System Embedded in Haskell	Lecture notes in computer science	conference-paper
82	W4403223018	2024	https://doi.org/10.1145/3689745	Refinement Type Refutations	Proceedings of the ACM on Programming Languages	article
83	W4404592253	2024	https://doi.org/10.1017/s1471068424000176	Property-Based Testing by Elaborating Proof Outlines	Theory and Practice of Logic Programming	article
84	W2140046123	2012	https://doi.org/10.1145/2364506.2364516	Shrinking and showing functions		conference-paper
85	W1191790440	2015	https://doi.org/10.1109/memcod.2015.7340479	A generic synthesisable test bench		conference-paper
86	W2275446441	2011	https://doi.org/10.1007/978-3-642-24452-0_2	From Functional Logic Programs to Purely Functional Programs Preserving Laziness	Lecture notes in computer science	conference-paper
87	W1584679527	2012	https://doi.org/10.1007/978-3-642-34407-7_8	Model Based Testing with Logical Properties versus State Machines	Lecture notes in computer science	conference-paper
88	W1882499976	2011	https://doi.org/10.1007/978-3-642-18378-2_14	Sloth – A Tool for Checking Minimal-Strictness	Lecture notes in computer science	conference-paper
89	W2056707614	2012	https://doi.org/10.5381/jot.2012.11.1.a6	JSConTest: Contract-Driven Testing and Path Effect Inference for JavaScript.	The Journal of Object Technology	article
90	W2477422474	2016	https://doi.org/10.1007/978-3-319-41135-4_4	Tests and Proofs for Enumerative Combinatorics	Lecture notes in computer science	conference-paper
91	W2944550043	2019	https://doi.org/10.1109/ast.2019.00013	Generating Random Structurally Rich Algebraic Data Type Values		conference-paper
92	W3097487747	2015	https://doi.org/10.1145/2887747.2804303	Reasoning with the HERMIT: tool support for equational reasoning on GHC core programs	ACM SIGPLAN Notices	article
93	W3161942312	2012	https://doi.org/10.1145/2430532.2364516	Shrinking and showing functions	ACM SIGPLAN Notices	article
94	W778229461	2012	https://doi.org/10.4230/lipics.iclp.2012.130	Improving Lazy Non-Deterministic Computations by Demand Analysis	DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)	article
95	W2979802678	2019	https://doi.org/10.1109/smc-it.2019.00011	Fault-Tolerant Swarms		conference-paper
96	W3216006874	2018	https://doi.org/10.1145/3299711.3242747	Branching processes for QuickCheck generators	ACM SIGPLAN Notices	article
97	W165775113	2012	https://doi.org/10.1007/978-3-642-32943-2_7	Using Semantics Specified in Maude to Generate Test Cases	Lecture notes in computer science	conference-paper
