rank	openalex_id	year	doi	title	venue	type	abstract
1	W84391486	1986		Pseudo-exhaustive testing strategy for large combinational circuits		article	
2	W102048242	1985		An Operationally Efficient Scheme for Exhaustive Test-Pattern Generation Using Linear Codes.	International Test Conference	conference-paper	
3	W1966833457	1991	https://doi.org/10.1007/bf01759033	Partitioning circuits for improved testability	Algorithmica	article	
4	W1977656540	1986	https://doi.org/10.1109/tc.1986.1676718	Linear Dependencies in Linear Feedback Shift Registers	IEEE Transactions on Computers	article	Linear feedback shift registers have been proposed to generate test patterns for the self-test of logic networks. The probability of linear dependence among k bit positions of a subset of k bits in a maximum length shift register sequence is an outstanding problem. In this correspondence, we derive a formula for the calculation of the probability.
5	W1982181688	1984	https://doi.org/10.1049/ip-e:19840021	An algorithm for the partitioning of logic circuits	IEE Proceedings E Computers and Digital Techniques	article	The exhaustive testing of today's digital circuits is not possible, owing to the vast test sequences which would have to be applied. Breaking down the circuit into manageable subcircuits (partitioning) makes exhaustive testing practicable. Partitioning has previously been done by the designer of the circuit in rather an ad hoc manner. The paper describes an algorithm which can be used to find the partitioning points in a circuit. The algorithm is illustrated for circuits containing reconvergent and nonreconvergent fan-outs.
6	W1991650763	1981	https://doi.org/10.1109/tc.1981.1675717	Design for Autonomous Test	IEEE Transactions on Computers	article	A technique for modifying networks so that they are capable of self test is presented. The major innovation is partitioning the network into subnetworks with sufficiently few inputs that exhaustive testing of the subnetworks is possible.
7	W1999667176	1965	https://doi.org/10.2307/1911908	The Theory of Graphs and Its Applications	Econometrica	article	This book on the theory of graphs provides the reader with a mathematical tool which can be used in the behavioral sciences, in the theory of information, cybernetics, games, transport networks, as well as in set theory and matrix theory.
8	W2008618370	1983	https://doi.org/10.1109/tc.1983.1676175	Exhaustive Test Pattern Generation with Constant Weight Vectors	IEEE Transactions on Computers	article	We develop in this paper a simple way of generating a test set which simultaneously provides exhaustive pattern testing with respect to all input subsets of a logic circuit up to a certain size. It is shown that such a test set may be formed with vectors of a particular set of weights. Main theorems and examples are established and illustrated in the binary case (for 2-value logic circuits) and then generalized to nonbinary cases (for multivalue logic circuits). Such test sets are simple in structure and become optimal in size in certain cases. It is also shown that such a test set can be effectively implemented via a scan path type shifter.
9	W2043949919	1984	https://doi.org/10.1109/tc.1984.1676477	Verification Testing—A Pseudoexhaustive Test Technique	IEEE Transactions on Computers	article	A new approach to test pattern generation which is particularly suitable for self-test is described. Required computation time is much less than for present day automatic test pattern generation (ATPG) programs. Fault simulation or fault modeling is not required. More patterns may be obtained than from standard ATPG programs. However, fault coverage is much higher—all irredundant multiple as well as single stuck faults are detected. The test patterns are easily generated algorithmically either by program or hardware.
10	W2065379887	1986	https://doi.org/10.1109/tc.1986.1676772	Condensed Linear Feedback Shift Register (LFSR) Testing—A Pseudoexhaustive Test Technique	IEEE Transactions on Computers	article	This paper presents a design technique for linear feedback shift registers that generate test patterns for pseudoexhaustive testing. This technique is applicable to any combinational network in which none of the outputs depends on all inputs. It does not rewire the original network inputs during in-circuit test pattern generation. Thus, the possibility of undetected faults on some inputs is eliminated.
11	W2081035247	1987	https://doi.org/10.1016/0898-1221(87)90077-0	The use of linear sums in exhaustive testing	Computers & Mathematics with Applications	article	
12	W2116645933	2003	https://doi.org/10.1109/test.1988.207832	Reconfigurable hardware for pseudoexhaustive test		conference-paper	The designs of two test pattern generators for pseudoexhaustive testing have been presented. These designs are capable of implementing test sets (recipe cubes) that exhaustively test the segments of a circuit. The application of each test set requires two control bits per circuit input. The test-pattern generators can be reconfigured by simple control circuitry to apply each of the test sets of a pseudoexhaustive test in sequence. The first design, based on multiplexers, uses very little hardware. The second design is a reconfigurable counter. Both of the designs presented can be used with built-in self-test (BIST) and or scan-path testing. In addition to higher fault coverage than single stuck-at testing, the use of these designs can sometimes offer reduced on-chip storage requirements and reduced testing time.&gt;
13	W2124267028	1988		Reconfigurable hardware for Pseudo-exhaustive test	International Test Conference	conference-paper	Two pseudo-exhaustive test pattern generator designs are presented, each capable of exhaustively testing a single segment of a circuit. The generators are reconfigurable and easily controlled by a state machine to implement full pseudo-exhaustive test.
14	W2145096019	2003	https://doi.org/10.1109/test.1988.207895	Partial hardware partitioning: a new pseudo-exhaustive test implementation		conference-paper	A pseudoexhaustive-test implementation technique is presented which combines the advantages of hardware partitioning and sensitized partitioning, offering lower hardware overhead than hardware partitioning, and lower test-set generation complexity and higher fault coverage than sensitized partitioning.&gt;
15	W2146797124	2003	https://doi.org/10.1109/ftcs.1989.105582	Pseudo-exhaustive test and segmentation: formal definitions and extended fault coverage results		conference-paper	Formal definitions are presented for segments and segmentations. Under these definitions, the partitionings of a circuit are a subset of the segmentations of that circuit. The fault coverage of an exhaustive test of a segment is then examined. Multiple-output segments, which have not previously been considered in the literature, are shown to present special difficulties, resulting in the definition of a novel type of segment test set. These results are used to present a formal definition for a pseudoexhaustive test using a segmentation. This definition guarantees detection of all detectable faults within segments. Consistency with previous definitions is maintained where practical.&gt;
16	W2296048154	1982	https://doi.org/10.5555/800263.809250	Verification Testing	Design Automation Conference	conference-paper	A new approach to test pattern generation which is particularly suitable for self-test is described. Required computation time is much less than for present-day automatic test pattern generation (ATPG) programs. Fault simulation is not required. More patterns may be obtained than from standard ATPG programs. However, fault coverage is much higher - all irredundant multiple as well as single stuck faults are detected. Test length is easily controlled. The test patterns are easily generated algorithmically either by program or hardware.
17	W2487492226	1990		Optimal circuit segmentation for pseudo-exhaustive testing		article	This thesis explores a graph theory problem that arises from a circuit-testing problem: Find an optimal segmentation for the pseudo-exhaustive testing of a combinational circuit. It translates the combinational circuit into a directed acyclic graph, and it proves that the resulting graph theory problem is in general NP-complete. Then it examines restricted versions of the problem--the number of segments might be limited, the fan-in or fan-out might be limited, or the graph might be otherwise constrained. It shows that although many restricted versions, too, are NP-complete, certain versions yield polynomial-time dynamic programming algorithms, and a reasonably well-defined boundary emerges between the two. Finally it considers approximating an optimal segmentation, and it shows in general that, unless P = NP, every polynomial-time algorithm for finding a segmentation will in the worst case be off from optimal by essentially an exponential factor.
18	W4230976363	1984	https://doi.org/10.1049/ip-e.1984.0021	An algorithm for the partitioning of logic circuits	IEE Proceedings E Computers and Digital Techniques	article	The exhaustive testing of today&apos;s digital circuits is not possible, owing to the vast test sequences which would have to be applied. Breaking down the circuit into manageable subcircuits (partitioning) makes exhaustive testing practicable. Partitioning has previously been done by the designer of the circuit in rather an ad hoc manner. The paper describes an algorithm which can be used to find the partitioning points in a circuit. The algorithm is illustrated for circuits containing reconvergent and nonreconvergent fan-outs.
19	W4231139853	1963	https://doi.org/10.2307/2333777	The Theory of Graphs and its Applications.	Biometrika	article	
20	W4240626649	1982	https://doi.org/10.1109/dac.1982.1585544	Verification Testing		conference-paper	A new approach to test pattern generation which is particularly suitable for self-test is described. Required computation time is much less than for present-day automatic test pattern generation (ATPG) programs. Fault simulation is not required. More patterns may be obtained than from standard ATPG programs. However, fault coverage is much higher - all irredundant multiple as well as single stuck faults are detected. Test length is easily controlled. The test patterns are easily generated algorithmically either by program or hardware.
