rank	source_id	year	doi	title	venue	type
1	doi:10.1007/s11425-012-4512-x	2012	10.1007/s11425-012-4512-x	New Semidefinite Programming Relaxations For Box Constrained Quadratic Program	Science China Mathematics [issn:1006-9283 issn:1674-7283 issn:1862-2763 issn:1869-1862 issn:2095-0535 omid:br/065043404]	journal article
2	doi:10.1109/cdc.2017.8264508	2017	10.1109/cdc.2017.8264508	Methods For Order Reduction Of Zonotopes	2017 IEEE 56Th Annual Conference On Decision And Control (CDC) [omid:br/06601960870]	proceedings article
3	doi:10.1016/j.ins.2013.04.035	2013	10.1016/j.ins.2013.04.035	On The Possibilistic Approach To Linear Regression Models Involving Uncertain, Indeterminate Or Interval Data	Information Sciences [issn:0020-0255 openalex:S192650101 omid:br/0617044118]	journal article
4	doi:10.1007/978-3-031-04520-2_1	2022	10.1007/978-3-031-04520-2_1	Introduction To QUBO	The Quadratic Unconstrained Binary Optimization Problem [isbn:9783031045196 isbn:9783031045202 omid:br/06240937417]	book chapter
5	doi:10.3182/20110828-6-it-1002.03612	2011	10.3182/20110828-6-it-1002.03612	Multilinear Algebraic Boolean Modelling With Tensor Decompositions Techniques	IFAC Proceedings Volumes [issn:1474-6670 openalex:S2898246533 omid:br/062030251]	journal article
6	doi:10.1007/s10898-009-9504-1	2009	10.1007/s10898-009-9504-1	An Improved Lower Bound And Approximation Algorithm For Binary Constrained Quadratic Programming Problem	Journal Of Global Optimization [issn:0925-5001 issn:1573-2916 openalex:S115925768 omid:br/061018460]	journal article
7	doi:10.1109/icassp.2011.5947193	2011	10.1109/icassp.2011.5947193	Rank-deficient Quadratic-Form Maximization Over M-phase Alphabet: Polynomial-complexity Solvability And Algorithmic Developments	2011 IEEE International Conference On Acoustics, Speech And Signal Processing (ICASSP) [omid:br/062303012312]	proceedings article
8	doi:10.1007/s10898-012-9872-9	2012	10.1007/s10898-012-9872-9	On Reduction Of Duality Gap In Quadratic Knapsack Problems	Journal Of Global Optimization [issn:0925-5001 issn:1573-2916 openalex:S115925768 omid:br/061018460]	journal article
9	doi:10.1109/tsp.2014.2338077	2014	10.1109/tsp.2014.2338077	"Optimal Algorithms For <Formula Formulatype=""Inline""> <Tex Notation=""TeX"">$L_{1}$</tex></formula>-subspace Signal Processing"	IEEE Transactions On Signal Processing [doi:10.1109/tsp.78 issn:1053-587X issn:1941-0476 openalex:S168680287 omid:br/0616051712]	journal article
10	doi:10.1016/j.dam.2015.04.004	2015	10.1016/j.dam.2015.04.004	The Bipartite Unconstrained 0–1 Quadratic Programming Problem: Polynomially Solvable Cases	Discrete Applied Mathematics [issn:0166-218X openalex:S171741597 omid:br/062204127]	journal article
