rank	source_id	year	doi	title	venue	type
1	10.1177/1687814018808170	2018	10.1177/1687814018808170	Transformation Of Business Process Model And Notation Models Onto Petri Nets And Their Analysis	Advances In Mechanical Engineering	journal article
2	10.1109/tac.2016.2574120	2017	10.1109/tac.2016.2574120	Basis Marking Representation Of Petri Net Reachability Spaces And Its Application To The Reachability Problem	IEEE Transactions On Automatic Control	journal article
3	10.1016/j.ins.2016.11.011	2017	10.1016/j.ins.2016.11.011	Deadlock Recovery For Flexible Manufacturing Systems Modeled With Petri Nets	Information Sciences	journal article
4	10.1109/access.2024.3408637	2024	10.1109/access.2024.3408637	A Deadlock Prevention Strategy For Petri Nets Through Tuning Time Constraints	IEEE Access	journal article
5	10.1109/access.2018.2840539	2018	10.1109/access.2018.2840539	Comparative Analysis Of Sequential And Combinatorial Auctions Based On Petri Nets	IEEE Access	journal article
6	10.1109/tac.2019.2907413	2020	10.1109/tac.2019.2907413	Marking Estimation In A Class Of Time Labeled Petri Nets	IEEE Transactions On Automatic Control	journal article
7	10.1016/j.ins.2016.05.020	2016	10.1016/j.ins.2016.05.020	Deadlock Analysis And Control In Resource Allocation Systems	Information Sciences	journal article
8	10.1049/cth2.12546	2023	10.1049/cth2.12546	A Symbolic Approach To The Verification And Enforcement Of Current‐State Opacity Using Labelled Petri Nets	IET Control Theory & Applications	journal article
9	10.1177/1687814019833866	2019	10.1177/1687814019833866	Modules Of Petri Nets And New Petri Net Structure: Arcs With A Weighted Function Set	Advances In Mechanical Engineering	journal article
10	10.1109/access.2017.2735418	2017	10.1109/access.2017.2735418	A Minimal Supervisory Structure To Optimally Enforce Liveness On Petri Net Models For Flexible Manufacturing Systems	IEEE Access	journal article
11	10.1177/1687814017750707	2018	10.1177/1687814017750707	Optimal Enforcement Of Liveness To Flexible Manufacturing Systems Modeled With Petri Nets Via Transition-Based Controllers	Advances In Mechanical Engineering	journal article
12	10.1080/02533839.2018.1504694	2018	10.1080/02533839.2018.1504694	Simulation And Analysis Of Reconfigurable Assembly Systems Based On R-TNCES	Journal Of The Chinese Institute Of Engineers	journal article
13	10.1080/00207543.2017.1346835	2017	10.1080/00207543.2017.1346835	State Estimation Of Discrete Event Systems For RUL Prediction Issue	International Journal Of Production Research	journal article
14	10.1109/access.2017.2720630	2017	10.1109/access.2017.2720630	Synthesis Of Liveness-Enforcing Petri Net Supervisors Based On A Think-Globally-Act-Locally Approach And Vector Covering For Flexible Manufacturing Systems	IEEE Access	journal article
15	10.1109/access.2018.2872572	2018	10.1109/access.2018.2872572	Improved Multi-Step Look-Ahead Control Policies For Automated Manufacturing Systems	IEEE Access	journal article
16	10.1109/tase.2020.3006435	2021	10.1109/tase.2020.3006435	RCTL: New Temporal Logic For Improved Formal Verification Of Reconfigurable Discrete-Event Systems	IEEE Transactions On Automation Science And Engineering	journal article
17	10.1177/1687814017700354	2017	10.1177/1687814017700354	A Class Of Generalized Petri Nets And Its State Equation	Advances In Mechanical Engineering	journal article
18	10.1109/tsmc.2018.2856763	2020	10.1109/tsmc.2018.2856763	An Extended Object Constraint Language For Adaptive Discrete Event Systems With Application To Reconfigurable Wireless Sensor Networks	IEEE Transactions On Systems, Man, And Cybernetics: Systems	journal article
19	10.1109/access.2019.2936052	2019	10.1109/access.2019.2936052	On Algebraic Identification Of Critical States For Deadlock Control In Automated Manufacturing Systems Modeled With Petri Nets	Eğitim Ve Yeni Yaklaşımlar Dergisi	journal article
