rank	source_id	year	doi	title	venue	type
1	citation-1	1992		Definitional Trees	ALP 1992	proceedings-article
2	citation-2	1997		Optimal Non-Deterministic Functional Logic Computations	ALP 1997	proceedings-article
3	citation-3	2001		Constructor-Based Conditional Narrowing	PPDP 2001	proceedings-article
4	citation-4	2005		Evaluation Strategies for Functional Logic Programming	Journal of Symbolic Computation	article
5	citation-5	2007	10.1145/1273920.1273936	Computing with Subspaces	PPDP 2007	proceedings-article
6	citation-6	2005		Declarative Programming with Function Patterns	LOPSTR 2005	proceedings-article
7	citation-7	2006	10.1007/11799573_9	Overlapping Rules and Logic Variables in Functional Logic Programs	ICLP 2006	proceedings-article
8	citation-8	2005		A Virtual Machine for Functional Logic Computations	IFL 2004	proceedings-article
9	citation-9	2001		Evaluation Strategies for Functional Logic Programming	Electronic Notes in Theoretical Computer Science	article
10	citation-10	1998		Term Rewriting and All That	Cambridge University Press	book
11	citation-11	2003		Term Rewriting Systems	Cambridge University Press	book
12	citation-12	2004		Encapsulating Non-Determinism in Functional Logic Computations	Journal of Functional and Logic Programming	article
13	citation-13	2007	10.1007/978-3-540-76637-7_9	On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
14	citation-14	2009		The Kiel Curry System KiCS	Applications of Declarative Programming and Knowledge Management	book-chapter
15	citation-15	1997		On Constructor-Based Graph Rewriting Systems	IMAG	technical-report
16	citation-16	2008		Inductively Sequential Term-Graph Rewrite Systems	ICGT 2008	proceedings-article
17	citation-17	1999		An Approach to Declarative Programming Based on a Rewriting Logic	Journal of Logic Programming	article
18	citation-18	1998		Strongly Sequential and Inductively Sequential Term Rewriting Systems	Information Processing Letters	article
19	citation-19	1998		Controlling Search in Declarative Programs	PLILP/ALP 1998	proceedings-article
20	citation-20	2006		Curry: An Integrated Functional Logic Language (Version 0.8.2)	Curry language specification	report
21	citation-21	2008		PAKCS 1.9.1: The Portland Aachen Kiel Curry System	software	software
22	citation-22	1991		Computations in Orthogonal Term Rewriting Systems	Computational Logic: Essays in Honour of Alan Robinson	book-chapter
23	citation-23	1992		Nondeterministic Algebraic Specifications and Nonconfluent Rewriting	Journal of Logic Programming	article
24	citation-24	2004		A Proof Theoretic Approach to Failure in Functional Logic Programming	Theory and Practice of Logic Programming	article
25	citation-25	1998		An Abstract Machine for the Efficient Implementation of Curry	Workshop on Functional and Logic Programming	proceedings-article
26	citation-26	1999		Implementing Encapsulated Search for a Lazy Functional Logic Language	FLOPS 1999	proceedings-article
27	citation-27	1985		Equational Logic as a Programming Language	MIT Press	book
28	citation-28	2006		Constructive Failure in Functional-Logic Programming: From Theory to Implementation	Journal of Universal Computer Science	article
29	citation-29	1994		Encapsulated Search for Higher-Order Concurrent Constraint Programming	International Logic Programming Symposium	proceedings-article
30	citation-30	1976		Algorithms and Data Structures	Prentice Hall	book
