rank	source_id	year	doi	title	venue	type
1	citation-1	2009	-	A survey on explicit model predictive control	Nonlinear model predictive control: towards new challenging applications	reference
2	citation-2	1990	-	Set-valued analysis	Set-valued analysis	reference
3	citation-3	1982	-	Non-linear parametric optimization	Non-linear parametric optimization	reference
4	citation-4	-	-	Baotić, M. (2002). An efficient algorithm for multi-parametric quadratic programming. Technical report AUT02-05. Automatic Control Institute. ETH, Zurich, Switzerland.	-	reference
5	doi:10.1109/cdc.2005.1583504	-	10.1109/CDC.2005.1583504	Baric, M., Baotić, M., & Morari, M. (2005). On-line tuning of controllers for systems with constraints. In Proc. 44th IEEE conf. on decision and control. Sevilla, Spain(pp. 8288–8293).	-	reference
6	doi:10.1109/cdc.2006.377502	-	10.1109/CDC.2006.377502	Baric, M., Jones, C. N., & Morari, M. (2006). Parametric analysis of controllers for constrained linear systems. In Proc. 45th IEEE conf. on decision and control. San Diego, CA, USA (pp. 4514–4519).	-	reference
7	doi:10.1109/tac.2002.805688	2002	10.1109/TAC.2002.805688	Model predictive control based on linear programming—the explicit solution	IEEE Transactions on Automatic Control	reference
8	doi:10.1016/s0005-1098(01)00174-1	2002	10.1016/S0005-1098(01)00174-1	The explicit linear quadratic regulator for constrained systems	Automatica	reference
9	doi:10.1016/j.automatica.2009.09.032	2009	10.1016/j.automatica.2009.09.032	Multiobjective model predictive control	Automatica	reference
10	citation-10	2003	-	Convex analysis and optimization	Convex analysis and optimization	reference
11	doi:10.1023/b:jota.0000004869.66331.5c	2003	10.1023/B:JOTA.0000004869.66331.5c	A geometric algorithm for multi-parametric linear programming	Journal of Optimization Theory and Applications	reference
12	citation-12	2009	-	An output-sensitive algorithm for multi-parametric LCPs with sufficient matrices	-	reference
13	doi:10.1137/s1052623400371016	2001	10.1137/S1052623400371016	Ample parameterization of variational inclusions	SIAM Journal on Optimization	reference
14	doi:10.1023/a:1011298415881	2001	10.1023/A:1011298415881	Primal–dual solution perturbations in convex optimization	Set-Valued Analysis	reference
15	citation-15	2003	-	-	-	reference
16	citation-16	-	-	Fukuda, K. (2004). Cdd, cddplus and cddlib homepage. Technical Report. Swiss Federal Institute of Technology. Lausanne and Zurich. http://www.cs.mcgill.ca/~fukuda/soft/cddhome/cdd.html.	-	reference
17	doi:10.1007/bf02591962	1983	10.1007/BF02591962	A numerically stable dual method for solving strictly convex quadratic programs	Mathematical Programming	reference
18	doi:10.1016/j.automatica.2003.11.014	2004	10.1016/j.automatica.2003.11.014	Computation of the constrained infinite time linear quadratic regulator	Automatica	reference
19	doi:10.1007/bf01580610	1993	10.1007/BF01580610	Convergence behavior of interior-point algorithms	Mathematical Programming	reference
20	doi:10.1109/cdc.2002.1184260	-	10.1109/CDC.2002.1184260	Johansen, T. A. (2002). On multi-parametric nonlinear programming and explicit nonlinear model predictive control. In Proc. 41st IEEE conf. on decision and control. (pp. 2768–2773). Vol. 3.	-	reference
21	citation-21	-	-	Jones, C.N. (2005). Polyhedral tools for control. Ph.D. thesis. Department of Engineering, University of Cambridge, UK.	-	reference
22	doi:10.3166/ejc.13.152-170	2007	10.3166/ejc.13.152-170	Multiparametric linear programming with applications to control	European Journal of Control	reference
23	doi:10.1016/j.automatica.2007.03.008	2007	10.1016/j.automatica.2007.03.008	Lexicographic perturbation for multiparametric linear programming with applications to control	Automatica	reference
24	citation-24	2006	-	Primal–dual enumeration for multiparametric linear programming	Mathematical software—ICMS 2006	reference
25	doi:10.1109/cdc.2006.377799	-	10.1109/CDC.2006.377799	Jones, C. N., & Maciejowski, J. (2006b). Reverse search for parametric linear programming. In Proc. 45th IEEE conf. on decision and control. San Diego, CA, USA (pp. 1504–1509).	-	reference
26	citation-26	-	-	Kerrigan, E. C., & Maciejowski, J. M. (2000). Soft constraints and exact penalty functions in model predictive control. In Proc. UKACC international conference. Cambridge, UK, September 2000.	-	reference
27	citation-27	2002	-	Nonsmooth equations in optimization: regularity, calculus, methods and applications	Nonsmooth equations in optimization: regularity, calculus, methods and applications	reference
28	citation-28	-	-	Kvasnica, M., Grieder, P., & Baotić, M. (2004). Multiparametric toolbox (MPT). http://control.ee.ethz.ch/~mpt/.	-	reference
29	doi:10.1137/s036301299935211x	2001	10.1137/S036301299935211X	Solution sensitivity from general principles	SIAM Journal on Control and Optimization	reference
30	doi:10.1090/s0002-9947-1994-1260203-5	1994	10.1090/S0002-9947-1994-1260203-5	Sensitivity analysis of solutions to generalized equations	Transactions of the American Mathematical Society	reference
31	citation-31	1995	-	Sensitivity of solutions in nonlinear programming problems with nonunique multipliers	Recent advances in nonsmooth optimization	reference
32	doi:10.1016/0362-546x(95)00047-y	1996	10.1016/0362-546X(95)00047-Y	Variational conditions and the proto-differentiation of partial subgradient mappings	Nonlinear Analysis	reference
33	doi:10.1016/0167-6377(88)90047-8	1988	10.1016/0167-6377(88)90047-8	A simple characterization of solution sets of convex programs	Operations Research Letters	reference
34	doi:10.1137/0325033	1987	10.1137/0325033	Lipschitz continuity of solutions of linear inequalities, programs and complementarity problems	SIAM Journal on Control and Optimization	reference
35	citation-35	1999	-	Numerical optimization	Numerical optimization	reference
36	doi:10.1287/trsc.37.1.56.12821	2003	10.1287/trsc.37.1.56.12821	Sensitivity analysis of aggregated variational inequality problems, with application to traffic equilibria	Transportation Science	reference
37	citation-37	2007	-	-	-	reference
38	citation-38	2007	-	-	-	reference
39	doi:10.1007/bf01585934	1995	10.1007/BF01585934	Directional differentiability of the solution of a parametric nonlinear program	Mathematical Programming	reference
40	doi:10.1007/bfb0120929	1981	10.1007/BFb0120929	Some continuity properties of polyhedral multifunctions	Mathematical Programming Study	reference
41	citation-41	1970	-	Convex analysis	Convex analysis	reference
42	citation-42	2009	-	Variational analysis	Variational analysis	reference
43	citation-43	-	-	Scholtes, S. (1994). Introduction to piecewise differentiable equations. Habilitation thesis. University of Karlsruhe, Karlsruhe, Germany.	-	reference
44	citation-44	-	-	Spjøtvold, J., Kerrigan, E. C., Jones, C. N., Tøndel, P., & Johansen, T. A. (2004). Conjectures on an algorithm for convex parametric quadratic programs. Technical report CUED/F-INFENG/TR.496. Department of Engineering. University of Cambridge, Cambridge, UK.	-	reference
45	doi:10.1016/j.automatica.2006.06.026	2006	10.1016/j.automatica.2006.06.026	On the facet-to-facet property of solutions to convex parametric quadratic programs	Automatica	reference
46	doi:10.1007/s10957-007-9215-z	2007	10.1007/s10957-007-9215-z	Continuous selection and unique polyhedral representation of solutions to convex parametric quadratic programs	Journal of Optimization Theory and Applications	reference
47	doi:10.1016/s0005-1098(02)00250-9	2003	10.1016/S0005-1098(02)00250-9	An algorithm for multi-parametric quadratic programming and explicit MPC solutions	Automatica	reference
48	doi:10.1109/cdc.2003.1273111	-	10.1109/CDC.2003.1273111	Tøndel, P., Johansen, T. A., & Bemporad, A. (2003b). Further results on multiparametric quadratic programming. In Proc. 42th IEEE conf. on decision and control (pp. 3173–3178).	-	reference
49	citation-49	-	-	Wills, A. (2009). QPC-quadratic programming in C. http://sigpromu.org/quadprog/.	-	reference
