rank	openalex_id	year	doi	title	venue	type
1	W1487965496	2000		SATLIB: An Online Resource for Research on SAT		article
2	W1507988282	2004	https://doi.org/10.1007/978-3-540-24605-3_21	A Case for Efficient Solution Enumeration	Lecture notes in computer science	conference-paper
3	W1528660673	2015	https://doi.org/10.1007/978-3-662-46681-0_26	Approximate Counting in SMT and Value Estimation for Probabilistic Programs	Lecture notes in computer science	conference-paper
4	W1542414055	2005	https://doi.org/10.1007/978-3-540-31980-1_19	Efficient Conflict Analysis for Finding All Satisfying Assignments of a Boolean Circuit	Lecture notes in computer science	conference-paper
5	W1592338211	2005	https://doi.org/10.1007/11527695_13	Using DPLL for Efficient OBDD Construction	Lecture notes in computer science	conference-paper
6	W1601517679	2003	https://doi.org/10.1007/978-3-540-45069-6_15	A Symbolic Approach to Predicate Abstraction	Lecture notes in computer science	conference-paper
7	W1686746446	2000		Counting Models Using Connected Components		article
8	W1820309519	2004	https://doi.org/10.1007/978-3-540-30494-4_20	Memory Efficient All-Solutions SAT Solver and Its Application for Reachability Analysis	Lecture notes in computer science	conference-paper
9	W1898297283	2000	https://doi.org/10.1613/jair.711	Backbone Fragility and the Local Search Cost Peak	Journal of Artificial Intelligence Research	article
10	W2032890961	2013	https://doi.org/10.1109/fmcad.2013.6679390	Computing prime implicants		conference-paper
11	W2044560939	1999	https://doi.org/10.1109/12.769433	GRASP: a search algorithm for propositional satisfiability	IEEE Transactions on Computers	article
12	W2057361103	1962	https://doi.org/10.1145/368273.368557	A machine program for theorem-proving	Communications of the ACM	article
13	W2108637261	1997		Using CSP look-back techniques to solve real-world SAT instances		article
14	W2140209083	2005	https://doi.org/10.1109/ictai.2005.69	Good learning and implicit model enumeration		conference-paper
15	W2151398141	2002	https://doi.org/10.1007/3-540-45657-0_19	Applying SAT Methods in Unbounded Symbolic Model Checking	Lecture notes in computer science	conference-paper
16	W2153390672	2014	https://doi.org/10.1109/vlsid.2014.22	All-SAT Using Minimal Blocking Clauses		conference-paper
17	W2171471221	2004		A Novel SAT All-Solutions Solver for Efficient Preimage Computation		article
18	W2547099952	2016	https://doi.org/10.1007/978-3-319-47175-4_3	A Comparative Study of SAT-Based Itemsets Mining		conference-paper
19	W2741061345	2017	https://doi.org/10.24963/ijcai.2017/93	An Improved Decision-DNNF Compiler		conference-paper
20	W2937129136	2019	https://doi.org/10.1016/j.artint.2019.04.003	Advanced SMT techniques for weighted model integration	Artificial Intelligence	article
21	W2951617067	2014	https://doi.org/10.48550/arxiv.1411.0659	Approximate Counting in SMT and Value Estimation for Probabilistic Programs	White Rose Research Online (University of Leeds, The University of Sheffield, University of York)	conference-paper
22	W2966083108	2019	https://doi.org/10.24963/ijcai.2019/163	GANAK: A Scalable Probabilistic Exact Model Counter		conference-paper
23	W2996781639	2019	https://doi.org/10.29007/vgg4	Combining Conflict-Driven Clause Learning and Chronological Backtracking for Propositional Model Counting	EPiC series in computing	conference-paper
24	W3040050880	2020	https://doi.org/10.1007/978-3-030-51825-7_5	Four Flavors of Entailment	Lecture notes in computer science	conference-paper
25	W3124009642	2020	https://doi.org/10.1145/3324884.3416569	Accelerating all-SAT computation with short blocking clauses		conference-paper
26	W4233090747	2002	https://doi.org/10.1109/dac.2001.935565	Chaff: engineering an efficient SAT solver		conference-paper
27	W4246783757	2018	https://doi.org/10.1007/978-3-319-94144-8_7	Chronological Backtracking	Lecture notes in computer science	conference-paper
28	W4283723512	2022	https://doi.org/10.48550/arxiv.2206.13856	SMT-based Weighted Model Integration with Structure Awareness	Lirias	conference-paper
29	W4285602010	2022	https://doi.org/10.24963/ijcai.2022/259	AllSATCC: Boosting AllSAT Solving with Efficient Component Analysis		conference-paper
30	W4286897120	2021	https://doi.org/10.4230/lipics.sat.2024.13	Entailing Generalization Boosts Enumeration	arXiv (Cornell University)	preprint
31	W4287863081	2025	https://doi.org/10.4230/lipics.sat.2025.22	Enumerating All Boolean Matches		conference-paper
