rank	source_id	year	doi	title	venue	type
1	6b2731e388896435cef6354d313f1c273809ffce	2026	10.48550/arXiv.2601.13224	Functional Logic Program Transformations	arXiv.org	JournalArticle
2	d3c31aa54ee7ac3f7f99b5b97d5948b61a8498a2	2026	10.1145/3776699	Domain-Theoretic Semantics for Functional Logic Programming	Proc. ACM Program. Lang.	JournalArticle
3	d75417601d057bf43a856365cfd5658d8b692cb5	2025	10.1145/3764115	Bennet: Randomized Specification Testing for Heap-Manipulating Programs	Proc. ACM Program. Lang.	JournalArticle
4	3a904b325b68971ad7a7117af95cd7708c3cb3d6	2025	10.1145/3756907.3756915	Determinism Types for Functional Logic Programming	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	Book
5	6541c7c53eb6cb7a6e0d1533c7a545aab933f8c4	2025	10.1145/3808278	Code-Specify-Test-Debug-Prove: Flexibly Integrating Separation Logic Specification into Conventional Workflows	Proceedings of the ACM on Programming Languages	JournalArticle
6	66112b536741c937e18dab3351cbd51c45bf88d6	2025	10.4204/EPTCS.421.7	An Execution Model for RICE	Workshop on Logical and Semantic Frameworks with Applications	JournalArticle
7	51a3811c17788e3bd2a1e398ea36175ecf0ba126	2025	10.48550/arXiv.2505.14895	Nominal Equational Narrowing: Rewriting for Unification in Languages with Binders	arXiv.org	JournalArticle
8	dd440ab49acaebc372771325129e4a06c5f1dc2a	2024	10.48550/arXiv.2402.12960	Inferring Non-Failure Conditions for Declarative Programs	Fuji International Symposium on Functional and Logic Programming	JournalArticle
9	6ec5b1fbaf25e7252965dcf36e435818ba4c99f8	2022	10.1145/3551357.3551370	A Monadic Implementation of Functional Logic Programs	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	Book
10	49f1ec8d74b163bdde52fbcf211cb86ba0419c1f	2022	10.1017/S1471068422000187	From Logic to Functional Logic Programs	Theory and Practice of Logic Programming	JournalArticle
11	683b4f6493648a0557a4ede1879759f830cd7123	2022		A Rule-based Operational Semantics of Graph Query Languages	arXiv.org	JournalArticle
12	07b2f4e355410650cd1a8f892a919e5a1f2bb205	2021	10.1145/3519939.3523731	CycleQ: an efficient basis for cyclic equational reasoning	ACM-SIGPLAN Symposium on Programming Language Design and Implementation	JournalArticle
