rank	source_id	year	doi	title	venue	type
1	34202d285d1ebabe8ec6154cfaf5a810c350cd5e	2020	10.1109/IC_ASET49463.2020.9318298	Minimum Initial Marking Estimation in Labeled Petri Nets through Genetic Algorithm and Tabu Search	2020 4th International Conference on Advanced Systems and Emergent Technologies (IC_ASET)	Conference
2	d9c03c2e4bb39477a3a3142723cf4faf4b1466f1	2020	10.1109/CoDIT49905.2020.9263900	Configuration of surveillance patrols with Petri nets for safety issues	International Conference on Control, Decision and Information Technologies	JournalArticle
3	f326be094ed9365f53a1eed26a1d2e5ea90984d8	2020	10.1080/01969722.2020.1770505	Minimum Initial Marking Estimation of Labeled Petri Nets Based on GRASP Inspired Method (GMIM)	Cybernetics and systems	JournalArticle
4	d1d5e68293a85425b95cac9b0aebfab65ebc4f59	2019	10.1109/SKG49510.2019.00021	GRASP-Based Approach for Minimum Initial Marking Estimation in Labeled Petri Nets	International Conference on Semantics, Knowledge and Grid	JournalArticle
5	f69892cb1156896c7726ed49ebc423e7c90394e7	2019	10.1109/CoDIT.2019.8820467	Towards a Minimum Initial Marking Estimation Procedure for P-Time Labelled Petri net Systems	International Conference on Control, Decision and Information Technologies	JournalArticle
6	dc4ee86c040a61eb5f4d684b1fbfd9dbe9d53ac1	2011	10.1109/ETFA.2011.6059032	State estimation of partially observable des using Fuzzy timed Petri Nets	IEEE International Conference on Emerging Technologies and Factory Automation	JournalArticle
7	0c2e353dfc5ff3a4496f5718b36ed89e5b68ba66	2011	10.1109/CASE.2011.6042418	State uncertainty analysis of Fuzzy Timed DES	IEEE International Conference on Automation Science and Engineering	JournalArticle
8	e5d8684320be24856828d132d8fbd5c1f87d59fc	2009	10.1109/ACC.2009.5160266	Minimum initial marking estimation in labeled Petri nets	American Control Conference	JournalArticle
9	e341b2752d1ce1910f52d708598d13c300cb047f	2007	10.1109/CDC.2007.4434997	Reconstruction of Transition Firing Sequences Based on Asynchronous Observations of Place Token Changes	IEEE Conference on Decision and Control	JournalArticle
10	4e3d72aa8d9f5277e5a1c71fd0c6dedefe8e2628	2007	10.1109/ICSMC.2007.4413809	Marking estimation of fuzzy timed marked graphs	IEEE International Conference on Systems, Man and Cybernetics	JournalArticle
11	0c6258f03fd2a03bb3dbaddb12334a1f46cc75f4	2006	10.1109/CDC.2006.377182	Least-Cost Transition Firing Sequence Estimation in Labeled Petri Nets	Proceedings of the 45th IEEE Conference on Decision and Control	JournalArticle
12	f576df8a239f823af89bedc77f35f5134cfc7ced	2003	10.1109/ETFA.2003.1247722	Observers for nondeterministic /spl lambda/-free labeled Petri nets	EFTA 2003. 2003 IEEE Conference on Emerging Technologies and Factory Automation. Proceedings (Cat. No.03TH8696)	JournalArticle
13	ce0a1a4ffc3fe8fbfb8be714d981508daf145daa	2020	10.1109/ACCESS.2020.2967342	Genetic-Based Approach for Minimum Initial Marking Estimation in Labeled Petri Nets	IEEE Access	JournalArticle
14	014b5445e6704d64ebb8abba2a69cf2faed1c16b	2013	10.1109/TAC.2012.2203031	Stability of Positive Differential Systems With Delay	IEEE Transactions on Automatic Control	JournalArticle
15	575d6ae214e49cfeea6f5920eb777138ac9a4fb5	2013	10.1109/TAC.2012.2203050	Minimum Initial Marking Estimation in Labeled Petri Nets	IEEE Transactions on Automatic Control	JournalArticle
16	7de74086d6f529695bdaaed462108ee7fa8d3335	2003		MARKING ESTIMATION OF PETRI NETS WITH λ-FREE LABELING		
