rank	source_id	year	doi	title	venue	type
1	1557a1f435919c33650a23b4d43df9146c8be4bf	2026	10.48550/arXiv.2603.08964	The FABRIC Strategy for Verifying Neural Feedback Systems	arXiv.org	JournalArticle
2	b992104d7ec11650e123320fc42c7fa3731066a3	2025	10.1109/CDC57313.2025.11312068	A Guided Retraining Strategy For Safe ReLU Neural Network Controllers Of Linear Systems	IEEE Conference on Decision and Control	JournalArticle,Conference
3	0d3b20ee0e2a85050b5a43692d1fec557e529bb7	2025	10.1145/3763328	Marching Neurons: Accurate Surface Extraction for Neural Implicit Shapes	ACM Transactions on Graphics	JournalArticle
4	8abccd885f807e953a86cf3533f5fd1112699f97	2025	10.1109/DASC66011.2025.11257265	Predictive Uncertainty for Runtime Assurance of a Real-Time Computer Vision-Based Landing System	Symposium on Dependable Autonomic and Secure Computing	JournalArticle,Conference
5	8349f4b76844bcc6ab6143d13a69c962f0b6f8e6	2025	10.48550/arXiv.2507.04523	Verification of Visual Controllers via Compositional Geometric Transformations	arXiv.org	JournalArticle
6	90ec21cb69adc4bf9a020286ff453304bec653c0	2025	10.48550/arXiv.2505.22798	Efficient Preimage Approximation for Neural Network Certification	arXiv.org	JournalArticle
7	9e089ea4899ea4a22760c0f8f6c032937b8106d4	2025	10.48550/arXiv.2505.03643	BURNS: Backward Underapproximate Reachability for Neural-Feedback-Loop Systems	arXiv.org	JournalArticle
8	14319606ff962ebdb0adc50ea579dcc82a26af24	2025	10.1109/CDC57313.2025.11312208	Learning Verifiable Control Policies Using Relaxed Verification	IEEE Conference on Decision and Control	JournalArticle,Conference
9	64b1ebc33890b1b82fb80b33d124afbf7c1d4fdf	2025		Polyhedral Enclosures: An Efficient Combinatorial Abstraction for Nonlinear Neural Feedback Systems		
10	5cbdb2bc5823ed8c69d22eb3b8810536f435313a	2024	10.1109/TCST.2025.3593237	Safe Autonomy for Uncrewed Surface Vehicles Using Adaptive Control and Reachability Analysis	IEEE Transactions on Control Systems Technology	JournalArticle
11	05dc076a19acc5eca0cd3c8f7618701db79aacb2	2024	10.1109/CDC56724.2024.10886505	Estimation of Constraint Admissible Invariant Set with Neural Lyapunov Function	IEEE Conference on Decision and Control	JournalArticle,Conference
12	4b6b82a459815af16e5b8e2f500c3fb12c8740eb	2024	10.1109/ICRA55743.2025.11127579	Guaranteed Reach-Avoid for Black-Box Systems through Narrow Gaps via Neural Network Reachability	IEEE International Conference on Robotics and Automation	JournalArticle,Conference
13	1d6124e3d63a7de960a86deb2f5608ab2331a0fd	2024	10.48550/arXiv.2408.09262	PREMAP: A Unifying PREiMage APproximation Framework for Neural Networks	Journal of machine learning research	JournalArticle
14	334d78097a54732bcf87e6a01301ce97376e7825	2024	10.48550/arXiv.2406.04476	Provable Bounds on the Hessian of Neural Networks: Derivative-Preserving Reachability Analysis	arXiv.org	JournalArticle
15	74fbd49f0feb6a034807c529a5bc199d455e0aa9	2024	10.1109/JIOT.2024.3360294	Hybrid and Spatiotemporal Detection of Cyberattack Network Traffic in Cloud Data Centers	IEEE Internet of Things Journal	JournalArticle
16	47e80f59767b01226833b58f6cf19070da20dce9	2024	10.48550/arXiv.2403.13297	POLICEd RL: Learning Closed-Loop Robot Control Policies with Provable Satisfaction of Hard Constraints	Robotics: Science and Systems Conference	JournalArticle
17	011fe9b5f5a49264fb66cec403238f353acedbcb	2024	10.48550/arXiv.2402.15604	Goal-Reaching Trajectory Design Near Danger with Piecewise Affine Reach-avoid Computation	Robotics: Science and Systems Conference	JournalArticle
18	dea215fea3f27d4c149108f04427d01cce32ceb0	2023	10.1109/LCSYS.2023.3342088	Safety Verification of Neural-Network-Based Controllers: A Set Invariance Approach	IEEE Control Systems Letters	JournalArticle
19	9e7f1280622ee70bbcaa1bd590a3fd7d0c384e2a	2023	10.3389/fdata.2023.1274831	Integrating geometries of ReLU feedforward neural networks	Frontiers Big Data	JournalArticle
20	aa376713f28662a6ec05e77d6029f408a4dc4fc8	2023	10.1109/ICRA57147.2024.10610163	Online Data-Driven Safety Certification for Systems Subject to Unknown Disturbances	IEEE International Conference on Robotics and Automation	JournalArticle,Conference
21	da82671b521d53c1d241ce54f7f1145342c89b5d	2023	10.23919/ACC60939.2024.10644573	Hybrid Zonotope-Based Backward Reachability Analysis for Neural Feedback Systems With Nonlinear Plant Models	American Control Conference	JournalArticle,Conference
22	60210132afd88795ede5efa054ef6f0a6601b0d4	2023	10.1109/SMC53992.2023.10393988	Deep and Spatio-Temporal Detection for Abnormal Traffic in Cloud Data Centers	IEEE International Conference on Systems, Man and Cybernetics	JournalArticle,Conference
23	6b8736af96de06dd5a0992c8af0c244e8b8d5e3b	2023	10.48550/arXiv.2306.17418	ReLU Neural Networks, Polyhedral Decompositions, and Persistent Homolog	TAG-ML	JournalArticle
24	5dc0a134425d0f7e05919b934ab1975b1ba5be49	2023	10.48550/arXiv.2305.00241	When Deep Learning Meets Polyhedral Theory: A Survey	INFORMS journal on computing	JournalArticle,Review
25	c0ba93140109ba8df17125c2245b706729a3632b	2023	10.48550/arXiv.2304.01826	CGDTest: A Constrained Gradient Descent Algorithm for Testing Neural Networks	arXiv.org	JournalArticle
26	0c33a3d4c2270dd9d39df3074a5ec1ac0112921c	2023	10.1109/CDC49753.2023.10383853	Data-Driven Covariance Steering Control Design	IEEE Conference on Decision and Control	JournalArticle,Conference
27	1211f9a4a0624b9ede24752569071218025c91c7	2023	10.1109/LCSYS.2023.3289572	Backward Reachability Analysis of Neural Feedback Systems Using Hybrid Zonotopes	IEEE Control Systems Letters	JournalArticle
28	8d20c4ff4caf475b6f0de8e72a2362ab0d163084	2023	10.48550/arXiv.2303.03530	Incorporating Human Path Preferences in Robot Navigation with Minimal Interventions	arXiv.org	JournalArticle
29	70f0dd9a55b7175f6b5e42255e1420f03df3e968	2023	10.48550/arXiv.2303.01713	Convex Bounds on the Softmax Function with Applications to Robustness Verification	International Conference on Artificial Intelligence and Statistics	JournalArticle
30	0ad90df9d692dfb040a9aa6dab1e6065de0cae4a	2023	10.48550/arXiv.2302.01404	Provably Bounding Neural Network Preimages	Neural Information Processing Systems	JournalArticle
