rank	openalex_id	year	doi	title	venue	type
1	W2130773092	1994	https://doi.org/10.1006/inco.1994.1045	Symbolic Model Checking for Real-Time Systems	Information and Computation	article
2	W2136601052	2015	https://doi.org/10.1145/2786805.2786830	MultiSE: multi-path symbolic execution using value summaries		conference-paper
3	W2294434616	2016	https://doi.org/10.1145/2884781.2884843	Guiding dynamic symbolic execution toward unverified program executions		conference-paper
4	W109909280	2008		Impeding Malware Analysis Using Conditional Code Obfuscation		article
5	W197480570	2012	https://doi.org/10.1007/978-3-642-33125-1_18	Symbolic Learning of Component Interfaces	Lecture notes in computer science	conference-paper
6	W2805375386	2018	https://doi.org/10.1145/3213846.3213868	Badger: complexity analysis with fuzzing and symbolic execution		conference-paper
7	W2167672803	2011	https://doi.org/10.1145/1985793.1985838	Symbolic model checking of software product lines		conference-paper
8	W2925685215	2019	https://doi.org/10.1109/sp.2019.00022	CaSym: Cache Aware Symbolic Execution for Side Channel Detection and Mitigation		conference-paper
9	W2385332115	2016	https://doi.org/10.1145/2884781.2884856	Synthesizing framework models for symbolic execution		conference-paper
10	W2030359223	2004	https://doi.org/10.1016/j.apal.2004.01.003	The guarded fragment with transitive guards	Annals of Pure and Applied Logic	article
11	W2294986739	2015	https://doi.org/10.1007/978-3-662-49122-5_10	Exact Heap Summaries for Symbolic Execution	Lecture notes in computer science	conference-paper
12	W3119014038	2021	https://doi.org/10.1145/3425497	Killing Stubborn Mutants with Symbolic Execution	Open Repository and Bibliography (University of Luxembourg)	article
13	W1581214603	2010	https://doi.org/10.1007/978-3-642-12002-2_27	Trace-Based Symbolic Analysis for Atomicity Violations	Lecture notes in computer science	conference-paper
14	W2004463571	1995	https://doi.org/10.1016/0304-3975(94)00202-t	The algorithmic analysis of hybrid systems	Theoretical Computer Science	article
15	W2401312886	2016	https://doi.org/10.1145/2927924	Enhancing symbolic execution with veritesting	Communications of the ACM	article
16	W2399860794	2006		Verifying Concurrent Systems with Symbolic Execution: Temporal Reasoning Is Symbolic Execution with a Little Induction	OPUS (Augsburg University)	dissertation
17	W2927889296	2019	https://doi.org/10.1016/j.scico.2019.03.006	Symbolic state space reduction with guarded terms for rewriting modulo SMT	Science of Computer Programming	article
18	W1699755414	2012	https://doi.org/10.4230/lipics.fsttcs.2012.24	Test Generation Using Symbolic Execution	DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)	article
19	W4296412272	2022	https://doi.org/10.1145/3563344	Symbolic execution for randomized programs	Proceedings of the ACM on Programming Languages	article
20	W2528040273	2018	https://doi.org/10.1145/3182657	A Survey of Symbolic Execution Techniques	ACM Computing Surveys	article
21	W2123183457	2010	https://doi.org/10.3233/aic-2010-0458	Interactive verification of concurrent systems using symbolic execution	AI Communications	article
22	W3091359231	2020	https://doi.org/10.1145/3377811.3380359	Efficient generation of error-inducing floating-point inputs via symbolic execution		conference-paper
23	W2171239903	2013	https://doi.org/10.1145/2465106.2465121	Faceted execution of policy-agnostic programs		conference-paper
24	W2971743981	2019	https://doi.org/10.1145/3360549	TLA+ model checking made symbolic	Proceedings of the ACM on Programming Languages	article
25	W2085838366	1998	https://doi.org/10.1006/jcss.1998.1581	What's Decidable about Hybrid Automata?	Journal of Computer and System Sciences	article
26	W1963571656	2003	https://doi.org/10.1145/945885.945888	Fractal symbolic analysis	ACM Transactions on Programming Languages and Systems	article
27	W2947182139	2019	https://doi.org/10.14722/ndss.2019.23371	REDQUEEN: Fuzzing with Input-to-State Correspondence		conference-paper
28	W2060993374	2009	https://doi.org/10.1016/j.entcs.2009.05.051	Symbolic Model-based Test Selection	Electronic Notes in Theoretical Computer Science	article
29	W2075571135	2013	https://doi.org/10.1016/j.scico.2013.09.019	Formal semantics, modular specification, and symbolic verification of product-line behaviour	Science of Computer Programming	article
30	W1490569620	2000	https://doi.org/10.1007/3-540-46419-0_11	Symbolic Model Checking for Rectangular Hybrid Systems	Lecture notes in computer science	conference-paper
31	W2050304663	2001	https://doi.org/10.1016/s0304-3975(00)00105-5	Ensuring completeness of symbolic verification methods for infinite-state systems	Theoretical Computer Science	article
32	W4293812490	2022	https://doi.org/10.1145/3547628	Verified symbolic execution with Kripke specification monads (and no meta-programming)	Proceedings of the ACM on Programming Languages	article
33	W2165513287	2000	https://doi.org/10.1145/337292.337336	Reliable verification using symbolic simulation with scalar values		conference-paper
34	W2033651910	2011	https://doi.org/10.1007/s00165-011-0179-2	Symbolic predictive analysis for concurrent programs	Formal Aspects of Computing	article
35	W2135274583	2000	https://doi.org/10.1145/337180.337234	Bandera		conference-paper
36	W3205422842	2021	https://doi.org/10.1145/3471621.3471865	SyML: Guiding Symbolic Execution Toward Vulnerable States Through Pattern Learning		conference-paper
37	W1985774614	2014	https://doi.org/10.1145/2660193.2660205	Validation of memory accesses through symbolic analyses		conference-paper
38	W2105311417	1994	https://doi.org/10.1145/196244.196473	Incorporating speculative execution in exact control-dependent scheduling		conference-paper
39	W1535443236	2008		On Delayed Choice Execution for Falsification	Infoscience (Ecole Polytechnique Fédérale de Lausanne)	report
40	W2898543817	2018	https://doi.org/10.1145/3276519	Finding code that explodes under symbolic evaluation	Proceedings of the ACM on Programming Languages	article
41	W4388188464	2023	https://doi.org/10.1145/3623652.3623666	SEIF: Augmented Symbolic Execution for Information Flow in Hardware Designs		conference-paper
42	W2794609696	2018	https://doi.org/10.1109/sp.2018.00058	AI2: Safety and Robustness Certification of Neural Networks with Abstract Interpretation		conference-paper
43	W1805265119	1997	https://doi.org/10.1007/3-540-63166-6_47	Uppaal: Status &amp; developments	Lecture notes in computer science	conference-paper
44	W2124580491	2014	https://doi.org/10.1016/j.tcs.2014.01.016	Program verification using symbolic game semantics	Theoretical Computer Science	article
45	W2058518337	2003	https://doi.org/10.1016/s1571-0661(04)80611-x	Towards Symbolic Analysis of Visual Modeling Languages	Electronic Notes in Theoretical Computer Science	article
46	W2129384397	1997		The Theory and Practice of Concurrency	CERN Document Server (European Organization for Nuclear Research)	other
47	W1567263808	2002	https://doi.org/10.1007/3-540-36135-9_18	NTIF: A General Symbolic Model for Communicating Sequential Processes with Data	Lecture notes in computer science	conference-paper
48	W3015365135	2020	https://doi.org/10.1109/sp40000.2020.00002	SAVIOR: Towards Bug-Driven Hybrid Testing		conference-paper
49	W2034721959	2002	https://doi.org/10.1016/s1567-8326(02)00023-1	Symbolic model checking of timed guarded commands using difference decision diagrams	The Journal of Logic and Algebraic Programming	article
50	W2054283290	2014	https://doi.org/10.1016/j.scico.2014.05.004	Model-based mutation testing via symbolic refinement checking	Science of Computer Programming	article
