rank	source_id	year	doi	title	venue	type
1	10.32614/cran.package.flownet	2026	10.32614/cran.package.flownet	flownet: Transport Modeling: Network Processing, Route Enumeration, and Traffic Assignment	CRAN: Contributed Packages	dataset
2	10.1016/j.jsp.2011.04.006	2011	10.1016/j.jsp.2011.04.006	An investigation of the partial-assignment completion effect on students' assignment choice behavior	Journal of School Psychology	journal-article
3	10.1007/978-3-031-99984-0_37	2025	10.1007/978-3-031-99984-0_37	Entailment vs. Verification for Partial-Assignment Satisfiability and Enumeration	Lecture Notes in Computer Science	book-chapter
4	10.3386/w16140	2010	10.3386/w16140	Lotteries in Student Assignment: An Equivalence Result		report
5	10.1037/e648362012-001	2012	10.1037/e648362012-001	Three Experiments Investigating the Role of Partial Assignment Completion in Student Choice Behavior	PsycEXTRA Dataset	dataset
6	10.1007/978-3-032-04167-8_7	2026	10.1007/978-3-032-04167-8_7	Exploiting Partial-Assignment Enumeration in Optimization Modulo Theories	Lecture Notes in Computer Science	book-chapter
7	10.1021/acs.jpca.4c01287.s001	None	10.1021/acs.jpca.4c01287.s001	EspalomaCharge: Machine Learning-Enabled Ultrafast Partial Charge Assignment		component
8	10.7717/peerj.7042/supp-4	None	10.7717/peerj.7042/supp-4	Figure S2: Result of Partial ROC by ENMTools		component
9	10.7717/peerjcs.378/table-4	None	10.7717/peerjcs.378/table-4	Table 4: SAO/FEM application result for storage assignment with different order (index examples).		component
10	10.5860/choice.49-2117	2011	10.5860/choice.49-2117	Introduction to enumeration	Choice Reviews Online	journal-article
11	10.3982/te816	2011	10.3982/te816	Lotteries in student assignment: An equivalence result	Theoretical Economics	journal-article
12	10.1002/pits.21750	2014	10.1002/pits.21750	REPLICATING AND EXTENDING RESEARCH ON THE PARTIAL ASSIGNMENT COMPLETION EFFECT: IS SUNK COST RELATED TO PARTIAL ASSIGNMENT COMPLETION STRENGTH?	Psychology in the Schools	journal-article
13	10.1016/j.asoc.2013.01.014	2013	10.1016/j.asoc.2013.01.014	Solving fuzzy Multidimensional Multiple-Choice Knapsack Problems: The multi-start Partial Bound Enumeration method versus the efficient epsilon-constraint method	Applied Soft Computing	journal-article
14	10.1021/acs.jcim.3c00800.s001	None	10.1021/acs.jcim.3c00800.s001	DASH: Dynamic Attention-Based Substructure Hierarchy for Partial Charge Assignment		component
