rank	openalex_id	year	doi	title	venue	type
1	W1983587324	1985	https://doi.org/10.1145/4472.4478	MULTILISP: a language for concurrent symbolic computation	ACM Transactions on Programming Languages and Systems	article
2	W2574017551	2016	https://doi.org/10.14722/ndss.2016.23368	Driller: Augmenting Fuzzing Through Selective Symbolic Execution		conference-paper
3	W4385245566	2023	https://doi.org/10.4230/lipics.itp.2023.19	Exploiting Generative AI to Scale up Intelligent Tutoring Systems	DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)	article
4	W2112796928	1998	https://doi.org/10.1109/5.726791	Gradient-based learning applied to document recognition	Proceedings of the IEEE	article
5	W1500250067	2000		Generative Programming: Methods, Tools, and Applications		article
6	W2001907377	1998	https://doi.org/10.1145/280277.280280	Version models for software configuration management	ACM Computing Surveys	article
7	W1994451575	2003	https://doi.org/10.1016/s0004-3702(02)00374-0	Weak, strong, and strong cyclic planning via symbolic model checking	Artificial Intelligence	article
8	W3042318686	2020	https://doi.org/10.1002/jcpy.1181	Preference for Human (vs. Robotic) Labor is Stronger in Symbolic Consumption Contexts	Journal of Consumer Psychology	article
9	W4321011699	2023	https://doi.org/10.48550/arxiv.2302.06675	Symbolic Discovery of Optimization Algorithms	arXiv (Cornell University)	preprint
10	W3001865277	2020	https://doi.org/10.1609/icaps.v30i1.6739	PDDLStream: Integrating Symbolic Planners and Blackbox Samplers via Optimistic Adaptive Planning	Proceedings of the International Conference on Automated Planning and Scheduling	conference-paper
11	W2490090381	2017	https://doi.org/10.1177/0278364917739114	FFRob: Leveraging symbolic planning for efficient task and motion planning	The International Journal of Robotics Research	article
12	W2787066086	2018	https://doi.org/10.1613/jair.5575	From Skills to Symbols: Learning Symbolic Representations for Abstract High-Level Planning	Journal of Artificial Intelligence Research	article
13	W2169063148	2010	https://doi.org/10.1145/1831708.1831732	Parallel symbolic execution for structural test generation		conference-paper
14	W2066353350	2012	https://doi.org/10.1145/2338965.2336771	Memoized symbolic execution		conference-paper
15	W2098345837	2010	https://doi.org/10.1145/1806799.1806864	Using symbolic evaluation to understand behavior in configurable software systems		conference-paper
16	W2119236311	2009		Selective Symbolic Execution	Infoscience (Ecole Polytechnique Fédérale de Lausanne)	conference-paper
17	W2979518100	2019	https://doi.org/10.1016/j.jlamp.2019.100497	Programming and symbolic computation in Maude	Journal of Logical and Algebraic Methods in Programming	article
18	W2063922799	1990	https://doi.org/10.3758/bf03205250	The symbolic distance effect in monkeys (Cebus apella)	Animal Learning & Behavior	article
19	W1992419399	1999	https://doi.org/10.1145/331499.331504	Data clustering	ACM Computing Surveys	article
20	W2203521679	2014	https://doi.org/10.1609/aaai.v28i1.9004	Constructing Symbolic Representations for High-Level Planning	Proceedings of the AAAI Conference on Artificial Intelligence	conference-paper
21	W2964004050	2018	https://doi.org/10.1609/aaai.v32i1.12077	Classical Planning in Deep Latent Space: Bridging the Subsymbolic-Symbolic Boundary	Proceedings of the AAAI Conference on Artificial Intelligence	conference-paper
22	W2294434616	2016	https://doi.org/10.1145/2884781.2884843	Guiding dynamic symbolic execution toward unverified program executions		conference-paper
23	W2796248480	2018	https://doi.org/10.1016/j.jbusvent.2018.03.004	Finding the threshold: A configurational approach to optimal distinctiveness	Journal of Business Venturing	article
24	W2152132697	2001	https://doi.org/10.1109/34.954602	Structural graph matching using the EM algorithm and singular value decomposition	IEEE Transactions on Pattern Analysis and Machine Intelligence	article
25	W4377140494	2023	https://doi.org/10.1145/3597493	A Survey on Deep Learning for Symbolic Music Generation: Representations, Algorithms, Evaluations, and Challenges	ACM Computing Surveys	article
26	W2062346783	2006	https://doi.org/10.1016/j.ijar.2006.01.002	Supervised classification with conditional Gaussian networks: Increasing the structure complexity from naive Bayes	International Journal of Approximate Reasoning	article
27	W3108047681	2021	https://doi.org/10.1609/aaai.v35i1.16117	Symbolic Music Generation with Transformer-GANs	Proceedings of the AAAI Conference on Artificial Intelligence	conference-paper
28	W2904117297	2018	https://doi.org/10.1145/3230733	Rigorous Estimation of Floating-Point Round-Off Errors with Symbolic Taylor Expansions	ACM Transactions on Programming Languages and Systems	article
29	W2511206070	2016	https://doi.org/10.1145/2970276.2970322	On essential configuration complexity: measuring interactions in highly-configurable systems		conference-paper
30	W2056716318	1987	https://doi.org/10.1016/s0747-7171(87)80010-x	Simplifying conditional term rewriting systems : Unification, termination and confluence	Journal of Symbolic Computation	article
31	W4400485504	2024	https://doi.org/10.1201/9781315166407	Symbolic Regression		book
32	W3137556554	2021	https://doi.org/10.1016/j.cja.2021.03.006	An inverse design method for supercritical airfoil based on conditional generative models	Chinese Journal of Aeronautics	article
33	W2091708119	1976	https://doi.org/10.1901/jeab.1976.26-301	DIFFERENTIAL SAMPLE RESPONSE SCHEDULES IN THE ACQUISITION OF CONDITIONAL DISCRIMINATIONS BY PIGEONS<sup>1</sup>	Journal of the Experimental Analysis of Behavior	article
34	W2151020819	2006	https://doi.org/10.2307/25148742	The Nature of Theory in Information Systems1	MIS Quarterly	article
35	W1994287186	2006	https://doi.org/10.1007/s10994-006-8415-3	Aligning music audio with symbolic scores using a hybrid graphical model	Machine Learning	article
36	W1587860638	2005		Data Mining using Genetic Programming : Classification and Symbolic Regression		article
37	W4410694526	2025	https://doi.org/10.3390/math13111707	AI Reasoning in Deep Learning Era: From Symbolic AI to Neural–Symbolic AI	Mathematics	article
38	W2536639940	2016	https://doi.org/10.1145/2983990.2984012	Scalable verification of border gateway protocol configurations with an SMT solver		conference-paper
39	W4213228517	2022	https://doi.org/10.1016/j.artint.2022.103667	Relation between prognostics predictor evaluation metrics and local interpretability SHAP values	Artificial Intelligence	article
40	W2154831055	2005	https://doi.org/10.1901/jeab.2005.97-04	A THEORY OF ATTENDING AND REINFORCEMENT IN CONDITIONAL DISCRIMINATIONS	Journal of the Experimental Analysis of Behavior	article
41	W2276575327	2015	https://doi.org/10.5465/amr.2013.0475	Stakeholder Relationships and Social Welfare: A Behavioral Theory of Contributions to Joint Value Creation	Academy of Management Review	article
42	W2514041296	2016	https://doi.org/10.1145/2970276.2970299	StraightTaint: decoupled offline symbolic taint analysis		conference-paper
43	W2793051425	2018	https://doi.org/10.1007/s10664-018-9635-4	Test them all, is it worth it? Assessing configuration sampling on the JHipster Web development stack	Empirical Software Engineering	article
44	W2799002609	1993	https://doi.org/10.1201/9781003456285	Statistical Inference		book
45	W4393326518	2023	https://doi.org/10.1215/00318108-10697558	The Iconic-Symbolic Spectrum	The Philosophical Review	article
46	W2075571135	2013	https://doi.org/10.1016/j.scico.2013.09.019	Formal semantics, modular specification, and symbolic verification of product-line behaviour	Science of Computer Programming	article
47	W2158111207	2005	https://doi.org/10.5194/npg-12-835-2005	Extracting preseismic electromagnetic signatures in terms of symbolic dynamics	Nonlinear processes in geophysics	article
48	W2112448454	2014	https://doi.org/10.1145/2541940.2541977	Prototyping symbolic execution engines for interpreted languages		conference-paper
49	W2884430236	2018	https://doi.org/10.1038/s41586-018-0337-2	Machine learning for molecular and materials science	Nature	article
50	W1437335841	2015	https://doi.org/10.1088/1749-4699/8/1/014008	Hyperopt: a Python library for model selection and hyperparameter optimization	Computational Science & Discovery	article
