rank	source_id	year	doi	title	venue	type
1	10.14711/thesis-991013384263603412	None	10.14711/thesis-991013384263603412	Equilibrium analysis, pricing, and route choice for shared on-demand mobility services		dissertation
2	10.1109/cacml64929.2025.11010961	2025	10.1109/cacml64929.2025.11010961	Demand Prediction with Gravity Graph Attention Networks for Shared Bike Systems	2025 4th Asia Conference on Algorithms, Computing and Machine Learning (CACML)	proceedings-article
3	10.3390/electronics12061381	2023	10.3390/electronics12061381	Short-Term Demand Prediction of Shared Bikes Based on LSTM Network	Electronics	journal-article
4	10.1117/12.2614985	2021	10.1117/12.2614985	Short-term demand forecasting of shared bicycles based on long short-term memory neural network and climate characteristics	2021 International Conference on Neural Networks, Information and Communication Engineering	proceedings-article
5	10.3390/math11244994	2023	10.3390/math11244994	Demand Prediction of Shared Bicycles Based on Graph Convolutional Network-Gated Recurrent Unit-Attention Mechanism	Mathematics	journal-article
6	10.65286/icic.v21i4.63213	2025	10.65286/icic.v21i4.63213	Shared Bicycle Demand Prediction Based on Hierarchical Spatiotemporal Graph Convolution Network	Poster Volume Ⅳ  The 2025 Twenty-First International  Conference on Intelligent Computing July 26-29, 2025  Ningbo, China	proceedings-article
7	10.4271/ja3163_202106	None	10.4271/ja3163_202106	Taxonomy of On-Demand and Shared Mobility: Ground, Aviation, and Marine		standard
8	10.1177/0193841x9101500404	1991	10.1177/0193841x9101500404	Evaluation of Behavioral Demand Models of Consumer Choice in Health Care	Evaluation Review	journal-article
9	10.1016/j.procs.2025.03.129	2025	10.1016/j.procs.2025.03.129	Towards more granular choice set building in location choice models: A graph-structured meta-topology as an alternative to matrices in agent-based travel demand models	Procedia Computer Science	journal-article
10	10.2139/ssrn.4860917	2024	10.2139/ssrn.4860917	Predicting Short-Term Bike-Sharing Demand at Station Level: A Deep Graph-Based Multi-Task Spatiotemporal Approach		posted-content
11	10.5194/agile-giss-1-12-2020	2020	10.5194/agile-giss-1-12-2020	Short-term Traffic Demand Prediction using Graph Convolutional Neural Networks	AGILE: GIScience Series	journal-article
12	10.18653/v1/2024.textgraphs-1.14	2024	10.18653/v1/2024.textgraphs-1.14	Skoltech at TextGraphs-17 Shared Task: Finding GPT-4 Prompting Strategies for Multiple Choice Questions	Proceedings of TextGraphs-17: Graph-based Methods for Natural Language Processing	proceedings-article
13	10.1145/3694811.3697821	2024	10.1145/3694811.3697821	EGNN-based Topology Control in Wireless Mobile Infrastructure on Demand with Shared Access Restrictions	Proceedings of the 3rd GNNet Workshop on Graph Neural Networking Workshop	proceedings-article
14	10.2139/ssrn.903079	2006	10.2139/ssrn.903079	Eliciting the Demand for Long Term Care Coverage: A Discrete Choice Modelling Analysis	SSRN Electronic Journal	journal-article
15	10.15760/trec.132	2010	10.15760/trec.132	Long-Term Evaluation of Individualized Marketing Programs for Travel Demand Management		report
16	10.2139/ssrn.4903667	2024	10.2139/ssrn.4903667	Predicting Short-Term Bike-Sharing Demand at Station Level: A Semi-Adaptive Graph-Based Multi-Task Spatiotemporal Approach		posted-content
17	10.5860/choice.26-5650	1989	10.5860/choice.26-5650	Forest site evaluation and long-term productivity	Choice Reviews Online	journal-article
18	10.3390/su15107903	2023	10.3390/su15107903	Convolutional Long Short-Term Memory Two-Dimensional Bidirectional Graph Convolutional Network for Taxi Demand Prediction	Sustainability	journal-article
19	10.2139/ssrn.4750430	2024	10.2139/ssrn.4750430	An Adaptive Spatio-Temporal Graph Recurrent Network for Short-Term Electric Vehicle Charging Demand Prediction		posted-content
20	10.3724/j.fjyl.202312280590	2024	10.3724/j.fjyl.202312280590	Evaluation on Demand Responsiveness of Flexibly-Shared Outdoor Fitness Facilities	Landscape Architecture	journal-article
21	10.1016/j.tbs.2020.12.003	2021	10.1016/j.tbs.2020.12.003	User interest in on-demand, shared, and driverless mobility: Evidence from stated preference choice experiments in Southern Ontario	Travel Behaviour and Society	journal-article
22	10.1016/j.trd.2024.104221	2024	10.1016/j.trd.2024.104221	Short-term and long-term impacts of shared autonomous vehicle choice behavior	Transportation Research Part D: Transport and Environment	journal-article
23	10.3790/vjh.69.3.371	2000	10.3790/vjh.69.3.371	The Demand for Evaluation from a Public Choice Perspective	Vierteljahrshefte zur Wirtschaftsforschung	journal-article
24	10.7717/peerj-cs.2391/fig-1	None	10.7717/peerj-cs.2391/fig-1	Figure 1: Demand graph for bike-sharing stations.		component
25	10.1093/oso/9780198830986.003.0007	2018	10.1093/oso/9780198830986.003.0007	Electoral Choice—Voter Demand and Party Supply	Oxford Scholarship Online	book
26	10.58837/chula.the.2019.135	None	10.58837/chula.the.2019.135	Analysis of demand on shared mobility packages in university campus		dissertation
27	10.21437/interspeech.2015-646	2015	10.21437/interspeech.2015-646	An evaluation of graph clustering methods for unsupervised term discovery	Interspeech 2015	proceedings-article
28	10.3030/745016	2016	10.3030/745016			grant
29	10.5204/thesis.eprints.250812	None	10.5204/thesis.eprints.250812	Travel demand analytics of Shared E-Scooter using econometric models		dissertation
30	10.1093/oso/9780199546275.003.0023	2009	10.1093/oso/9780199546275.003.0023	Medical-legal aspects of evidence-based choice and shared decision-making	Shared Decision-Making in Health Care	book-chapter
31	10.5220/0012961400004508	2024	10.5220/0012961400004508	Forecasting Demand of Shared Bikes Based on ARIMA Model	Proceedings of the 1st International Conference on Engineering Management, Information Technology and Intelligence	proceedings-article
32	10.5040/9798216966890.0013	1994	10.5040/9798216966890.0013	"10 
The Need for Objective Program 
Evaluation for Long-Term Demand- 
Side Management Success
 1"	Energizing the Energy Policy Process	other
33	10.1145/3018787.3018795	2017	10.1145/3018787.3018795	Ligra: A Lightweight Graph Processing Framework for Shared Memory	Shared-Memory Parallelism Can Be Simple, Fast, and Scalable	book-chapter
34	10.1093/oso/9780199546275.003.0001	2009	10.1093/oso/9780199546275.003.0001	Shared decision-making in health care: Achieving evidence-based patient choice	Shared Decision-Making in Health Care	book-chapter
35	10.1201/9780429493768	2018	10.1201/9780429493768	Graph Theory (on Demand Printing Of 02787)		book
36	10.2307/j.ctv16758p6.9	2014	10.2307/j.ctv16758p6.9	APRO-CHOICE MORAL FRAMEWORK	Pro-Life, Pro-Choice	book-chapter
37	10.2139/ssrn.5220532	2025	10.2139/ssrn.5220532	Understanding Demand for Shared Autonomous Micro-Mobility		posted-content
38	10.2139/ssrn.5076777	2025	10.2139/ssrn.5076777	Extended Booking Horizons in Rural Shared Mobility-on-Demand Systems: Insights and Implications for Demand Management		posted-content
39	10.3390/w14081291	2022	10.3390/w14081291	Short-Term Bathwater Demand Forecasting for Shared Shower Rooms in Smart Campuses Using Machine Learning Methods	Water	journal-article
40	10.1093/oso/9780195037104.003.0010	1986	10.1093/oso/9780195037104.003.0010	Choice and Private Schools: Dynamics of Supply and Demand	Private Education	book-chapter
41	10.5860/choice.49-7181	2012	10.5860/choice.49-7181	Shared responsibility, shared risk: government, markets, and social policy in the twenty-first century	Choice Reviews Online	journal-article
42	10.1093/oso/9780199546275.003.0009	2009	10.1093/oso/9780199546275.003.0009	Ethical issues around evidence-based patient choice and shared decision-making	Shared Decision-Making in Health Care	book-chapter
43	10.1201/9781482275605-13	1986	10.1201/9781482275605-13	Short term demand forecasting.	Water Demand Forecasting	book-chapter
44	10.3390/w16060831	2024	10.3390/w16060831	Urban Water Demand Prediction Based on Attention Mechanism Graph Convolutional Network-Long Short-Term Memory	Water	journal-article
