rank	source_id	year	doi	title	venue	type
1	10.29172/c8a21c51-a881-4efa-bcbe-3d0377b1a631	None	10.29172/c8a21c51-a881-4efa-bcbe-3d0377b1a631	Series expansions &amp; exact enumeration	Physics Subject Headings (PhySH)	dataset
2	10.1109/tvt.2014.2346253	2015	10.1109/tvt.2014.2346253	Exact Max-Log MAP Soft-Output Sphere Decoding via Approximate Schnorr–Euchner Enumeration	IEEE Transactions on Vehicular Technology	journal-article
3	10.1017/cbo9780511605826.027	2000	10.1017/cbo9780511605826.027	Exact enumeration	Diffusion and Reactions in Fractals and Disordered Systems	other
4	10.22215/etd/2003-05372	None	10.22215/etd/2003-05372	Seeking a hypergeometric closed form for map enumeration		dissertation
5	10.1007/11847250_13	2006	10.1007/11847250_13	edge dominating set: Efficient Enumeration-Based Exact Algorithms	Lecture Notes in Computer Science	book-chapter
6	10.2139/ssrn.5361306	2025	10.2139/ssrn.5361306	&lt;p&gt;Exact Enumeration of Composite Numbers Using Least Prime Factors&lt;/p&gt;		posted-content
7	10.1016/j.vlsi.2011.11.011	2012	10.1016/j.vlsi.2011.11.011	Exact custom instruction enumeration for extensible processors	Integration	journal-article
8	10.1215/00127094-2024-0037	2025	10.1215/00127094-2024-0037	Exact enumeration of fullerenes	Duke Mathematical Journal	journal-article
9	10.5070/c63261985	2023	10.5070/c63261985	Exact enumeration of satisfiable 2-SAT formulae	Combinatorial Theory	journal-article
10	10.1016/0026-2714(94)90500-2	1994	10.1016/0026-2714(94)90500-2	Exact enumeration of minimal paths of partitioned networks	Microelectronics Reliability	journal-article
11	10.2139/ssrn.6205944	2026	10.2139/ssrn.6205944	Exact Pruned Route Enumeration with Set Partitioning for Multi-Pickup and Delivery Problem with Time Windows		posted-content
12	10.1016/j.dam.2005.06.009	2006	10.1016/j.dam.2005.06.009	Exact enumeration of acyclic deterministic automata	Discrete Applied Mathematics	journal-article
13	10.7717/peerj.7756/supp-1	None	10.7717/peerj.7756/supp-1	Table S1: Fisher’s Exact Test of Neutrality Selection		component
14	10.1016/j.phpro.2012.05.006	2012	10.1016/j.phpro.2012.05.006	Exact Enumeration of Self-Avoiding Walks on Percolation Clusters	Physics Procedia	journal-article
15	10.1109/dsd51259.2020.00016	2020	10.1109/dsd51259.2020.00016	Revisiting Explicit Enumeration for Exact Synthesis	2020 23rd Euromicro Conference on Digital System Design (DSD)	proceedings-article
16	10.1103/physrevb.35.2071	1987	10.1103/physrevb.35.2071	Spiral-lattice-site animals: An exact enumeration study	Physical Review B	journal-article
17	10.1088/1742-6596/410/1/012071	2013	10.1088/1742-6596/410/1/012071	Exact Enumeration of Protein Conformations from Fragment Assembly	Journal of Physics: Conference Series	journal-article
18	10.21203/rs.3.rs-9430237/v1	2026	10.21203/rs.3.rs-9430237/v1	A Compositional Exact-Search Calculus over a Single Binary Primitive: Bounded Enumeration, Macro Closure, and Stability Audits for EML Trees		posted-content
19	10.31390/gradschool_dissertations.3081	None	10.31390/gradschool_dissertations.3081	Highly efficient selection, enumeration, enrichment, and molecular profiling of low-abundance biological cells		dissertation
20	10.1109/pac.1995.505706	None	10.1109/pac.1995.505706	Exact map through ideal bends (again?)	Proceedings Particle Accelerator Conference	proceedings-article
21	10.1016/j.cognition.2021.104815	2021	10.1016/j.cognition.2021.104815	Learning exact enumeration and approximate estimation in deep neural network models	Cognition	journal-article
22	10.1021/ma60041a028	1974	10.1021/ma60041a028	Polymer Adsorption on a Surface by an Exact Enumeration Study	Macromolecules	journal-article
23	10.1103/physreve.52.835	1995	10.1103/physreve.52.835	Randomly charged polymers: An exact enumeration study	Physical Review E	journal-article
24	10.31390/gradschool_theses.1000	None	10.31390/gradschool_theses.1000	Selection and enumeration of low EpCAM expressing breast cancer CTCs using a high throughput microfluidic device		dissertation
25	10.1162/jocn_a_00349	2013	10.1162/jocn_a_00349	Multiple Object Individuation and Exact Enumeration	Journal of Cognitive Neuroscience	journal-article
26	10.1103/physrevlett.51.1499	1983	10.1103/physrevlett.51.1499	Exact Solution of a Directed-Site Animals-Enumeration Problem in three Dimensions.	Physical Review Letters	journal-article
27	10.2307/2347356	1988	10.2307/2347356	Algorithm AS 236: Recursive Enumeration of r × c Tables for Exact Likelihood Evaluation	Applied Statistics	journal-article
28	10.1103/physrevlett.51.853	1983	10.1103/physrevlett.51.853	Exact Solution of a Directed-Site Animals-Enumeration Problem in Three Dimensions	Physical Review Letters	journal-article
29	10.1609/aaai.v32i1.11637	2018	10.1609/aaai.v32i1.11637	Approximate and Exact Enumeration of Rule Models	Proceedings of the AAAI Conference on Artificial Intelligence	journal-article
30	10.1016/j.cpc.2004.09.011	2005	10.1016/j.cpc.2004.09.011	Exact enumeration of three-dimensional lattice proteins	Computer Physics Communications	journal-article
31	10.1007/978-3-540-28639-4_1	2004	10.1007/978-3-540-28639-4_1	Parameterized Enumeration, Transversals, and Imperfect Phylogeny Reconstruction	Lecture Notes in Computer Science	book-chapter
32	10.1016/j.disc.2009.07.009	2009	10.1016/j.disc.2009.07.009	Exact and asymptotic enumeration of perfect matchings in self-similar graphs	Discrete Mathematics	journal-article
33	10.1007/s11265-021-01649-z	2021	10.1007/s11265-021-01649-z	Evaluation of the Exact Throughput of a Synchronous DataFlow Graph	Journal of Signal Processing Systems	journal-article
34	10.1137/1.9781611974775.3	2017	10.1137/1.9781611974775.3	An Exact Enumeration of Distance-Hereditary Graphs	2017 Proceedings of the Fourteenth Workshop on Analytic Algorithmics and Combinatorics (ANALCO)	proceedings-article
35	10.1103/physreva.41.2942	1990	10.1103/physreva.41.2942	Exact enumeration approach to the directed polymer problem	Physical Review A	journal-article
36	10.1016/j.cpc.2005.10.004	2006	10.1016/j.cpc.2005.10.004	Exact enumeration of the ground states of a triangular Ising antiferromagnet	Computer Physics Communications	journal-article
37	10.46298/dmtcs.327	2004	10.46298/dmtcs.327	On an open problem of Green and Losonczy: exact enumeration of freely braided permutations	Discrete Mathematics &amp; Theoretical Computer Science	journal-article
38	10.1063/1.4938021	2015	10.1063/1.4938021	Study on collapse and folding transitions of a lattice protein using exact enumeration	AIP Advances	journal-article
39	10.1088/1361-6544/acb47d	2023	10.1088/1361-6544/acb47d	Multiple scale asymptotics of map enumeration	Nonlinearity	journal-article
40	10.1103/physrevb.72.212408	2005	10.1103/physrevb.72.212408	Exact enumeration of ground states in the Sherrington-Kirkpatrick spin glass	Physical Review B	journal-article
41	10.1016/j.cpc.2015.09.017	2016	10.1016/j.cpc.2015.09.017	Exact enumeration of conformations for two and three dimensional lattice proteins	Computer Physics Communications	journal-article
