rank	openalex_id	year	doi	title	venue	type
1	W40096707	1999		An Abstract Machine for Curry and Its Concurrent Implementation in Java.		article
2	W133880381	1996		Simulating TRSs by minimal TRSs: a simple, efficient, and correct compilation technique	Centrum Wiskunde & Informatica (CWI), the national research institute for mathematics and computer science in the Netherlands	other
3	W1486941949	2002	https://doi.org/10.1007/3-540-45788-7_4	Functional Logic Design Patterns	Lecture notes in computer science	conference-paper
4	W1512480360	2007	https://doi.org/10.1007/978-3-540-74610-2_5	Multi-paradigm Declarative Languages	Lecture notes in computer science	conference-paper
5	W1520427615	1996	https://doi.org/10.1007/3-540-60939-3_19	Efficient translation of lazy functional logic programs into Prolog	Lecture notes in computer science	conference-paper
6	W1522154830	1999	https://doi.org/10.1007/3-540-48685-2_19	TOY: A Multiparadigm Declarative System	Lecture notes in computer science	conference-paper
7	W1542469490	2006	https://doi.org/10.1007/11805618_4	On the Correctness of Bubbling	Lecture notes in computer science	conference-paper
8	W1605638241	2006	https://doi.org/10.1007/11799573_9	Overlapping Rules and Logic Variables in Functional Logic Programs	Lecture notes in computer science	conference-paper
9	W1650673748	2011	https://doi.org/10.1007/978-3-642-22531-4_1	KiCS2: A New Compiler from Curry to Haskell	Lecture notes in computer science	conference-paper
10	W1865778884	2012	https://doi.org/10.1007/978-3-642-29822-6_5	Compiling a Functional Logic Language: The Basic Scheme	Lecture notes in computer science	conference-paper
11	W1980781982	2005	https://doi.org/10.1016/j.jsc.2004.01.001	Operational semantics for declarative multi-paradigm languages	Journal of Symbolic Computation	article
12	W2017855559	2007	https://doi.org/10.1016/j.entcs.2007.05.042	Equivalence of Two Formal Semantics for Functional Logic Programs	Electronic Notes in Theoretical Computer Science	article
13	W2044013129	2007	https://doi.org/10.1016/j.entcs.2006.05.049	Extra Variables Can Be Eliminated from Functional Logic Programs	Electronic Notes in Theoretical Computer Science	article
14	W2053867970	2007	https://doi.org/10.1145/1273920.1273947	A simple rewrite notion for call-time choice semantics		conference-paper
15	W2063521547	1999	https://doi.org/10.1016/s0743-1066(98)10029-8	An approach to declarative programming based on a rewriting logic	The Journal of Logic Programming	article
16	W2070953905	2005	https://doi.org/10.1016/j.jsc.2004.12.007	Evaluation strategies for functional logic programming	Journal of Symbolic Computation	article
17	W2104980999	1992	https://doi.org/10.1016/0743-1066(92)90026-y	Nondeterministic algebraic specifications and nonconfluent term rewriting	The Journal of Logic Programming	article
18	W2106602483	2007	https://doi.org/10.1007/978-3-540-76637-7_9	On a Tighter Integration of Functional and Logic Programming	Lecture notes in computer science	conference-paper
19	W2112578061	1997	https://doi.org/10.1007/bfb0029968	Simulation as a correct transformation of rewrite systems	Lecture notes in computer science	conference-paper
20	W2118172707	1985	https://doi.org/10.1007/3-540-15975-4_37	Lambda lifting: Transforming programs to recursive equations	Lecture notes in computer science	conference-paper
21	W2118499864	2009	https://doi.org/10.1145/1599410.1599420	Set functions for functional logic programming		conference-paper
22	W2124067082	2005	https://doi.org/10.1007/11431664_7	A Virtual Machine for Functional Logic Computations	Lecture notes in computer science	conference-paper
23	W2127844749	2010	https://doi.org/10.1145/1721654.1721675	Functional logic programming	Communications of the ACM	article
24	W2130379877	2007	https://doi.org/10.1016/j.entcs.2006.10.026	Lazy Context Cloning for Non-Deterministic Graph Rewriting	Electronic Notes in Theoretical Computer Science	article
25	W2135378214	2010	https://doi.org/10.1016/j.jsc.2010.01.006	Programming with narrowing: A tutorial	Journal of Symbolic Computation	article
26	W2168144301	1997	https://doi.org/10.1007/bfb0027000	Optimal non-deterministic functional logic computations	Lecture notes in computer science	conference-paper
27	W2169402190	2001	https://doi.org/10.1145/773184.773205	Constructor-based conditional narrowing		conference-paper
28	W2275446441	2011	https://doi.org/10.1007/978-3-642-24452-0_2	From Functional Logic Programs to Purely Functional Programs Preserving Laziness	Lecture notes in computer science	conference-paper
29	W2681883877	2011	https://doi.org/10.1017/s0956796811000189	Purely functional lazy nondeterministic programming	Journal of Functional Programming	article
30	W2913954624	1992		Definitional Trees		article
31	W3102193943	2013		2011): On the Correctness of Pull-Tabbing		article
32	W4210350596	2005	https://doi.org/10.1007/bfb0013825	Definitional trees	Lecture notes in computer science	conference-paper
