rank	openalex_id	year	doi	title	venue	type	abstract
1	W1694713689	2007		Planning via Petri net unfolding	ANU Open Research (Australian National University)	conference-paper	The factored state representation and concurrency semantics of Petri nets are closely related to those of concurrent planning domains, yet planning and Petri net analysis have developed independently, with minimal and usually unconvincing attempts at cross-fertilisation. In this paper, we investigate and exploit the relationship between the two areas, focusing on Petri net unfolding, which is an attractive reachability analysis method as it naturally enables the recognition and separate resolution of independent subproblems. On the one hand, based on unfolding, we develop a new forward search method for cost-optimal partial-order planning which can be exponentially more efficient than state space search. On the other hand, inspired by well-known planning heuristics, we investigate the automatic generation of heuristics to guide unfolding, resulting in a more efficient, directed reachability analysis tool for Petri nets. 1
2	W2777796911	2017	https://doi.org/10.1016/j.artint.2017.12.004	Star-topology decoupled state space search	Artificial Intelligence	article	
3	W2140712028	2014	https://doi.org/10.1016/j.tcs.2014.07.003	Recent advances in unfolding technique	Theoretical Computer Science	article	
4	W2944639182	2019	https://doi.org/10.1016/j.ins.2019.05.021	Deadlock detection-oriented unfolding of unbounded Petri nets	Information Sciences	article	
5	W2108353746	2009	https://doi.org/10.1109/cdc.2009.5400084	Distributed optimal planning: an approach by weighted automata calculus		conference-paper	We consider a distributed system modeled as a possibly large network of automata. Planning in this system consists in selecting and organizing actions in order to reach a goal state in an optimal manner, assuming actions have a cost. To cope with the complexity of the system, we propose a distributed/modular planning approach. In each automaton or component, an agent explores local action plans that reach the local goal. The agents have to coordinate their search in order to select local plans that 1/ can be assembled into a valid global plan and 2/ ensure the optimality of this global plan. The proposed solution takes the form of a message passing algorithm, of peer-to-peer nature: no coordinator is needed. We show that local plan selections can be performed by combining operations on weighted languages, and then propose a more practical implementation in terms of weighted automata calculus.
6	W2144369303	2008	https://doi.org/10.1109/services-1.2008.14	Techniques to Produce Optimal Web Service Compositions		conference-paper	As Web Services proliferate, it becomes more difficult to find a service that can perform a given task, and a coordination of several services may be required. We present two algorithms to identify orderings of Web Service compositions. These algorithms follow different strategies to prune the space of possibilities while minimizing the evaluation cost. The first one, DP-BF, combines a best first strategy with a dynamic-programming technique and produces good Web Service compositions by exploring a small portion of the search space. The second one, PT-SAM, adapts a petri-net unfolding algorithm and tries to find a desired marking from an initial state. We conducted an experimental study to evaluate the behavior of DP-BF and PT-SAM comparedto SAM and to the exhaustive solution. Our experimentsshow that the quality of the compositions identified by ouralgorithms are close to the optimal solution produced by theexhaustive algorithm, while the optimization time is close to the time required by SAM to identify a solution.
7	W2496999575	2011	https://doi.org/10.4018/978-1-60960-493-6.ch008	Aggregating Functional and Non-Functional Properties to Identify Service Compositions	Advances in web technologies and engineering book series	book-chapter	This chapter presents an aggregated metric to estimate the quality of service compositions, and two algorithms to select the best compositions based on this metric. Both algorithms follow different strategies to prune the space of possibilities while minimizing the evaluation cost. The first algorithm, DP-BF, combines a best first strategy with a dynamic-programming technique. The second one, PT-SAM, adapts a Petri-net unfolding algorithm and tries to find a desired marking from an initial state. An experimental study was conducted in order to evaluate the behavior of DP-BF and PT-SAM compared to SAM and to the exhaustive solution. The experiments show that the quality of the compositions identified by the presented algorithms is close to the optimal solution produced by the exhaustive algorithm, while the optimization time is close to the time required by SAM to identify a solution.
8	W2005199100	2012	https://doi.org/10.1504/ijwgs.2012.046729	Experiences of sampling-based approaches for estimating QoS parameters in the Web Service composition problem	International Journal of Web and Grid Services	article	QoS parameters can be used to characterise services or their compositions according to non-functional criteria. We propose samplingbased techniques to accurately estimate QoS values that will be used in a hybrid composer named PT-SAM, to identify the compositions that best meet a user request. PT-SAM adapts a Petri-Net unfolding and uses a utility function defined on the QoS estimates, to guide the composer. We report on the quality of the estimates and the performance of the composer. Our experiments show that solutions generated by PT-SAM are close to the optimal solutions while the composer can scale to large search spaces.
9	W1523563378	2012	https://doi.org/10.1007/978-3-642-27392-6_3	A Transactional-QoS Driven Approach for Web Service Composition	Lecture notes in computer science	conference-paper	
10	W3133977200	2021	https://doi.org/10.3390/sym13030392	An Incremental and Backward-Conflict Guided Method for Unfolding Petri Nets	Symmetry	article	The unfolding technique of Petri net can characterize the real concurrency and alleviate the state space explosion problem. Thus, it is greatly suitable to analyze/check some potential errors in concurrent systems. During the unfolding process of a Petri net, the calculations of configurations, cuts, and cut-off events are the key factors for the unfolding efficiency. However, most of the unfolding methods do not specify a highly efficient calculations on them. In this paper, we reveal some recursive relations and structural properties of these factors. Subsequently, we propose an improved method for computing configurations and cuts. Meanwhile, backward conflicts are used to guide the calculations of cut-off events. Moreover, a case study and a series of experiments are done to illustrate the effectiveness and application scenarios of our methods.
