rank	openalex_id	year	doi	title	venue	type
1	W55166314	1992		Implementing functional languages	Prentice-Hall, Inc eBooks	book
2	W116108159	2003		An Evaluation of Exhaustive Testing for Data Structures		article
3	W122118143	2007		Modular data structure verification		article
4	W1517165545	2002	https://doi.org/10.1007/3-540-46017-9_5	Symmetry Reduction Criteria for Software Model Checking	Lecture notes in computer science	conference-paper
5	W1543641760	1987	https://doi.org/10.1016/0141-9331(87)90510-2	The implementation of functional programming languages	Microprocessors and Microsystems	article
6	W1606177908	2006	https://doi.org/10.1007/11804192_17	Boogie: A Modular Reusable Verifier for Object-Oriented Programs	Lecture notes in computer science	conference-paper
7	W1720848645	2003	https://doi.org/10.1007/3-540-36577-x_40	Generalized Symbolic Execution for Model Checking and Testing	Lecture notes in computer science	conference-paper
8	W1845288303	2005	https://doi.org/10.1007/978-3-540-31980-1_24	Symstra: A Framework for Generating Object-Oriented Unit Tests Using Symbolic Execution	Lecture notes in computer science	conference-paper
9	W1920006546	2005		Automatic testing of software with structurally complex inputs	DSpace@MIT (Massachusetts Institute of Technology)	dissertation
10	W1975450054	2005	https://doi.org/10.1016/j.entcs.2004.12.004	Model Based Testing in Practice at Microsoft	Electronic Notes in Theoretical Computer Science	article
11	W1982395839	2000	https://doi.org/10.1002/1099-1689(200009)10:3<149::aid-stvr206>3.0.co;2-t	State generation and automated class testing	Software Testing Verification and Reliability	article
12	W1989688706	2007	https://doi.org/10.1007/s00165-007-0057-0	Verification of Mondex electronic purses with KIV: from transactions to a security protocol	Formal Aspects of Computing	article
13	W1992105245	2008	https://doi.org/10.1145/1390630.1390635	Combining unit-level symbolic execution and system-level concrete execution for testing nasa software		conference-paper
14	W1993836075	2002	https://doi.org/10.1145/512529.512558	Extended static checking for Java		conference-paper
15	W2009489720	2005	https://doi.org/10.1145/1081706.1081750	CUTE		conference-paper
16	W2091968063	2008	https://doi.org/10.1007/978-3-540-70545-1_28	The MathSAT 4 SMT Solver	Lecture notes in computer science	conference-paper
17	W2095850105	2007	https://doi.org/10.1109/icse.2007.48	Korat: A Tool for Generating Structurally Complex Test Inputs	Proceedings/Proceedings - International Conference on Software Engineering	conference-paper
18	W2096449544	2005	https://doi.org/10.1145/1064978.1065036	DART	ACM SIGPLAN Notices	article
19	W2099824516	2007	https://doi.org/10.1109/sefm.2007.47	Verifying the Mondex Case Study		conference-paper
20	W2101512909	1976	https://doi.org/10.1145/360248.360252	Symbolic execution and program testing	Communications of the ACM	article
21	W2104993088	2007	https://doi.org/10.1109/icse.2007.41	Hybrid Concolic Testing		conference-paper
22	W2107778618	2003	https://doi.org/10.31274/rtd-180813-9872	A runtime assertion checker for the Java Modeling Language		dissertation
23	W2112447468	2006	https://doi.org/10.1145/1146238.1146251	Modular verification of code with SAT		conference-paper
24	W2130729525	2006	https://doi.org/10.1109/ase.2006.26	Bogor/Kiasan: A k-bounded Symbolic Execution for Checking Strong Heap Properties of Open Systems		conference-paper
25	W2132210624	2006	https://doi.org/10.1017/cbo9780511607400	Constraint Logic Programming Using ECL<sup><i>i</i></sup>PS<sup><i>e</i></sup>	Cambridge University Press eBooks	book
26	W2132897303	2006	https://doi.org/10.1145/1180405.1180445	EXE		conference-paper
27	W2137868632	2000		Implementing Functional Languages: a tutorial	Prentice Hall eBooks	book
28	W2139498310	2008	https://doi.org/10.1145/1390630.1390634	Proofs from tests		conference-paper
29	W2141656264	2007	https://doi.org/10.1145/1321631.1321643	Assertion-based repair of complex data structures		conference-paper
30	W2147650421	2008	https://doi.org/10.1145/1375581.1375624	Full functional verification of linked data structures		conference-paper
31	W2151131364	2004	https://doi.org/10.5381/jot.2004.3.6.a2	Verification of Object-Oriented Programs with Invariants.	The Journal of Object Technology	article
32	W2152949134	2004	https://doi.org/10.1023/b:ause.0000038938.10589.b9	TestEra: Specification-Based Testing of Java Programs Using SAT	Automated Software Engineering	article
33	W2155024733	2007	https://doi.org/10.1145/1287624.1287645	Parallel test generation and execution with Korat		conference-paper
34	W2159933174	2007	https://doi.org/10.1145/1287624.1287651	Automated testing of refactoring engines		conference-paper
35	W2162120832	2002	https://doi.org/10.1145/566171.566191	Korat	ACM SIGSOFT Software Engineering Notes	article
36	W2165413178	2005	https://doi.org/10.1109/ase.2001.989787	TestEra: a novel framework for automated testing of Java programs		conference-paper
37	W2166853829	1998	https://doi.org/10.1145/289423.289462	A non-deterministic call-by-need lambda calculus		conference-paper
38	W2171480813	2003	https://doi.org/10.1023/a:1022920129859	Model Checking Programs	Automated Software Engineering	article
39	W3004540582	2001		Introduction to Algorithms, Second Edition		book
40	W3098578101	2006		PREDICATE ABSTRACTION WITH UNDER-APPROXIMATION REFINEMENT ∗		article
