rank	openalex_id	year	doi	title	venue	type	abstract
1	W56086133	2013	https://doi.org/10.1007/978-3-642-38916-0_2	Time for Mutants — Model-Based Mutation Testing with Timed Automata	Lecture notes in computer science	conference-paper	
2	W116345983	2011	https://doi.org/10.1007/978-3-642-24580-0_11	A Real-World Benchmark Model for Testing Concurrent Real-Time Systems in the Automotive Domain	Lecture notes in computer science	conference-paper	
3	W207469600	2012	https://doi.org/10.1007/978-3-642-31759-0_18	Model Checking DSL-Generated C Source Code	Lecture notes in computer science	conference-paper	
4	W290481602	2014	https://doi.org/10.1007/978-3-319-11737-9_25	Complete Model-Based Equivalence Class Testing for the ETCS Ceiling Speed Monitor	Lecture notes in computer science	conference-paper	
5	W1482486776	2004	https://doi.org/10.1007/978-3-540-30080-9_1	Decision Problems for Timed Automata: A Survey	Lecture notes in computer science	conference-paper	
6	W1582986256	1995	https://doi.org/10.1007/3-540-60045-0_40	Model checking for infinite state systems using data abstraction, assumption-commitment style reasoning and theorem proving	Lecture notes in computer science	conference-paper	
7	W1604401435	2010	https://doi.org/10.1007/978-3-642-17071-3_12	Model-Based Mutation Testing of Hybrid Systems	Lecture notes in computer science	conference-paper	
8	W1731663387	2015	https://doi.org/10.1109/icst.2015.7102627	MoMut::UML Model-Based Mutation Testing for UML		conference-paper	Model-based mutation testing (MBMT) is a promising testing methodology that relies on a model of the system under test (SUT) to create test cases. Hence, MBMT is a so-called black-box testing approach. It also is fault based, as it creates test cases that are guaranteed to reveal certain faults: after inserting a fault into the model of the SUT, it looks for a test case revealing this fault. This turns MBMT into one of the most powerful and versatile test case generation approaches available as its tests are able to demonstrate the absence of certain faults, can achieve both, control-flow and data-flow coverage of model elements, and also may include information about the behaviour in the failure case. The latter becomes handy whenever the test execution framework is bound in the number of observations it can make and - as a consequence - has to restrict them. However, this versatility comes at a price: MBMT is computationally expensive. The tool MoMuT::UML (https://www.momut.org) is the result of a multi-year research effort to bring MBMT from the academic drawing board to industrial use. In this paper we present the current stable version, share the lessons learnt when applying two generations of MoMuT::UML in an industrial setting, and give an outlook on the upcoming, third,generation.
9	W1975214745	2014	https://doi.org/10.1007/s10009-014-0356-8	Complete model-based equivalence class testing	International Journal on Software Tools for Technology Transfer	article	
10	W2011762419	1978	https://doi.org/10.1109/tse.1978.231496	Testing Software Design Modeled by Finite-State Machines	IEEE Transactions on Software Engineering	article	"We propose a method of testing the correctness of control structures that can be modeled by a finite-state machine. Test results derived from the design are evaluated against the specification. No ""executable"" prototype is required. The method is based on a result in automata theory and can be applied to software testing. Its error-detecting capability is compared with that of other approaches. Application experience is summarized."
11	W2050362288	2015	https://doi.org/10.1007/s10009-015-0377-y	FDR3: a parallel refinement checker for CSP	International Journal on Software Tools for Technology Transfer	article	
12	W2060095702	1997	https://doi.org/10.1007/s100090050008	HYTECH: a model checker for hybrid systems	International Journal on Software Tools for Technology Transfer	article	
13	W2128510433	2010	https://doi.org/10.1007/978-1-84882-258-0	Understanding Concurrent Systems	Texts in computer science	book	
14	W2163595873	2001	https://doi.org/10.1016/s0304-3975(99)00134-6	Testing timed automata	Theoretical Computer Science	article	
15	W2177749723	2015	https://doi.org/10.1007/978-3-319-21215-9_10	Experimental Evaluation of a Novel Equivalence Class Partition Testing Strategy	Lecture notes in computer science	conference-paper	
16	W2495746187	1975	https://doi.org/10.1007/bf01068590	Failure diagnosis of automata	Cybernetics and Systems Analysis	article	
17	W2549482734	2016	https://doi.org/10.1007/s00165-016-0402-2	Complete model-based equivalence class testing for nondeterministic systems	Formal Aspects of Computing	article	Abstract The main objective of this article is to present a complete finite black-box testing theory for non-deterministic Kripke structures with possibly infinite input domains, but finite domains for internal state variables and outputs. To this end, an abstraction from Kripke structures of this sub-domain to finite state machines is developed. It is shown that every complete black-box testing theory for (deterministic or nondeterministic) finite state machines in the range of this abstraction induces a complete black-box input equivalence class partition testing (IECPT) theory for the Kripke structures under consideration. Additionally, it is shown that each of these IECPT theories can be combined with random testing, such that a random value is selected from an input equivalence class, whenever a representative from this class is required in a test step. Experiments have shown that this combination increases the test strength of equivalence class tests for systems under test (SUT) outside the fault domain, while we show here that this randomisation preserves the completeness property for SUT inside the domain. The investigations lead to several complete IECPT strategies which, to our best knowledge, were not known before for this sub-domain of Kripke structures. The elaboration and presentation of results is performed on a semantic level, so that the testing theories under consideration can be applied to models presented in any concrete formalism, whose behaviour is reflected by a member of our semantic category.
18	W2769171049	2017	https://doi.org/10.1016/b978-1-78548-171-0.50001-3	SysML: Object Management Group (OMG) Systems Modeling Language	Elsevier eBooks	book-chapter	
19	W3158525764	2016	https://doi.org/10.1007/978-3-319-45943-1_1	Model-Based Testing Strategies and Their (In)dependence on Syntactic Model Representations	Lecture notes in computer science	conference-paper	
