rank	openalex_id	year	doi	title	venue	type	abstract
1	W2029976661	2008	https://doi.org/10.1145/1411286.1411292	Smallcheck and lazy smallcheck		conference-paper	This paper describes two Haskell libraries for property-based testing. Following the lead of QuickCheck, these testing libraries SmallCheck and Lazy SmallCheck also use type-based generators to obtain test-sets of finite values for which properties are checked, and report any counter-examples found. But instead of using a sample of randomly generated values they test properties for all values up to some limiting depth, progressively increasing this limit. The paper explains the design and implementation of both libraries and evaluates them in comparison with each other and with QuickCheck.
2	W15103390	2011	https://doi.org/10.1007/978-3-642-24364-6_2	Automatic Proof and Disproof in Isabelle/HOL	Lecture notes in computer science	conference-paper	
3	W1507441114	2012	https://doi.org/10.1007/978-3-642-35308-6_10	The New Quickcheck for Isabelle	Lecture notes in computer science	conference-paper	
4	W2146735819	2008	https://doi.org/10.5555/1788446.1788479	EasyCheck: test data for free		article	We present a lightweight, automated tool for specificationbased testing of declarative programs written in the functional logic programming language Curry and emphasize the usefulness of logic features in its implementation and use. Free variables, nondeterminism and encapsulated search turn out to be elegant and powerful means to express test-data generation.
5	W2749302087	2017	https://doi.org/10.1007/978-3-319-66167-4_10	Superposition with Structural Induction	Lecture notes in computer science	conference-paper	
6	W2476059279	2016	https://doi.org/10.1145/3009837.3009868	Beginner's luck: a language for property-based generators		conference-paper	Property-based random testing à la QuickCheck requires building efficient generators for well-distributed random data satisfying complex logical predicates, but writing these generators can be difficult and error prone. We propose a domain-specific language in which generators are conveniently expressed by decorating predicates with lightweight annotations to control both the distribution of generated values and the amount of constraint solving that happens before each variable is instantiated. This language, called Luck, makes generators easier to write, read, and maintain.
7	W2777305358	2017	https://doi.org/10.1145/3158133	Generating good generators for inductive relations	Proceedings of the ACM on Programming Languages	article	Property-based random testing (PBRT) is widely used in the functional programming and verification communities. For testing simple properties, PBRT tools such as QuickCheck can automatically generate random inputs of a given type. But for more complex properties, effective testing often demands generators for random inputs that belong to a given type and satisfy some logical condition. QuickCheck provides a library of combinators for building such generators by hand, but this can be tedious for simple conditions and error prone for more complex ones. Fortunately, the process can often be automated. The most prominent method, narrowing, works by traversing the structure of the condition, lazily instantiating parts of the data structure as constraints involving them are met. We show how to use ideas from narrowing to compile a large subclass of Coq's inductive relations into efficient generators, avoiding the interpretive overhead of previous implementations. More importantly, the same compilation technique allows us to produce proof terms certifying that each derived generator is good---i.e., sound and complete with respect to the inductive relation it was derived from. We implement our algorithm as an extension of QuickChick, an existing tool for property-based testing in Coq. We evaluate our method by automatically deriving good generators for the majority of the specifications in Software Foundations, a formalized textbook on programming language foundations.
8	W2159192310	2013	https://doi.org/10.1145/2500365.2500574	Testing noninterference, quickly		conference-paper	Information-flow control mechanisms are difficult to design and labor intensive to prove correct. To reduce the time wasted on proof attempts doomed to fail due to broken definitions, we advocate modern random testing techniques for finding counterexamples during the design process. We show how to use QuickCheck, a property-based random-testing tool, to guide the design of a simple information-flow abstract machine. We find that both sophisticated strategies for generating well-distributed random programs and readily falsifiable formulations of noninterference properties are critically important. We propose several approaches and evaluate their effectiveness on a collection of injected bugs of varying subtlety. We also present an effective technique for shrinking large counterexamples to minimal, easily comprehensible ones. Taken together, our best methods enable us to quickly and automatically generate simple counterexamples for all these bugs.
9	W2124354055	2007	https://doi.org/10.1109/scam.2007.11	"Toward an Implementation of the ""Form Template Method"" Refactoring"		conference-paper	"This paper presents an implementation of the ""form template method"" refactoring. This transformation has not been automated yet, but has many similarities with other transformations such as clone detection and removal or method extraction. Forming a template method is a difficult process because it has to deal with code statements directly. Few abstractions and algorithms have been investigated yet, compared to transformations dealing with higher level aspects such as the classes, methods, fields and their relations. We present a new algorithm that performs this transformation in a semi-automated way on Java programs. We state the difficulties inherent to this transformation and propose solutions to handle them."
10	W2751009798	2017	https://doi.org/10.1098/rsta.2016.0331	Position paper: the science of deep specification	Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences	article	We introduce our efforts within the project ‘The science of deep specification’ to work out the key formal underpinnings of industrial-scale formal specifications of software and hardware components, anticipating a world where large verified systems are routinely built out of smaller verified components that are also used by many other projects. We identify an important class of specification that has already been used in a few experiments that connect strong component-correctness theorems across the work of different teams. To help popularize the unique advantages of that style, we dub it deep specification , and we say that it encompasses specifications that are rich , two-sided , formal and live (terms that we define in the article). Our core team is developing a proof-of-concept system (based on the Coq proof assistant) whose specification and verification work is divided across largely decoupled subteams at our four institutions, encompassing hardware microarchitecture, compilers, operating systems and applications, along with cross-cutting principles and tools for effective specification. We also aim to catalyse interest in the approach, not just by basic researchers but also by users in industry. This article is part of the themed issue ‘Verified trustworthy software systems’.
11	W37906187	2012	https://doi.org/10.1007/978-3-642-28717-6_14	Smart Testing of Functional Programs in Isabelle	Lecture notes in computer science	conference-paper	
12	W2996075572	2016	https://doi.org/10.1145/2951913.2951915	Dynamic witnesses for static type errors (or, ill-typed programs usually go wrong)		conference-paper	Static type errors are a common stumbling block for newcomers to typed functional languages. We present a dynamic approach to explaining type errors by generating counterexample witness inputs that illustrate how an ill-typed program goes wrong. First, given an ill-typed function, we symbolically execute the body to synthesize witness values that make the program go wrong. We prove that our procedure synthesizes general witnesses in that if a witness is found, then for all inhabited input types, there exist values that can make the function go wrong. Second, we show how to extend the above procedure to produce a reduction graph that can be used to interactively visualize and debug witness executions. Third, we evaluate the coverage of our approach on two data sets comprising over 4,500 ill-typed student programs. Our technique is able to generate witnesses for 88% of the programs, and our reduction graph yields small counterexamples for 81% of the witnesses. Finally, we evaluate whether our witnesses help students understand and fix type errors, and find that students presented with our witnesses show a greater understanding of type errors than those presented with a standard error message.
13	W2468404022	2016	https://doi.org/10.1007/978-3-319-40229-1_10	Model Finding for Recursive Functions in SMT	Lecture notes in computer science	conference-paper	
14	W29796863	2014	https://doi.org/10.1007/978-3-319-08587-6_5	A Focused Sequent Calculus for Higher-Order Logic	Lecture notes in computer science	conference-paper	
15	W2434454117	2016	https://doi.org/10.4204/eptcs.210.3	Extending Nunchaku to Dependent Type Theory	Electronic Proceedings in Theoretical Computer Science	article	Nunchaku is a new higher-order counterexample generator based on a sequence of transformations from polymorphic higher-order logic to first-order logic. Unlike its predecessor Nitpick for Isabelle, it is designed as a stand-alone tool, with frontends for various proof assistants. In this short paper, we present some ideas to extend Nunchaku with partial support for dependent types and type classes, to make frontends for Coq and other systems based on dependent type theory more useful.
16	W2511207189	2016	https://doi.org/10.1145/2976002.2976003	FitSpec: refining property sets for functional testing		conference-paper	This paper presents FitSpec, a tool providing automated assistance in the task of refining sets of test properties for Haskell functions. FitSpec tests mutant variations of functions under test against a given property set, recording any surviving mutants that pass all tests. The number of surviving mutants and any smallest survivor are presented to the user. A surviving mutant indicates incompleteness of the property set, prompting the user to amend a property or to add a new one, making the property set stronger. Based on the same test results, FitSpec also provides conjectures in the form of equivalences and implications between property subsets. These conjectures help the user to identify minimal core subsets of properties and so to reduce the cost of future property-based testing.
17	W2338984668	2016	https://doi.org/10.1007/978-3-319-39110-6_2	Towards a Theory of Reach	Lecture notes in computer science	conference-paper	
