rank	openalex_id	year	doi	title	venue	type	abstract
1	W4367016879	2023	https://doi.org/10.1109/tac.2023.3270219	Stability Analysis and Controller Synthesis Using Single-Hidden-Layer ReLU Neural Networks	IEEE Transactions on Automatic Control	article	This article presents algorithms to solve analysis and controller synthesis problems for dynamical systems modeled as a recurrent single-hidden-layer rectified linear unit neural network (ReLU NN), or equivalently, a piecewise affine dynamical system. Such models are interesting since they may arise through the use of modern machine learning methods for system identification, or as closed-loop solutions in certain classes of model predictive control (MPC) problems. A key idea in the proposed approach is to use piecewise affine Lyapunov functions parametrized as ReLU NNs, and similarly parameterized controllers. This compatible representation between the Lyapunov function and the dynamics simplifies the automation of analysis of and controller synthesis for learned models. Our method of verifying a candidate Lyapunov function is faster than methods based on mixed integer programming. We “learn” controllers and Lyapunov functions using both weight updates and network architecture search, without gradients. We demonstrate the proposed algorithm on examples involving learned models, explicit MPC controllers, and constrained controller synthesis.
2	W4392883202	2024	https://doi.org/10.1016/j.ress.2024.110082	An extended moment-based trajectory accuracy reliability analysis method of robot manipulators with random and interval uncertainties	Reliability Engineering & System Safety	article	This paper proposes a novel trajectory accuracy reliability analysis method with random and interval variables to evaluate the impact of mixed uncertainties on the motion performance of robot manipulators. To effectively and accurately solve the hybrid reliability model, the interval analysis is first conducted on the positional error model established by differential kinematics, and a maximum positional error searching algorithm is developed based on geometric transformation and cell enumeration. Then, the trajectory accuracy reliability model is reconstructed by the eigen-decomposition technique, which further incorporates the adaptive weight vector-based anisotropic sparse-grid quadrature approach to derive the statistical moments of maximum positional error. Afterward, by matching with the cumulants of the original reliability model, a novel approximation method is proposed based on the Weibull distribution and minimized matching error model to complete the trajectory accuracy reliability analysis. The practicality and advantages of the proposed method are demonstrated by two illustrative examples of 6-degrees-of-freedom robot manipulators. Comparative results affirm that the proposed method outperforms existing state-of-the-art algorithms in terms of accuracy and efficiency for trajectory accuracy reliability analysis encompassing random and interval uncertainties. Overall, the outcomes of this paper contribute significantly to the design and analysis of safety and reliability in moving machinery.
3	W4312052141	2022	https://doi.org/10.1016/j.seps.2022.101497	DEA efficiency in agriculture: Measurement unit issues	Socio-Economic Planning Sciences	article	
4	W4407938032	2025	https://doi.org/10.1109/tit.2025.3545564	The Convex Landscape of Neural Networks: Characterizing Global Optima and Stationary Points via Lasso Models	IEEE Transactions on Information Theory	article	Due to the non-convex nature of training Deep Neural Network (DNN) models, their effectiveness relies on the use of non-convex optimization heuristics. Traditional methods for training DNNs often require costly empirical methods to produce successful models and do not have a clear theoretical foundation. In this study, we examine the use of convex optimization theory and sparse recovery models to refine the training process of neural networks and provide a better interpretation of their optimal weights. We focus on training two-layer neural networks with piecewise linear activations and demonstrate that they can be formulated as a finite-dimensional convex program. These programs include a regularization term that promotes sparsity, which constitutes a variant of group Lasso. We first utilize semi-infinite programming theory to prove strong duality for finite width neural networks and then we express these architectures equivalently as high dimensional convex sparse recovery models. Remarkably, the worst-case complexity to solve the convex program is polynomial in the number of samples and number of neurons when the rank of the data matrix is bounded, which is the case in convolutional networks. To extend our method to training data of arbitrary rank, we develop a novel polynomial-time approximation scheme based on zonotope subsampling that comes with a guaranteed approximation ratio. We also show that all the stationary points of the nonconvex training objective can be characterized as the global optimum of a subsampled convex program. Our convex models can be trained using standard convex solvers without resorting to heuristics or extensive hyper-parameter tuning unlike non-convex methods. Due to the convexity, optimizer hyperparameters such as initialization, batch sizes, and step size schedules have no effect on the final model. Through extensive numerical experiments, we show that convex models can outperform traditional non-convex methods and are not sensitive to optimizer hyperparameters. The code for our experiments is available athttps://github.com/pilancilab/convex_nn.
5	W3119154763	2022	https://doi.org/10.1016/j.jeconom.2022.04.011	Partial identification in nonseparable binary response models with endogenous regressors	Journal of Econometrics	article	
6	W4406597533	2025	https://doi.org/10.1007/s12532-024-00266-8	On the B-differential of the componentwise minimum of two affine vector functions	Mathematical Programming Computation	article	
7	W3121830416	2020	https://doi.org/10.1080/01621459.2020.1802284	Nonparametric Maximum Likelihood Methods for Binary Response Models With Random Coefficients	Journal of the American Statistical Association	article	The venerable method of maximum likelihood has found numerous recent applications in nonparametric estimation of regression and shape constrained densities. For mixture models the nonparametric maximum likelihood estimator (NPMLE) of Kiefer and Wolfowitz plays a central role in recent developments of empirical Bayes methods. The NPMLE has also been proposed by Cosslett as an estimation method for single index linear models for binary response with random coefficients. However, computational difficulties have hindered its application. Combining recent developments in computational geometry and convex optimization, we develop a new approach to computation for such models that dramatically increases their computational tractability. Consistency of the method is established for an expanded profile likelihood formulation. The methods are evaluated in simulation experiments, compared to the deconvolution methods of Gautier and Kitamura and illustrated in an application to modal choice for journey-to-work data in the Washington DC area. Supplementary materials for this article are available online.
8	W4402620923	2024	https://doi.org/10.1007/s42973-024-00165-6	Bandit algorithms for policy learning: methods, implementation, and welfare-performance	Japanese Economic Review	article	
9	W4210342892	2021	https://doi.org/10.1109/cdc45484.2021.9682987	Distributed Computation of a Robust Estimator Based on Cauchy Noises	2021 60th IEEE Conference on Decision and Control (CDC)	conference-paper	A real-time, recursive, multivariate estimation algorithm for time-invariant and time-varying linear systems with modelled Cauchy noises is developed. When previously compared to the Kalman Filter, the Multivariate Cauchy Estimator was shown to be robust against impulsive disturbances in the process or measurement functions, but proved computationally intractable for real-time estimation applications. Two significant insights allow for a reformulation of the Multivariate Cauchy Estimator to possess a streamlined recursive and computationally reduced characteristic function of the conditional probability density function of the system state-vector given the measurement sequence. This characteristic function is represented by a sum of terms, expanding with each measurement. First, we show that a cell-enumeration matrix can be computed for each hyperplane arrangement embedded within each term of the characteristic function of the Cauchy Estimator. We then show that functions used to formulate the terms of this characteristic function can be expressed as a vector of parameters operating on basis functions constructed from this enumeration matrix. This vector is obtained by solving an under-determined system of equations. We demonstrate that our reformulation allows all terms with equal hyperplane arrangements to be reduced into a unique set. Secondly, we take advantage of advances in parallel processing to exploit the inherent parallelism found in the characteristic function of the Cauchy Estimator. A three state time-invariant system example is used to illustrate the performance of the Cauchy Estimator against the Kalman Filter when subjected to Gaussian and Cauchy noises. We report computational savings of over 99% when compared to the previous formulation. Furthermore, we discuss the real-time architecture of the Cauchy Estimator and report the execution speeds for a three-state system implemented on a single NVIDIA GeForce GTX 1060 graphics processing unit (GPU).
10	W4406185294	2025	https://doi.org/10.1093/restud/rdaf001	Finite Sample Inference for the Maximum Score Estimand	The Review of Economic Studies	article	Abstract We provide a finite sample inference method for the structural parameters of Manski's semiparametric binary response model under a conditional median restriction. This is achieved by exploiting distributional properties of observable outcomes conditional on the observed sequence of exogenous variables. Moment inequalities conditional on the size n sequence of exogenous covariates are constructed, and the proposed test statistic is a monotone function of violations of the corresponding sample moment inequalities. The critical value used for inference is provided by the appropriate quantile of a known function of n independent Bernoulli random variables and does not require the use of a cube root asymptotic approximation employing a point estimator of the target parameter. Simulation studies demonstrate favourable finite sample performance of the test in comparison to several existing approaches. Empirical use is illustrated with an application to the classical setting of transportation choice.
