rank	openalex_id	year	doi	title	venue	type
1	W22089940	1987	https://doi.org/10.1097/mbc.0b013e32834d7cce	The Implementation of Functional Programming Languages (Prentice-hall International Series in Computer Science)		book
2	W62652455	1999		Programming in an Integrated Functional and Logic Language.		article
3	W137792605	2005		A static checker for safe pattern matching in Haskell.	Trends in Functional Programming	article
4	W315983254	2008		Property Directed Generation of First-Order Test Data	Chalmers Publication Library (Chalmers University of Technology)	conference-paper
5	W1483063167	2008	https://doi.org/10.1007/978-3-540-85373-2_8	The Reduceron: Widening the von Neumann Bottleneck for Graph Reduction Using an FPGA	Lecture notes in computer science	conference-paper
6	W1507693023	1988		Introduction to functional programming	Oxford University Research Archive (ORA) (University of Oxford)	book
7	W1587553526	2003	https://doi.org/10.1007/3-540-44854-3_6	Gast: Generic Automated Software Testing	Lecture notes in computer science	conference-paper
8	W1600253083	2003	https://doi.org/10.1007/978-3-540-44833-4_3	Testing and Tracing Lazy Functional Programs Using QuickCheck and Hat	Lecture notes in computer science	conference-paper
9	W1895387792	2007	https://doi.org/10.5860/choice.44-2746	Software abstractions: logic, language and analysis	Choice Reviews Online	book-review
10	W1977503326	2002	https://doi.org/10.1017/s0956796801004300	The countdown problem	Journal of Functional Programming	article
11	W1998875295	1998		Introduction to Functional Programming using Haskell	Oxford University Research Archive (ORA) (University of Oxford)	book
12	W2063068243	1979	https://doi.org/10.1002/spe.4380090105	A new implementation technique for applicative languages	Software Practice and Experience	article
13	W2074789981	2007	https://doi.org/10.1145/1291201.1291203	Haskell program coverage		conference-paper
14	W2109507655	1999	https://doi.org/10.1145/301618.301637	A semantics for imprecise exceptions		conference-paper
15	W2119717320	2011	https://doi.org/10.1145/1988042.1988046	QuickCheck	ACM SIGPLAN Notices	article
16	W2124354055	2007	https://doi.org/10.1109/scam.2007.11	"Toward an Implementation of the ""Form Template Method"" Refactoring"		conference-paper
17	W2142590632	1999	https://doi.org/10.1017/s0956796899003494	Red-black trees in a functional setting	Journal of Functional Programming	article
18	W2146735819	2008	https://doi.org/10.5555/1788446.1788479	EasyCheck: test data for free		article
19	W4244488020	2000	https://doi.org/10.1145/351240.351266	QuickCheck		conference-paper
