rank	source_id	year	doi	title	venue	type
1	doi:10.1109/acc.2005.1470060	-	10.1109/acc.2005.1470060	Unique Polyhedral Representations Of Continuous Selections For Convex Multiparametric Quadratic Programs	Proceedings Of The 2005, American Control Conference, 2005.	proceedings article
2	doi:10.1109/cdc.2003.1271665	-	10.1109/cdc.2003.1271665	Explicit Solutions For Optimal Maneuver-based Motion Planning	42Nd IEEE International Conference On Decision And Control (IEEE Cat. No.03CH37475)	proceedings article
3	doi:10.1109/cdc.2003.1273111	-	10.1109/cdc.2003.1273111	Further Results On Multiparametric Quadratic Programming	42Nd IEEE International Conference On Decision And Control (IEEE Cat. No.03CH37475)	proceedings article
4	doi:10.3166/ejc.9.177-189	2003	10.3166/ejc.9.177-189	Hybrid Systems Modeling And Control	European Journal Of Control	journal article
5	doi:10.1109/tac.2003.816984	2003	10.1109/tac.2003.816984	Min-max Control Of Constrained Uncertain Discrete-Time Linear Systems	IEEE Transactions On Automatic Control	journal article
6	doi:10.1023/b:jota.0000012733.44020.54	2004	10.1023/b:jota.0000012733.44020.54	An Algorithm For Approximate Multiparametric Linear Programming	Journal Of Optimization Theory And Applications	journal article
7	doi:10.1016/j.compchemeng.2004.08.007	2004	10.1016/j.compchemeng.2004.08.007	Analysis Of Linear Programming In Model Predictive Control	Computers & Chemical Engineering	journal article
8	doi:10.3182/20050703-6-cz-1902.00903	2005	10.3182/20050703-6-cz-1902.00903	A Method For Obtaining Continuous Solutions To Multiparametric Linear Programs	IFAC Proceedings Volumes	journal article
9	doi:10.1002/aic.10842	2006	10.1002/aic.10842	Uncertainty Analysis On The Righthand Side For MILP Problems	Annual Review Of Fluid Mechanics	journal article
10	doi:10.1002/rnc.1077	2006	10.1002/rnc.1077	Explicit Robust Model Predictive Control Using Recursive Closed-Loop Prediction	International Journal Of Robust And Nonlinear Control	journal article
11	doi:10.1007/11832225_25	2006	10.1007/11832225_25	Primal-Dual Enumeration For Multiparametric Linear Programming	Lecture Notes In Computer Science	book chapter
12	doi:10.1109/acc.2006.1657353	2006	10.1109/acc.2006.1657353	Stable Receding Horizon Control For Max-Plus-Linear Systems	2006 American Control Conference	proceedings article
13	doi:10.1109/acc.2006.1657485	2006	10.1109/acc.2006.1657485	Offline Robust Model Predictive Control With Rewinding Prediction	2006 American Control Conference	proceedings article
14	doi:10.1109/cdc.2006.377330	2006	10.1109/cdc.2006.377330	On The Continuity And Complexity Of Control Laws Based On Multiparametric Linear Programs	Proceedings Of The 45Th IEEE Conference On Decision And Control	proceedings article
15	doi:10.1109/cdc.2006.377366	2006	10.1109/cdc.2006.377366	Worst-case Optimal Control Of Uncertain Max-Plus-Linear Systems	Proceedings Of The 45Th IEEE Conference On Decision And Control	proceedings article
16	doi:10.1109/cdc.2006.377493	2006	10.1109/cdc.2006.377493	Set-Invariant Estimators For Multiple-Output Discrete-Time Systems	Proceedings Of The 45Th IEEE Conference On Decision And Control	proceedings article
17	doi:10.1109/cdc.2006.377502	2006	10.1109/cdc.2006.377502	Parametric Analysis Of Controllers For Constrained Linear Systems	Proceedings Of The 45Th IEEE Conference On Decision And Control	proceedings article
18	doi:10.1109/cdc.2006.377797	2006	10.1109/cdc.2006.377797	Multiparametric Linear Complementarity Problems	Proceedings Of The 45Th IEEE Conference On Decision And Control	proceedings article
19	doi:10.1109/cdc.2006.377799	2006	10.1109/cdc.2006.377799	Reverse Search For Parametric Linear Programming	Proceedings Of The 45Th IEEE Conference On Decision And Control	proceedings article
20	doi:10.3182/20060402-4-br-2902.00153	2006	10.3182/20060402-4-br-2902.00153	Short-Term Scheduling Of Chemical Process Including Uncertainty	IFAC Proceedings Volumes	journal article
21	doi:10.1007/s10589-006-6447-z	2006	10.1007/s10589-006-6447-z	An Algorithm For Approximate Multiparametric Convex Programming	Nonprofit Management And Leadership	journal article
22	doi:10.1109/tac.2006.878720	2006	10.1109/tac.2006.878720	Relaxing Dynamic Programming	IEEE Transactions On Automatic Control	journal article
23	doi:10.1016/j.automatica.2006.06.026	2006	10.1016/j.automatica.2006.06.026	On The Facet-To-Facet Property Of Solutions To Convex Parametric Quadratic Programs	Automatica	journal article
24	doi:10.1002/aic.11351	2007	10.1002/aic.11351	Process Scheduling Under Uncertainty Using Multiparametric Programming	AIChE Journal	journal article
25	doi:10.3166/ejc.13.152-170	2007	10.3166/ejc.13.152-170	Multiparametric Linear Programming With Applications To Control	European Journal Of Control	journal article
26	doi:10.1109/date.2007.364689	2007	10.1109/date.2007.364689	Adaptive Power Management In Energy Harvesting Systems	2007 Design, Automation & Test In Europe Conference & Exhibition	proceedings article
27	doi:10.1109/tac.2007.899071	2007	10.1109/tac.2007.899071	Finite-Horizon Min–Max Control Of Max-Plus-Linear Systems	IEEE Transactions On Automatic Control	journal article
28	doi:10.1021/ie070148s	2007	10.1021/ie070148s	A New Methodology For The General Multiparametric Mixed-Integer Linear Programming (MILP) Problems	Industrial & Engineering Chemistry Research	journal article
29	doi:10.1007/s11590-007-0056-3	2007	10.1007/s11590-007-0056-3	A Multi-Parametric Programming Approach For Constrained Dynamic Programming Problems	Optimization Letters	journal article
30	doi:10.23919/ecc.2007.7068822	2007	10.23919/ecc.2007.7068822	A Dynamic Programming Approach For Constrained Multi-Stage Problems Via Multi-Parametric Programming	2007 European Control Conference (ECC)	proceedings article
31	doi:10.1007/s10957-007-9215-z	2007	10.1007/s10957-007-9215-z	Continuous Selection And Unique Polyhedral Representation Of Solutions To Convex Parametric Quadratic Programs	Journal Of Optimization Theory And Applications	journal article
32	doi:10.1016/j.automatica.2007.03.008	2007	10.1016/j.automatica.2007.03.008	Lexicographic Perturbation For Multiparametric Linear Programming With Applications To Control	Automatica	journal article
33	doi:10.1016/j.conengprac.2006.10.009	2007	10.1016/j.conengprac.2006.10.009	Short-term Scheduling Of Chemical Process Including Uncertainty	Control Engineering Practice	journal article
34	doi:10.1002/rnc.1251	2008	10.1002/rnc.1251	An Online Active Set Strategy To Overcome The Limitations Of Explicit MPC	Building Simulation	journal article
35	doi:10.1109/cdc.2008.4738794	2008	10.1109/cdc.2008.4738794	The Double Description Method For The Approximation Of Explicit MPC Control Laws	2008 47Th IEEE Conference On Decision And Control	proceedings article
36	doi:10.1145/1403375.1403431	2008	10.1145/1403375.1403431	Robust And Low Complexity Rate Control For Solar Powered Sensors	Proceedings Of The Conference On Design, Automation And Test In Europe - DATE '08	proceedings article
37	doi:10.1137/060659314	2008	10.1137/060659314	Efficient On-Line Computation Of Constrained Optimal Control	SIAM Journal On Control And Optimization	journal article
38	doi:10.1109/date.2008.4484691	2008	10.1109/date.2008.4484691	Robust And Low Complexity Rate Control For Solar Powered Sensors	2008 Design, Automation And Test In Europe	proceedings article
39	doi:10.1007/s10957-008-9384-4 10.3929/ethz-b-000014099	-	10.1007/s10957-008-9384-4 10.3929/ethz-b-000014099	-	-	-
