rank	source_id	year	doi	title	venue	type
1	doi:10.23919/acc53348.2022.9867228	2022	10.23919/acc53348.2022.9867228	Reduced SARX Modeling And Control Via Regression Trees	2022 American Control Conference (ACC) [omid:br/061903482862]	proceedings article
2	doi:10.1002/rnc.1372	2008	10.1002/rnc.1372	Robust And Nonlinear Control Literature Survey (No. 8)	Building Simulation [issn:1996-3599 issn:1996-8744 openalex:S153850590 omid:br/062403015610]	journal article
3	doi:10.1109/pc.2013.6581442	2013	10.1109/pc.2013.6581442	Simplification Of Explicit MPC Solutions Via Inner And Outer Approximations	2013 International Conference On Process Control (PC) [omid:br/061702943763]	proceedings article
4	doi:10.1016/j.engappai.2026.114345	2026	10.1016/j.engappai.2026.114345	Transformer-based Explicit Model Predictive Control With Variable Prediction Horizon	Engineering Applications Of Artificial Intelligence [issn:0952-1976 openalex:S900972176 omid:br/064042037]	journal article
5	doi:10.3182/20120823-5-nl-3013.00079	2012	10.3182/20120823-5-nl-3013.00079	Some Remarks Upon The Characteristics Of The Explicit Representation Of The MPC Problem	IFAC Proceedings Volumes [issn:1474-6670 openalex:S2898246533 omid:br/062030251]	journal article
6	doi:10.1109/tcst.2020.3012683	2021	10.1109/tcst.2020.3012683	On Prediction Model Fidelity In Explicit Nonlinear Model Predictive Vehicle Stability Control	IEEE Transactions On Control Systems Technology [doi:10.1109/tcst.87 issn:1063-6536 issn:1558-0865 issn:2374-0159 openalex:S133363738 omid:br/0626015273]	journal article
7	doi:10.1109/compel.2016.7556711	2016	10.1109/compel.2016.7556711	Integration Of Inverter Constraints In Geometrical Quantification Of The Optimal Solution To An MPC Controller	2016 IEEE 17Th Workshop On Control And Modeling For Power Electronics (COMPEL) [omid:br/06102920715]	proceedings article
8	doi:10.1109/access.2024.3396352	2024	10.1109/access.2024.3396352	Linear State Signal Shaping Explicit Model Predictive Control Using Tensor Decompositions	IEEE Access [doi:10.1109/access.6287639 issn:2169-3536 openalex:S2485537415 omid:br/065023947]	journal article
9	doi:10.1016/j.ifacol.2020.12.545	2020	10.1016/j.ifacol.2020.12.545	Accelerating Explicit Model Predictive Control By Constraint Sorting	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
10	doi:10.1016/j.ejcon.2019.01.002	2019	10.1016/j.ejcon.2019.01.002	Convex-lifting-based Robust Control Design Using The Tunable Robust Invariant Sets	European Journal Of Control [issn:0947-3580 issn:1435-5671 openalex:S21401918 omid:br/062506379]	journal article
11	doi:10.1007/s40435-026-02013-4	2026	10.1007/s40435-026-02013-4	Current Prediction Control Methods For Permanent Magnet Synchronous Motor Models: A Review	International Journal Of Dynamics And Control [issn:2195-268X issn:2195-2698 openalex:S2764889581 omid:br/061701643414]	journal article
12	doi:10.23919/ecc.2018.8550567	2018	10.23919/ecc.2018.8550567	Explicit MPC Based On Approximate Dynamic Programming	2018 European Control Conference (ECC) [omid:br/062202304858]	proceedings article
13	doi:10.1109/iccsse52761.2021.9545123	2021	10.1109/iccsse52761.2021.9545123	Summary Of Model Predictive Control Methods In Motor Drive System	2021 IEEE 7Th International Conference On Control Science And Systems Engineering (ICCSSE) [omid:br/06602967475]	proceedings article
14	doi:10.1109/cdc.2012.6426081	2012	10.1109/cdc.2012.6426081	Scaling Up Controller Synthesis For Linear Systems And Safety Specifications	2012 IEEE 51St IEEE Conference On Decision And Control (CDC) [omid:br/061402938299]	proceedings article
15	doi:10.1109/tie.2022.3153800	2022	10.1109/tie.2022.3153800	Recurrent Model Predictive Control: Learning An Explicit Recurrent Controller For Nonlinear Systems	IEEE Transactions On Industrial Electronics [doi:10.1109/tie.41 issn:0278-0046 issn:1557-9948 openalex:S58031724 omid:br/066014021]	journal article
16	doi:10.23919/acc53348.2022.9867148	2022	10.23919/acc53348.2022.9867148	A Mixed-Integer MPC With Polyhedral Potential Field Cost For Obstacle Avoidance	2022 American Control Conference (ACC) [omid:br/061903482853]	proceedings article
17	doi:10.1145/2562059.2562122	2014	10.1145/2562059.2562122	State-feedback Stabilization Of Discrete-Time Piecewise Affine Systems	Proceedings Of The 17Th International Conference On Hybrid Systems: Computation And Control [omid:br/062202888812]	proceedings article
18	doi:10.23919/acc63710.2025.11107491	2025	10.23919/acc63710.2025.11107491	ReLU Neural Networks For Approximating Model Predictive Control: Complexity And Stability Guarantees	2025 American Control Conference (ACC) [omid:br/06016154179]	proceedings article
19	doi:10.1002/oca.2131	2014	10.1002/oca.2131	Nearly Optimal Simple Explicit MPC Controllers With Stability And Feasibility Guarantees	Optimal Control Applications And Methods [doi:10.1002/(issn)1099-1514 issn:0143-2087 issn:1099-1514 openalex:S92282528 omid:br/062409705]	journal article
20	doi:10.1287/ijoc.2020.1037	2022	10.1287/ijoc.2020.1037	Learning For Constrained Optimization: Identifying Optimal Active Constraint Sets	INFORMS Journal On Computing [issn:1091-9856 issn:1526-5528 openalex:S165318533 omid:br/0624015291]	journal article
21	doi:10.1021/acs.iecr.6b01913	2016	10.1021/acs.iecr.6b01913	POP – Parametric Optimization Toolbox	Industrial & Engineering Chemistry Research [issn:0888-5885 issn:1520-5045 openalex:S202680183 omid:br/0617035599]	journal article
22	doi:10.1109/cacsd.2010.5612806	2010	10.1109/cacsd.2010.5612806	Automatic Code Generation For Real-Time Implementation Of Model Predictive Control	2010 IEEE International Symposium On Computer-Aided Control System Design [omid:br/06201872930]	proceedings article
23	doi:10.1109/tcst.2014.2382571	2015	10.1109/tcst.2014.2382571	Explicit MPC-Based RBF Neural Network Controller Design With Discrete-Time Actual Kalman Filter For Semiactive Suspension	IEEE Transactions On Control Systems Technology [doi:10.1109/tcst.87 issn:1063-6536 issn:1558-0865 issn:2374-0159 openalex:S133363738 omid:br/0626015273]	journal article
24	doi:10.1007/978-3-030-48587-0_6	2020	10.1007/978-3-030-48587-0_6	Switched Models Of Non-integer Order	Automatic Control, Robotics, And Information Processing [doi:10.1007/978-3-030-48587-0 isbn:9783030485863 isbn:9783030485870 openalex:W3123509621 omid:br/0626050274]	book chapter
25	doi:10.1109/tac.2015.2465212	2016	10.1109/tac.2015.2465212	Minimal Conjunctive Normal Expression Of Continuous Piecewise Affine Functions	IEEE Transactions On Automatic Control [doi:10.1109/tac.9 issn:0018-9286 issn:1558-2523 issn:2334-3303 openalex:S184954342 omid:br/0618038962]	journal article
26	doi:10.1109/ojies.2021.3058411	2021	10.1109/ojies.2021.3058411	Embedded PWM Predictive Control Of DC-DC Power Converters Via Piecewise-Affine Neural Networks	IEEE Open Journal Of The Industrial Electronics Society [issn:2644-1284 openalex:S4210227635 omid:br/061201269214]	journal article
27	doi:10.1016/j.ifacol.2017.08.1518	2017	10.1016/j.ifacol.2017.08.1518	Reducing Memory Footprints In Explicit Model Predictive Control Using Universal Numbers	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
28	doi:10.1109/pc52310.2021.9447473	2021	10.1109/pc52310.2021.9447473	State Space Sets With Common Optimal Feedback Laws For Nonlinear MPC	2021 23Rd International Conference On Process Control (PC) [omid:br/061202979526]	proceedings article
29	doi:10.1007/978-1-4471-5102-9_10-1	2013	10.1007/978-1-4471-5102-9_10-1	Explicit Model Predictive Control	Encyclopedia Of Systems And Control [doi:10.1007/978-1-4471-5102-9 isbn:9781447151029 openalex:W4285750856 omid:br/06403142691]	book chapter
30	doi:10.1007/978-3-030-44184-5_10	2021	10.1007/978-3-030-44184-5_10	Explicit Model Predictive Control	Encyclopedia Of Systems And Control [omid:br/061502934646]	book chapter
31	doi:10.1007/978-3-319-03401-0_5	2014	10.1007/978-3-319-03401-0_5	Predictive Control In Power Electronics And Drives: Basic Concepts, Theory, And Methods	Advanced And Intelligent Control In Power Electronics And Drives [doi:10.1007/978-3-319-03401-0 isbn:9783319034003 isbn:9783319034010 openalex:W4239701750 omid:br/067053073]	book chapter
32	doi:10.1007/978-3-030-00314-2_5	2018	10.1007/978-3-030-00314-2_5	Multi-parametric Predictive Control	Intelligent Control Of Connected Plug-in Hybrid Electric Vehicles [doi:10.1007/978-3-030-00314-2 isbn:9783030003135 isbn:9783030003142 openalex:W2894118474 omid:br/0615047169]	book chapter
33	doi:10.1016/j.nahs.2019.100826	2020	10.1016/j.nahs.2019.100826	Set-based Control For Disturbed Piecewise Affine Systems With State And Actuation Constraints	Nonlinear Analysis: Hybrid Systems [issn:1751-570X openalex:S49302835 omid:br/067047907]	journal article
34	doi:10.1007/978-1-4471-2333-0_8	2012	10.1007/978-1-4471-2333-0_8	Efficient MPC Algorithms	Model Predictive Vibration Control [doi:10.1007/978-1-4471-2333-0 isbn:9781447123323 isbn:9781447123330 openalex:W2475963054 omid:br/0623063405]	book chapter
35	doi:10.1016/j.ifacol.2022.09.033	2022	10.1016/j.ifacol.2022.09.033	Polyhedral Potential Field Constructions For Obstacle Avoidance In A Receding Horizon Formulation	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
36	doi:10.1007/978-3-319-26995-5_3	2015	10.1007/978-3-319-26995-5_3	Mixed-Integer Representations	SpringerBriefs In Electrical And Computer Engineering [doi:10.1007/978-3-319-26995-5 isbn:9783319269931 isbn:9783319269955 openalex:W2491751791 omid:br/0614047768]	book chapter
37	doi:10.1109/cdc.2016.7799388	2016	10.1109/cdc.2016.7799388	Robust Stabilization Of Discrete-Time Piecewise Affine Systems Subject To Bounded Disturbances	2016 IEEE 55Th Conference On Decision And Control (CDC) [omid:br/06502897522]	proceedings article
38	doi:10.1016/j.automatica.2016.03.019	2016	10.1016/j.automatica.2016.03.019	Model Reduction Of Switched Affine Systems	Automatica [issn:0005-1098 openalex:S51360982 omid:br/068064894]	journal article
39	doi:10.1109/ecc.2015.7330929	2015	10.1109/ecc.2015.7330929	Design And Verification Of Low-Complexity Explicit MPC Controllers In MPT3	2015 European Control Conference (ECC) [omid:br/062402508158]	proceedings article
40	doi:10.1016/j.ifacol.2025.01.013	2024	10.1016/j.ifacol.2025.01.013	Inverse Optimal Parametric QP: From The Construction Of Constraints To The Selection Of The Cost Function	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
41	doi:10.1109/cdc.2015.7402441	2015	10.1109/cdc.2015.7402441	Constrained Quadratic Control Of Discrete-Time Piecewise Affine Systems	2015 54Th IEEE Conference On Decision And Control (CDC) [omid:br/061902510195]	proceedings article
42	doi:10.1007/978-3-642-01094-1_29	2009	10.1007/978-3-642-01094-1_29	A Survey On Explicit Model Predictive Control	Nonlinear Model Predictive Control [doi:10.1007/978-3-642-01094-1 isbn:9783642010934 isbn:9783642010941 openalex:W648378158 omid:br/063059249]	book chapter
43	doi:10.28991/esj-2019-01177	2019	10.28991/esj-2019-01177	Position Control Of A Flexible Joint Via Explicit Model Predictive Control: An Experimental Implementation	Emerging Science Journal [issn:2610-9182 openalex:S4210232528 omid:br/061401205744]	journal article
44	doi:10.1016/j.ifacol.2020.12.569	2020	10.1016/j.ifacol.2020.12.569	Low-complexity Stabilizing PWA Controllers For Linear Systems With Parametric Uncertainties	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
45	doi:10.1007/978-3-319-00933-9_13	2013	10.1007/978-3-319-00933-9_13	Piecewise Affine Representation Of Discrete In Time, Non-integer Order Systems	Lecture Notes In Electrical Engineering [doi:10.1007/978-3-319-00933-9 isbn:9783319009322 isbn:9783319009339 openalex:W2492966202 omid:br/061056177]	book chapter
46	doi:10.1109/cdc42340.2020.9304349	2020	10.1109/cdc42340.2020.9304349	Explicit Distributed And Localized Model Predictive Control Via System Level Synthesis	2020 59Th IEEE Conference On Decision And Control (CDC) [omid:br/061703295379]	proceedings article
47	doi:10.2139/ssrn.4648190	2023	10.2139/ssrn.4648190	Plc Implementation Of A Novel Sub-Optimal Explicit Mpc Based On Fuzzy Reshaped Active Regions		web content
48	doi:10.1016/j.ejcon.2024.101019	2024	10.1016/j.ejcon.2024.101019	Revisiting Reachability-Driven Explicit MPC For Embedded Control	European Journal Of Control [issn:0947-3580 issn:1435-5671 openalex:S21401918 omid:br/062506379]	journal article
49	doi:10.1016/j.jprocont.2011.01.008	2011	10.1016/j.jprocont.2011.01.008	Maximal Closed Loop Admissible Set For Linear Systems With Non-Convex Polyhedral Constraints	Journal Of Process Control [issn:0959-1524 openalex:S96000363 omid:br/06707182]	journal article
50	doi:10.1109/tcst.2018.2837097	2019	10.1109/tcst.2018.2837097	Explicit Nonlinear Model Predictive Control For Electric Vehicle Traction Control	IEEE Transactions On Control Systems Technology [doi:10.1109/tcst.87 issn:1063-6536 issn:1558-0865 issn:2374-0159 openalex:S133363738 omid:br/0626015273]	journal article
51	doi:10.1080/00207179.2018.1493536	2018	10.1080/00207179.2018.1493536	Grid K-D Tree Approach For Point Location In Polyhedral Data Sets – Application To Explicit MPC	International Journal Of Control [issn:0020-7179 issn:1366-5820 openalex:S88061139 omid:br/0614038183]	journal article
52	doi:10.1007/978-3-030-17405-7_6	2019	10.1007/978-3-030-17405-7_6	Inner Loops With Model Predictive Control Controllers	MPC-Based Reference Governors [doi:10.1007/978-3-030-17405-7 isbn:9783030174040 isbn:9783030174057 openalex:W4237355213 omid:br/0621044359]	book chapter
53	doi:10.1109/cdc.2010.5717578	2010	10.1109/cdc.2010.5717578	Performance-lossless Complexity Reduction In Explicit MPC	49Th IEEE Conference On Decision And Control (CDC) [omid:br/061503154709]	proceedings article
54	doi:10.1109/icems.2019.8921968	2019	10.1109/icems.2019.8921968	Explicit Model Predictive Control Of Permanent Magnet Synchronous Motor With Kalman Filter	2019 22Nd International Conference On Electrical Machines And Systems (ICEMS) [omid:br/06902296879]	proceedings article
55	doi:10.1109/tcyb.2020.2999556	2020	10.1109/tcyb.2020.2999556	Efficient Representation And Approximation Of Model Predictive Control Laws Via Deep Learning	IEEE Transactions On Cybernetics [doi:10.1109/tcyb.6221036 issn:2168-2267 issn:2168-2275 openalex:S4210191041 omid:br/0613053662]	journal article
56	doi:10.1016/j.conengprac.2017.01.001	2017	10.1016/j.conengprac.2017.01.001	Real-time Implementation Of An Explicit MPC-based Reference Governor For Control Of A Magnetic Levitation System	Control Engineering Practice [issn:0967-0661 openalex:S105928092 omid:br/062502535]	journal article
57	doi:10.1002/asjc.1178	2015	10.1002/asjc.1178	Using A Two-Level Structure To Manage The Point Location Problem In Explicit Model Predictive Control	Asian Journal Of Control [issn:1561-8625 issn:1934-6093 openalex:S103568991 omid:br/066033868]	journal article
58	doi:10.1016/j.ifacol.2020.12.538	2020	10.1016/j.ifacol.2020.12.538	Deep Neural Network Approximation Of Nonlinear Model Predictive Control	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
59	doi:10.1109/cdc.2011.6161361	2011	10.1109/cdc.2011.6161361	Enhancements On The Hyperplane Arrangements In Mixed Integer Techniques	IEEE Conference On Decision And Control And European Control Conference [omid:br/061802988119]	proceedings article
60	doi:10.3311/pp.ee.2010-1-2.05	2010	10.3311/pp.ee.2010-1-2.05	Analysis Of The Explicit Model Predictive Control For Semi-Active Suspension	Periodica Polytechnica Electrical Engineering [issn:0031-532X issn:1587-3781 openalex:S98170997 omid:br/061401489819]	journal article
61	doi:10.1016/j.ifacol.2017.08.1746	2017	10.1016/j.ifacol.2017.08.1746	Solution Techniques For Multi-Layer MPC-Based Control Strategies	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
62	doi:10.1016/j.ifacol.2023.10.233	2023	10.1016/j.ifacol.2023.10.233	Optimal Sub-References For Setpoint Tracking: A Multi-level MPC Approach	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
63	doi:10.1016/j.jpowsour.2014.11.148	2015	10.1016/j.jpowsour.2014.11.148	Application Of Explicit Model Predictive Control To A Hybrid Battery-Ultracapacitor Power Source	Journal Of Power Sources [issn:0378-7753 openalex:S177147899 omid:br/069013341]	journal article
64	doi:10.1016/j.eswa.2022.118369	2022	10.1016/j.eswa.2022.118369	A New Takagi-Sugeno-Kang Model-Based Stabilizing Explicit MPC Formulation: An Experimental Case Study With Implementation Embedded In A PLC	Expert Systems With Applications [issn:0957-4174 openalex:S13144211 omid:br/063013224]	journal article
65	doi:10.23919/ecc.2019.8796297	2019	10.23919/ecc.2019.8796297	Active Set Updates In Event-Triggered Networked MPC	2019 18Th European Control Conference (ECC) [omid:br/061502290109]	proceedings article
66	doi:10.1007/978-1-4471-2333-0_10	2012	10.1007/978-1-4471-2333-0_10	MPC Implementation For Vibration Control	Model Predictive Vibration Control [doi:10.1007/978-1-4471-2333-0 isbn:9781447123323 isbn:9781447123330 openalex:W2475963054 omid:br/0623063405]	book chapter
67	doi:10.23919/ecc64448.2024.10591249	2024	10.23919/ecc64448.2024.10591249	Approximations Of Optimal Control Laws For Constrained Piecewise Affine Systems By Deep Neural Networks	2024 European Control Conference (ECC) [omid:br/06104742276]	proceedings article
68	doi:10.1109/tac.2015.2417851	2015	10.1109/tac.2015.2417851	A Multiparametric Quadratic Programming Algorithm With Polyhedral Computations Based On Nonnegative Least Squares	Representation [issn:0034-4893 issn:1749-4001 openalex:S27847527 omid:br/06180649977]	journal article
69	doi:10.3182/20110828-6-it-1002.01444	2011	10.3182/20110828-6-it-1002.01444	Simplification Of Explicit MPC Feedback Laws Via Separation Functions	IFAC Proceedings Volumes [issn:1474-6670 openalex:S2898246533 omid:br/062030251]	journal article
70	doi:10.1016/j.automatica.2011.08.023	2011	10.1016/j.automatica.2011.08.023	Stabilizing Polynomial Approximation Of Explicit MPC	Automatica [issn:0005-1098 openalex:S51360982 omid:br/068064894]	journal article
71	doi:10.1016/j.cherd.2016.09.034	2016	10.1016/j.cherd.2016.09.034	On Multi-Parametric Programming And Its Applications In Process Systems Engineering	Chemical Engineering Research And Design [issn:0263-8762 issn:1744-3563 openalex:S4210222077 omid:br/067018772]	journal article
72	doi:10.1109/tac.2011.2179428	2012	10.1109/tac.2011.2179428	Clipping-Based Complexity Reduction In Explicit MPC	IEEE Transactions On Automatic Control [doi:10.1109/tac.9 issn:0018-9286 issn:1558-2523 issn:2334-3303 openalex:S184954342 omid:br/0618038962]	journal article
73	doi:10.1007/978-3-030-63281-6_7	2021	10.1007/978-3-030-63281-6_7	Model Predictive Control For The Internet Of Things	Recent Advances In Model Predictive Control [doi:10.1007/978-3-030-63281-6 isbn:9783030632809 isbn:9783030632816 openalex:W2370164663 omid:br/0618041022]	book chapter
74	doi:10.1016/j.ifacol.2017.08.747	2017	10.1016/j.ifacol.2017.08.747	Relations Between Model Predictive Control And Reinforcement Learning	IFAC-PapersOnLine [issn:2405-8963 openalex:S2898405271 omid:br/068028904]	journal article
