rank	source_id	year	doi	title	venue	type
1	doi:10.1002/oca.830	2007	10.1002/oca.830	Optimal Control Applications And Methods Literature Survey (No. 3)	International Journal Of Surgery: Protocols	journal article
2	doi:10.1002/rnc.1283	2007	10.1002/rnc.1283	Robust And Nonlinear Control Literature Survey (No. 3)	Asia-Pacific Journal Of Clinical Oncology	journal article
3	doi:10.1002/rnc.1295	2007	10.1002/rnc.1295	Robust And Nonlinear Control Literature Survey (No. 4)	Building Simulation	journal article
4	doi:10.1007/s10957-008-9384-4 10.3929/ethz-b-000014099	-	10.1007/s10957-008-9384-4 10.3929/ethz-b-000014099	-	-	-
5	doi:10.2478/v10006-008-0047-2	2008	10.2478/v10006-008-0047-2	Actuator Fault Tolerance In Control Systems With Predictive Constrained Set-Point Optimizers	International Journal Of Applied Mathematics And Computer Science	journal article
6	doi:10.1007/978-3-642-01094-1_29	2009	10.1007/978-3-642-01094-1_29	A Survey On Explicit Model Predictive Control	Nonlinear Model Predictive Control	book chapter
7	doi:10.1002/rnc.1392	2009	10.1002/rnc.1392	Inf-sup Control Of Discontinuous Piecewise Affine Systems	International Journal Of Robust And Nonlinear Control	journal article
8	doi:10.1016/j.automatica.2010.06.008	2010	10.1016/j.automatica.2010.06.008	A New Algorithm For Solving Convex Parametric Quadratic Programs Based On Graphical Derivatives Of Solution Mappings	Automatica	journal article
9	doi:10.1109/acc.2011.5990932	2011	10.1109/acc.2011.5990932	A Distributed Simplex Algorithm And The Multi-Agent Assignment Problem	Proceedings Of The 2011 American Control Conference	proceedings article
10	doi:10.1049/iet-cta.2010.0443	2012	10.1049/iet-cta.2010.0443	Field Programmable Gate Array/System On A Programmable Chip-Based Implementation Of Model Predictive Controller	IET Control Theory & Applications	journal article
11	doi:10.1016/j.automatica.2012.06.040	2012	10.1016/j.automatica.2012.06.040	A Distributed Simplex Algorithm For Degenerate Linear Programs And Multi-Agent Assignments	Automatica	journal article
12	doi:10.1109/cdc.2013.6760798	2013	10.1109/cdc.2013.6760798	Accelerating Model Predictive Control By Online Constraint Removal	52Nd IEEE Conference On Decision And Control	proceedings article
13	doi:10.1109/cdc.2014.7040355	2014	10.1109/cdc.2014.7040355	Efficient Multi-Robot Formations Using Distributed Optimization	53Rd IEEE Conference On Decision And Control	proceedings article
14	doi:10.1016/j.ifacol.2015.11.300	2015	10.1016/j.ifacol.2015.11.300	Cooperative Distributed Model Predictive Control Via Linear Programming★A Divide And Conquer Approach**This Work Was Supported By The “Developing FUTURE Vehicles” Project Of The Engineering And Physical Sciences Research Council Under The UK Low Carbon Vehicles Integrated Delivery Programme.	IFAC-PapersOnLine	journal article
15	doi:10.1007/978-3-662-49122-5_8	2015	10.1007/978-3-662-49122-5_8	Polyhedral Approximation Of Multivariate Polynomials Using Handelman’s Theorem	Verification, Model Checking, And Abstract Interpretation	book chapter
16	doi:10.1016/j.cherd.2016.09.034	2016	10.1016/j.cherd.2016.09.034	On Multi-Parametric Programming And Its Applications In Process Systems Engineering	Chemical Engineering Research And Design	journal article
17	doi:10.1007/978-3-319-66706-5_11	2017	10.1007/978-3-319-66706-5_11	Scalable Minimizing-Operators On Polyhedra Via Parametric Linear Programming	Static Analysis	book chapter
18	doi:10.1016/j.automatica.2016.10.005	2017	10.1016/j.automatica.2016.10.005	Explicit Model Predictive Control: A Connected-Graph Approach	Automatica	journal article
19	doi:10.1007/s10957-018-1281-x	2018	10.1007/s10957-018-1281-x	An Improved Multi-parametric Programming Algorithm For Flux Balance Analysis Of Metabolic Networks	Journal Of Optimization Theory And Applications	journal article
20	doi:10.1007/s10898-018-0668-4	2018	10.1007/s10898-018-0668-4	Multi-parametric Global Optimization Approach For Tri-Level Mixed-Integer Linear Optimization Problems	Journal Of Global Optimization	journal article
21	doi:10.23919/ecc.2018.8550351	2018	10.23919/ecc.2018.8550351	A Novel Algorithm For The Global Solution Of Mixed-Integer Bi-Level Multi-Follower Problems And Its Application To Planning & Scheduling Integration	2018 European Control Conference (ECC)	proceedings article
22	doi:10.1109/synasc.2018.00014	2018	10.1109/synasc.2018.00014	The Verified Polyhedron Library: An Overview	2018 20Th International Symposium On Symbolic And Numeric Algorithms For Scientific Computing (SYNASC)	proceedings article
23	doi:10.1007/978-3-319-77489-3_16	2018	10.1007/978-3-319-77489-3_16	Explicit (Offline) Optimization For MPC	Handbook Of Model Predictive Control	book chapter
24	doi:10.1109/cdc.2018.8618958	2018	10.1109/cdc.2018.8618958	Distributed Submodular Minimization Over Networks: A Greedy Column Generation Approach	2018 IEEE Conference On Decision And Control (CDC)	proceedings article
25	doi:10.1007/978-3-030-22750-0_52	2019	10.1007/978-3-030-22750-0_52	Parallel Parametric Linear Programming Solving, And Application To Polyhedral Computations	Lecture Notes In Computer Science	book chapter
26	doi:10.1007/978-3-030-32304-2_11	2019	10.1007/978-3-030-32304-2_11	An Efficient Parametric Linear Programming Solver And Application To Polyhedral Projection	Static Analysis	book chapter
27	doi:10.2139/ssrn.3469897	2019	10.2139/ssrn.3469897	Objective-Aligned Regression For Two-Stage Linear Programs	SSRN Electronic Journal	journal article
