rank	source_id	year	doi	title	venue	type
1	doi:10.1002/oca.972	2010	10.1002/oca.972	Optimal Control Applications And Methods Literature Survey (No. 19-20)	Optimal Control Applications And Methods	journal article
2	doi:10.1016/j.automatica.2011.04.003	2011	10.1016/j.automatica.2011.04.003	Convex Parametric Piecewise Quadratic Optimization: Theory And Algorithms	Automatica	journal article
3	doi:10.1109/acc.2012.6315197	2012	10.1109/acc.2012.6315197	Vertex Based Calculation Of Explicit MPC Laws	2012 American Control Conference (ACC)	proceedings article
4	doi:10.1109/cdc.2012.6426243	2012	10.1109/cdc.2012.6426243	Model Predictive Control For Linear Impulsive Systems	2012 IEEE 51St IEEE Conference On Decision And Control (CDC)	proceedings article
5	doi:10.1109/cdc.2012.6426458	2012	10.1109/cdc.2012.6426458	An Accelerated Dual Gradient-Projection Algorithm For Linear Model Predictive Control	2012 IEEE 51St IEEE Conference On Decision And Control (CDC)	proceedings article
6	doi:10.1007/978-1-4471-5102-9_10-1	2013	10.1007/978-1-4471-5102-9_10-1	Explicit Model Predictive Control	Encyclopedia Of Systems And Control	book chapter
7	doi:10.1016/j.jprocont.2013.04.008	2013	10.1016/j.jprocont.2013.04.008	An Offset-Free Neural Controller Based On A Non-Extrapolating Scheme For Approximating The Inverse Process Dynamics	Journal Of Process Control	journal article
8	doi:10.1016/j.fusengdes.2013.02.021	2013	10.1016/j.fusengdes.2013.02.021	Vertical Stabilization Of ITER Plasma Using Explicit Model Predictive Control	Fusion Engineering And Design	journal article
9	doi:10.1007/s10589-013-9622-z	2013	10.1007/s10589-013-9622-z	Computing The Partial Conjugate Of Convex Piecewise Linear-Quadratic Bivariate Functions	Computational Optimization And Applications	journal article
10	doi:10.3182/20140824-6-za-1003.00992	2014	10.3182/20140824-6-za-1003.00992	Fixed-Point Implementation Of A Proximal Newton Method For Embedded Model Predictive Control	IFAC Proceedings Volumes	journal article
11	doi:10.1109/tac.2013.2275667	2014	10.1109/tac.2013.2275667	An Accelerated Dual Gradient-Projection Algorithm For Embedded Linear Model Predictive Control	IEEE Transactions On Automatic Control	journal article
12	doi:10.1109/tac.2013.2285786	2014	10.1109/tac.2013.2285786	MPC For Sampled-Data Linear Systems: Guaranteeing Constraint Satisfaction In Continuous-Time	IEEE Transactions On Automatic Control	journal article
13	doi:10.1007/s10898-014-0228-5	2014	10.1007/s10898-014-0228-5	An Algorithm For Global Solution To Bi-Parametric Linear Complementarity Constrained Linear Programs	Journal Of Global Optimization	journal article
14	doi:10.1016/j.automatica.2014.08.031	2014	10.1016/j.automatica.2014.08.031	Stochastic Model Predictive Control For Constrained Discrete-Time Markovian Switching Systems	Automatica	journal article
15	doi:10.1016/j.automatica.2014.10.128	2014	10.1016/j.automatica.2014.10.128	Model Predictive Control: Recent Developments And Future Promise	Automatica	journal article
16	doi:10.1016/j.automatica.2015.04.014	2015	10.1016/j.automatica.2015.04.014	Online Constraint Removal: Accelerating MPC With A Lyapunov Function	Automatica	journal article
17	doi:10.1109/tac.2014.2380672	2015	10.1109/tac.2014.2380672	Model Predictive Control For Linear Impulsive Systems	Representation	journal article
18	doi:10.1109/tac.2015.2417851	2015	10.1109/tac.2015.2417851	A Multiparametric Quadratic Programming Algorithm With Polyhedral Computations Based On Nonnegative Least Squares	Representation	journal article
19	doi:10.1109/acc.2016.7525169	2016	10.1109/acc.2016.7525169	Extrusion Based Additive Manufacturing Using Explicit Model Predictive Control	2016 American Control Conference (ACC)	proceedings article
20	doi:10.1002/aic.15396	2016	10.1002/aic.15396	Explicit Model Predictive Control Of Hybrid Systems And Multiparametric Mixed Integer Polynomial Programming	The Journal Of Finance	journal article
21	doi:10.1021/acs.iecr.6b01913	2016	10.1021/acs.iecr.6b01913	POP – Parametric Optimization Toolbox	Industrial & Engineering Chemistry Research	journal article
22	doi:10.1016/j.ejor.2016.04.043	2016	10.1016/j.ejor.2016.04.043	A Two-Phase Algorithm For The Multiparametric Linear Complementarity Problem	European Journal Of Operational Research	journal article
23	doi:10.1016/j.cherd.2016.09.034	2016	10.1016/j.cherd.2016.09.034	On Multi-Parametric Programming And Its Applications In Process Systems Engineering	Chemical Engineering Research And Design	journal article
24	doi:10.1016/j.automatica.2016.10.005	2017	10.1016/j.automatica.2016.10.005	Explicit Model Predictive Control: A Connected-Graph Approach	Automatica	journal article
25	doi:10.1002/aic.15755	2017	10.1002/aic.15755	Multi‐parametric Linear Programming Under Global Uncertainty	AIChE Journal	journal article
26	doi:10.1002/9781118965580.ch2	2017	10.1002/9781118965580.ch2	Draft Computational Tools And Methods	Modelling Optimization And Control Of Biomedical Systems	book chapter
27	doi:10.1016/j.isatra.2017.09.016	2018	10.1016/j.isatra.2017.09.016	Model Predictive Control For Systems With Fast Dynamics Using Inverse Neural Models	ISA Transactions	journal article
28	doi:10.1007/978-3-319-77489-3_16	2018	10.1007/978-3-319-77489-3_16	Explicit (Offline) Optimization For MPC	Handbook Of Model Predictive Control	book chapter
