rank	source_id	year	doi	title	venue	type
1	10.1007/978-3-030-88806-0_3	2021	10.1007/978-3-030-88806-0_3	Backward Symbolic Execution With Loop Folding	Static Analysis [isbn:9783030888053 isbn:9783030888060 omid:br/062201397974]	book chapter
2	10.1109/tse.2025.3615642	2025	10.1109/tse.2025.3615642	Enhancing Real-Time Operating System Security Analysis Via Slice-Based Fuzzing	IEEE Transactions On Pattern Analysis And Machine Intelligence [doi:10.1109/tpami.34 doi:10.1109/tse.32 issn:0098-5589 issn:0162-8828 issn:1939-3520 issn:1939-3539 issn:2160-9292 issn:2326-3881 omid:br/0603903711]	journal article
3	10.1145/3236024.3236028	2018	10.1145/3236024.3236028	Adversarial Symbolic Execution For Detecting Concurrency-Related Cache Timing Leaks	Proceedings Of The 2018 26Th ACM Joint Meeting On European Software Engineering Conference And Symposium On The Foundations Of Software Engineering	proceedings article
4	10.1016/j.csi.2020.103444	2020	10.1016/j.csi.2020.103444	A Systematic Review Of Search Strategies In Dynamic Symbolic Execution	Computer Standards & Interfaces [issn:0920-5489 issn:1872-7018 openalex:S119630662 omid:br/0614054326]	journal article
5	10.1109/icse55347.2025.00095	2025	10.1109/icse55347.2025.00095	Topseed: Learning Seed Selection Strategies For Symbolic Execution From Scratch	2025 IEEE/ACM 47Th International Conference On Software Engineering (ICSE)	proceedings article
6	10.1145/3368089.3409755	2020	10.1145/3368089.3409755	Making Symbolic Execution Promising By Learning Aggressive State-Pruning Strategy	Proceedings Of The 28Th ACM Joint Meeting On European Software Engineering Conference And Symposium On The Foundations Of Software Engineering	proceedings article
7	10.1145/3548606.3559367	2022	10.1145/3548606.3559367	SFuzz	Proceedings Of The 2022 ACM SIGSAC Conference On Computer And Communications Security	proceedings article
8	10.1016/j.cose.2024.104193	2025	10.1016/j.cose.2024.104193	Beyond The Sandbox: Leveraging Symbolic Execution For Evasive Malware Classification	Computers & Security [issn:0167-4048 issn:1872-6208 openalex:S12529635 omid:br/0625029916]	journal article
9	10.1145/3427228.3427280	2020	10.1145/3427228.3427280	Device-agnostic Firmware Execution Is Possible: A Concolic Execution Approach For Peripheral Emulation	Annual Computer Security Applications Conference	proceedings article
10	10.1016/j.cose.2024.103732	2024	10.1016/j.cose.2024.103732	VDTriplet: Vulnerability Detection With Graph Semantics Using Triplet Model	Computers & Security [issn:0167-4048 issn:1872-6208 openalex:S12529635 omid:br/0625029916]	journal article
11	10.1109/tse.2021.3101870	2021	10.1109/tse.2021.3101870	Enhancing Dynamic Symbolic Execution By Automatically Learning Search Heuristics	IEEE Transactions On Pattern Analysis And Machine Intelligence [doi:10.1109/tpami.34 doi:10.1109/tse.32 issn:0098-5589 issn:0162-8828 issn:1939-3520 issn:1939-3539 issn:2160-9292 issn:2326-3881 omid:br/0603903711]	journal article
12	10.1109/indin41052.2019.8972014	2019	10.1109/indin41052.2019.8972014	Verification Of Safety Functions Implemented In Rust - A Symbolic Execution Based Approach	2019 IEEE 17Th International Conference On Industrial Informatics (INDIN)	proceedings article
13	10.1109/issre55969.2022.00055	2022	10.1109/issre55969.2022.00055	Feedback-Driven Incremental Symbolic Execution	2022 IEEE 33Rd International Symposium On Software Reliability Engineering (ISSRE)	proceedings article
14	10.1109/sp40000.2020.00002	2020	10.1109/sp40000.2020.00002	SAVIOR: Towards Bug-Driven Hybrid Testing	2020 IEEE Symposium On Security And Privacy (SP)	proceedings article
15	10.1016/j.infsof.2018.11.006	2019	10.1016/j.infsof.2018.11.006	FSCT: A New Fuzzy Search Strategy In Concolic Testing	Information And Software Technology [issn:0950-5849 issn:1873-6025 openalex:S205010575 omid:br/063062960]	journal article
16	10.1016/j.infsof.2021.106576	2021	10.1016/j.infsof.2021.106576	BGNN4VD: Constructing Bidirectional Graph Neural-Network For Vulnerability Detection	Information And Software Technology [issn:0950-5849 issn:1873-6025 openalex:S205010575 omid:br/063062960]	journal article
17	10.1145/3597503.3623301	2024	10.1145/3597503.3623301	Marco: A Stochastic Asynchronous Concolic Explorer	Proceedings Of The 46Th IEEE/ACM International Conference On Software Engineering	proceedings article
18	10.1145/3660815	2024	10.1145/3660815	FeatMaker: Automated Feature Engineering For Search Strategy Of Symbolic Execution	Proceedings Of The ACM On Software Engineering [issn:2994-970X openalex:S4404663975 omid:br/06504888176]	journal article
19	10.1145/3510003.3510185	2022	10.1145/3510003.3510185	SymTuner	Proceedings Of The 44Th International Conference On Software Engineering	proceedings article
20	10.1145/3656443	2024	10.1145/3656443	Compatible Branch Coverage Driven Symbolic Execution For Efficient Bug Finding	Proceedings Of The ACM On Programming Languages [issn:2475-1421 openalex:S4210216081 omid:br/06202297641]	journal article
21	10.1145/3377812.3390895	2020	10.1145/3377812.3390895	Summary-guided Incremental Symbolic Execution	Proceedings Of The ACM/IEEE 42Nd International Conference On Software Engineering: Companion Proceedings	proceedings article
22	10.1109/iv48863.2021.9575528	2021	10.1109/iv48863.2021.9575528	Symbolic Model-based Design And Generation Of Logical Scenarios For Autonomous Vehicles Validation	2021 IEEE Intelligent Vehicles Symposium (IV)	proceedings article
23	10.1145/3597926.3598064	2023	10.1145/3597926.3598064	Eunomia: Enabling User-Specified Fine-Grained Search In Symbolically Executing WebAssembly Binaries	Proceedings Of The 32Nd ACM SIGSOFT International Symposium On Software Testing And Analysis	proceedings article
24	10.1109/qrs.2019.00042	2019	10.1109/qrs.2019.00042	Reorganizing And Optimizing Post-Inspection On Suspicious Bug Reports In Path-Sensitive Analysis	2019 IEEE 19Th International Conference On Software Quality, Reliability And Security (QRS)	proceedings article
25	10.1016/j.cose.2022.103048	2023	10.1016/j.cose.2022.103048	UAF-GUARD: Defending The Use-After-Free Exploits Via Fine-Grained Memory Permission Management	Computers & Security [issn:0167-4048 issn:1872-6208 openalex:S12529635 omid:br/0625029916]	journal article
