rank	source_id	year	doi	title	venue	type
1	citation-1	2005		Evaluation Strategies for Functional Logic Programming	Journal of Symbolic Computation	article
2	citation-2	2006		Lazy Context Cloning for Non-Deterministic Graph Rewriting	Termgraph 2006	proceedings-article
3	citation-3	2009	10.1145/1599410.1599420	Set Functions for Functional Logic Programming	PPDP 2009	proceedings-article
4	citation-4	2010	10.1145/1721654.1721675	Functional Logic Programming	Communications of the ACM	article
5	citation-5	2005		A Virtual Machine for Functional Logic Computations	IFL 2004	proceedings-article
6	citation-6	2007	10.1007/978-3-540-76637-7_9	On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
7	citation-7	2010		Ph.D. Dissertation	work in progress	thesis
8	citation-8	2007		TOY: A Multiparadigm Declarative Language (Version 2.3.1)	TOY language specification	report
9	citation-9	2008		Inductively Sequential Term-Graph Rewrite Systems	ICGT 2008	proceedings-article
10	citation-10	2006		Curry: An Integrated Functional Logic Language (Version 0.8.2)	Curry language specification	report
11	citation-11	2008		PAKCS 1.9.1: The Portland Aachen Kiel Curry System	software	software
12	citation-12	1991		Computations in Orthogonal Term Rewriting Systems	Computational Logic: Essays in Honour of Alan Robinson	book-chapter
13	citation-13	1992		Nondeterministic Algebraic Specifications and Nonconfluent Rewriting	Journal of Logic Programming	article
14	citation-14	1995		Information Technology — Programming Languages — Prolog — Part 1: General Core	ISO/IEC 13211-1	standard
15	citation-15	2008		Rewriting and Call-Time Choice: The Higher-Order Case	FLOPS 2008	proceedings-article
16	citation-16	1999		Term Graph Rewriting	Handbook of Graph Grammars	book-chapter
17	citation-17	2001		Programming Ruby: The Pragmatic Programmer's Guide	Addison-Wesley	book
18	citation-18	2004		Implementing Functional Logic Languages Using Multiple Threads and Stores	ICFP 2004	proceedings-article
