rank	source_id	year	doi	title	venue	type
1	citation-1	1991		Non-Determinism and Lazy Evaluation in Logic Programming	LOPSTR 1991	proceedings-article
2	citation-2	1992		Definitional Trees	ALP 1992	proceedings-article
3	citation-3	1996		Needed Narrowing in Prolog	PLILP 1996	proceedings-article
4	citation-4	1997		Optimal Non-Deterministic Functional Logic Computations	ALP 1997	proceedings-article
5	citation-5	1994		A Needed Narrowing Strategy	POPL 1994	proceedings-article
6	citation-6	1997		Parallel Evaluation Strategies for Functional Logic Languages	ICLP 1997	proceedings-article
7	citation-7	1987		Term Graph Rewriting	PARLE 1987	proceedings-article
8	citation-8	1986		Conditional Rewrite Rules: Confluence and Termination	Journal of Computer and System Sciences	article
9	citation-9	1979		Minimal and Optimal Computations of Recursive Programs	Journal of the ACM	article
10	citation-10	1986		Design and Implementation of a Generic, Logic and Functional Programming Language	ESOP 1986	proceedings-article
11	citation-11	1995		Narrowing Strategies for Arbitrary Canonical Systems	Fundamenta Informaticae	article
12	citation-12	1985		Computational Semantics of Term Rewriting Systems	Algebraic Methods in Semantics	book-chapter
13	citation-13	1993		Implementation of Narrowing: The Prolog-Based Approach	Logic Programming Languages: Constraints, Functions, and Objects	book-chapter
14	citation-14	1989		Narrowing and Unification in Functional Programming: An Evaluation Mechanism for Absolute Set Abstraction	RTA 1989	proceedings-article
15	citation-15	1990		Rewrite Systems	Handbook of Theoretical Computer Science B	book-chapter
16	citation-16	1989		Completion and Its Applications	Resolution of Equations in Algebraic Structures	book-chapter
17	citation-17	1990		On Completeness of Narrowing Strategies	Theoretical Computer Science	article
18	citation-18	1992		Uniform Narrowing Strategies	ALP 1992	proceedings-article
19	citation-19	1998		Admissible Graph Rewriting and Narrowing	JICSLP 1998	proceedings-article
20	citation-20	1994		A Universal Unification Algorithm Based on Unification-Driven Leftmost Outermost Narrowing	Acta Cybernetica	article
21	citation-21	1979		First-Order Unification in an Equational Theory	Workshop on Automated Deduction 1979	proceedings-article
22	citation-22	1985		SLOG: A Logic Programming Language Interpreter Based on Clausal Superposition and Rewriting	IEEE Symposium on Logic Programming 1985	proceedings-article
23	citation-23	1991		Kernel LEAF: A Logic Plus Functional Language	Journal of Computer and System Sciences	article
24	citation-24	1986		Eqlog: Equality, Types, and Generic Modules for Logic Programming	Logic Programming, Functions, Relations, and Equations	book-chapter
25	citation-25	1996		A Rewriting Logic for Declarative Programming	ESOP 1996	proceedings-article
26	citation-26	1978		The Algebraic Specification of Abstract Data Types	Acta Informatica	article
27	citation-27	1997		Strong Completeness of a Lazy Conditional Narrowing Calculus	Fuji International Workshop on Functional and Logic Programming	proceedings-article
28	citation-28	1992		On the Interaction of Lazy Evaluation and Backtracking	PLILP 1992	proceedings-article
29	citation-29	1990		Compiling Logic Programs with Equality	PLILP 1990	proceedings-article
30	citation-30	1992		Improving Control of Logic Programs by Using Functional Logic Languages	PLILP 1992	proceedings-article
31	citation-31	1994		The Integration of Functions into Logic Programming: From Theory to Practice	Journal of Logic Programming	article
32	citation-32	1995		Efficient Translation of Lazy Functional Logic Programs into Prolog	LOPSTR 1995	proceedings-article
33	citation-33	1997		A Unified Computation Model for Functional and Logic Programming	POPL 1997	proceedings-article
34	citation-34	1998		Strongly Sequential and Inductively Sequential Term Rewriting Systems	Information Processing Letters	article
35	citation-35	1996		Higher-Order Narrowing with Definitional Trees	RTA 1996	proceedings-article
36	citation-36	1999		An Abstract Machine for Curry and Its Concurrent Implementation in Java	Journal of Functional and Logic Programming	article
37	citation-37	1999		Curry: An Integrated Functional Logic Language	language specification	report
38	citation-38	1986		Narrowing Techniques Applied to Idempotent Unification	SEKI	report
39	citation-39	1989		Foundations of Equational Logic Programming	Springer	book
40	citation-40	1982		Proofs by Induction in Equational Theories with Constructors	Journal of Computer and System Sciences	article
41	citation-41	1991		Computations in Orthogonal Term Rewriting Systems	Computational Logic: Essays in Honour of Alan Robinson	book-chapter
42	citation-42	1980		Canonical Forms and Unification	CADE 1980	proceedings-article
