rank	source_id	year	doi	title	venue	type
1	citation-1	2010		The Pull-Tab Transformation	Graph Computation Models 2010	proceedings-article
2	citation-2	1992		Definitional Trees	ALP 1992	proceedings-article
3	citation-3	1997		Optimal Non-Deterministic Functional Logic Computations	ALP 1997	proceedings-article
4	citation-4	2001		Constructor-Based Conditional Narrowing	PPDP 2001	proceedings-article
5	citation-5	2005		Evaluation Strategies for Functional Logic Programming	Journal of Symbolic Computation	article
6	citation-6	2010		Programming with Narrowing	Journal of Symbolic Computation	article
7	citation-7	2006		Lazy Context Cloning for Non-Deterministic Graph Rewriting	Termgraph 2006	proceedings-article
8	citation-8	2002		Functional Logic Design Patterns	FLOPS 2002	proceedings-article
9	citation-9	2005		Declarative Programming with Function Patterns	LOPSTR 2005	proceedings-article
10	citation-10	2006		Overlapping Rules and Logic Variables in Functional Logic Programs	ICLP 2006	proceedings-article
11	citation-11	2009		Set Functions for Functional Logic Programming	PPDP 2009	proceedings-article
12	citation-12	2010		Functional Logic Programming	Communications of the ACM	article
13	citation-13	2005		A Virtual Machine for Functional Logic Computations	IFL 2004	proceedings-article
14	citation-14	1998		Term Rewriting and All That	Cambridge University Press	book
15	citation-15	2003		Term Rewriting Systems	Cambridge University Press	book
16	citation-16	2011		Implementing Functional Logic Programs by Translation into Purely Functional Programs	Brandeis University	thesis
17	citation-17	2007		On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
18	citation-18	2007		TOY: A Multiparadigm Declarative Language	language specification	report
19	citation-19	1990		Rewrite Systems	Handbook of Theoretical Computer Science B	book-chapter
20	citation-20	1997		On Constructor-Based Graph Rewriting Systems	IMAG	report
21	citation-21	1998		Admissible Graph Rewriting and Narrowing	JICSLP 1998	proceedings-article
22	citation-22	2006		Curry: An Integrated Functional Logic Language	language specification	report
23	citation-23	2008		PAKCS 1.9.1: The Portland Aachen Kiel Curry System	project website	software
24	citation-24	1991		Computations in Orthogonal Term Rewriting Systems	Computational Logic: Essays in Honour of Alan Robinson	book-chapter
25	citation-25	1992		Nondeterministic Algebraic Specifications and Nonconfluent Rewriting	Journal of Logic Programming	article
26	citation-26	1995		Information Technology: Programming Languages: Prolog: Part 1 General Core	ISO/IEC 13211-1	standard
27	citation-27	1992		Term Rewriting Systems	Handbook of Logic in Computer Science	book-chapter
28	citation-28	2007		A Simple Rewrite Notion for Call-Time Choice Semantics	PPDP 2007	proceedings-article
29	citation-29	2008		Rewriting and Call-Time Choice: The HO Case	FLOPS 2008	proceedings-article
30	citation-30	1985		Equational Logic as a Programming Language	MIT Press	book
31	citation-31	1999		Term Graph Rewriting	Handbook of Graph Grammars	book-chapter
32	citation-32	2004		Implementing Functional Logic Languages Using Multiple Threads and Stores	ICFP 2004	proceedings-article
