rank	source_id	year	doi	title	venue	type
1	citation-1	2005	10.1016/j.jsc.2004.01.001	Operational Semantics for Declarative Multi-Paradigm Languages	Journal of Symbolic Computation	article
2	citation-2	1992	10.1007/BFb0013825	Definitional Trees	ALP 1992	proceedings-article
3	citation-3	1997	10.1007/BFb0027000	Optimal Non-Deterministic Functional Logic Computations	ALP 1997	proceedings-article
4	citation-4	2001	10.1145/773184.773205	Constructor-Based Conditional Narrowing	PPDP 2001	proceedings-article
5	citation-5	2005	10.1016/j.jsc.2004.12.007	Evaluation Strategies for Functional Logic Programming	Journal of Symbolic Computation	article
6	citation-6	2010	10.1016/j.jsc.2010.01.006	Programming with Narrowing	Journal of Symbolic Computation	article
7	citation-7	2011	10.1017/S1471068411000263	On the Correctness of Pull-Tabbing	Theory and Practice of Logic Programming	article
8	citation-8	2006	10.1016/j.entcs.2006.10.026	Lazy Context Cloning for Non-Deterministic Graph Rewriting	Termgraph 2006	proceedings-article
9	citation-9	2006	10.1007/11805618_4	On the Correctness of Bubbling	RTA 2006	proceedings-article
10	citation-10	2002	10.1007/3-540-45788-7_4	Functional Logic Design Patterns	FLOPS 2002	proceedings-article
11	citation-11	2006	10.1007/11799573_9	Overlapping Rules and Logic Variables in Functional Logic Programs	ICLP 2006	proceedings-article
12	citation-12	2009	10.1145/1599410.1599420	Set Functions for Functional Logic Programming	PPDP 2009	proceedings-article
13	citation-13	2010	10.1145/1721654.1721675	Functional Logic Programming	Communications of the ACM	article
14	citation-14	2005	10.1007/11431664_7	A Virtual Machine for Functional Logic Computations	IFL 2004	proceedings-article
15	citation-15	2013		A Target Implementation for High-Performance Functional Programs	TFP 2013	unpublished
16	citation-16	2012	10.1007/978-3-642-29822-6_5	Compiling a Functional Logic Language: The Basic Scheme	FLOPS 2012	proceedings-article
17	citation-17	2003		Term Rewriting Systems	Cambridge University Press	book
18	citation-18	2011		Implementing Functional Logic Programs by Translation into Purely Functional Programs	Christian-Albrechts-Universitat zu Kiel	thesis
19	citation-19	2011	10.1007/978-3-642-22531-4_1	KiCS2: A New Compiler from Curry to Haskell	WFLP 2011	proceedings-article
20	citation-20	2007	10.1007/978-3-540-76637-7_9	On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
21	citation-21	2007		The Kiel Curry System KiCS	WLP 2007	proceedings-article
22	citation-22	2007		TOY: A Multiparadigm Declarative Language Version 2.3.1	software documentation	manual
23	citation-23	1997		On Constructor-Based Graph Rewriting Systems	IMAG Technical Report 985-I	technical-report
24	citation-24	2011	10.1017/S0956796811000189	Purely Functional Lazy Nondeterministic Programming	Journal of Functional Programming	article
25	citation-25	1997	10.1007/BFb0029968	Simulation as a Correct Transformation of Rewrite Systems	MFCS 1997	proceedings-article
26	citation-26	1999	10.1016/S0743-1066(98)10029-8	An Approach to Declarative Programming Based on a Rewriting Logic	Journal of Logic Programming	article
27	citation-27	1996	10.1007/3-540-60939-3_19	Efficient Translation of Lazy Functional Logic Programs into Prolog	LOPSTR 1995	proceedings-article
28	citation-28	2006		Curry: An Integrated Functional Logic Language Version 0.8.2	language report	manual
29	citation-29	2007	10.1007/978-3-540-74610-2_5	Multi-Paradigm Declarative Languages	ICLP 2007	proceedings-article
30	citation-30	2008		PAKCS 1.9.1: The Portland Aachen Kiel Curry System	software documentation	manual
31	citation-31	1995		Curry: A Truly Functional Logic Language	ILPS 1995 Workshop on Visions for the Future of Logic Programming	proceedings-article
32	citation-32	1998	10.1016/S0020-0190(98)00016-7	Strongly Sequential and Inductively Sequential Term Rewriting Systems	Information Processing Letters	article
33	citation-33	1999		An Abstract Machine for Curry and Its Concurrent Implementation in Java	Journal of Functional and Logic Programming	article
34	citation-34	1991		Computations in Orthogonal Term Rewriting Systems	Computational Logic: Essays in Honour of Alan Robinson	book-chapter
35	citation-35	1992	10.1016/0743-1066(92)90026-X	Nondeterministic Algebraic Specifications and Nonconfluent Rewriting	Journal of Logic Programming	article
36	citation-36	2012		ISO/IEC 14882:2011 Information Technology — Programming Languages — C++	International Organization for Standardization	standard
37	citation-37	1985	10.1007/3-540-15975-4_37	Lambda Lifting: Transforming Programs to Recursive Equations	FPCA 1985	proceedings-article
38	citation-38	1996		Simulating TRSs by Minimal TRSs: A Simple Efficient and Correct Compilation Technique	CWI Technical Report CS-R9605	technical-report
39	citation-39	1993		The Adequacy of Term Graph Rewriting for Simulating Term Rewriting	Term Graph Rewriting: Theory and Practice	book-chapter
40	citation-40	2007	10.1016/j.entcs.2006.05.049	Extra Variables Can Be Eliminated from Functional Logic Programs	Electronic Notes in Theoretical Computer Science	article
41	citation-41	2012	10.1017/S1471068411000093	Rewriting and Narrowing for Constructor Systems with Call-Time Choice Semantics	Theory and Practice of Logic Programming	article
42	citation-42	2007	10.1145/1273920.1273947	A Simple Rewrite Notion for Call-Time Choice Semantics	PPDP 2007	proceedings-article
43	citation-43	1999	10.1007/3-540-48685-2_19	TOY: A Multiparadigm Declarative System	RTA 1999	proceedings-article
44	citation-44	1998		An Abstract Machine for the Efficient Implementation of Curry	WFLP 1998	proceedings-article
45	citation-45	2012		The Munster Curry Compiler	software documentation	manual
46	citation-46	2004		OCaml	software documentation	manual
47	citation-47	1999		Term Graph Rewriting	Handbook of Graph Grammars	book-chapter
48	citation-48	1982		Higher-Order Extensions to PROLOG: Are They Needed?	Machine Intelligence 10	book-chapter
