rank	source_id	year	doi	title	venue	type
1	doi:10.1002/nav.3800020106	1955	10.1002/nav.3800020106	Gass, S., and Saaty, T., The Computational Algorithm for the Parametric Objective Function, Naval Research Logistics Quarterly, Vol. 2, pp. 39-45, 1955.	Naval Research Logistics Quarterly	reference
2	citation-2	1995	-	Gal, T., Postoptimal Analyses, Parametric Programming, and Related Topics, 2nd Edition, de Gruyter, Berlin, Germany, 1995.	-	reference
3	citation-3	1997	-	Gal, T., and Greenberg, H., Advances in Sensitivity Analysis and Parametric Programming, International Series in Operations Research and Management Science, Kluwer Academic Publishers, Dordrecht, Netherlands, Vol. 6, 1997.	-	reference
4	doi:10.1287/mnsc.18.7.406	1972	10.1287/mnsc.18.7.406	Gal, T., and Nedoma, J., Multiparametric Linear Programming, Management Science, Vol. 18, pp. 406-442, 1972.	Management Science	reference
5	citation-5	1997	-	Filippi, C., On the Geometry of Optimal Partition Sets in Multiparametric Linear Programming, Technical Report 12, Department of Pure and Applied Mathematics, University of Padova, Padova, Italy, 1997.	-	reference
6	doi:10.1007/bf00939219	1987	10.1007/BF00939219	Schechter, M., Polyhedral Functions and Multiparametric Linear Programming, Journal of Optimization Theory and Applications, Vol. 53, pp. 269-280, 1987.	Journal of Optimization Theory and Applications	reference
7	citation-7	1983	-	Fiacco, A.V., Introduction to Sensitivity and Stability Analysis in Nonlinear Programming, Academic Press, London, UK, 1983.	-	reference
8	doi:10.1016/s0005-1098(01)00174-1	2002	10.1016/S0005-1098(01)00174-1	Bemporad, A., Morari, M., Dua, V., and Pistikopoulos, E., The Explicit Linear-Quadratic Regulator for Constrained Systems, Automatica, Vol. 38, pp. 3-20, 2002.	Automatica	reference
9	doi:10.1023/a:1019241000636	2000	10.1023/A:1019241000636	Dua, V., and Pistikopoulos, E., An Algorithm for the Solution of Multiparametric Mixed Integer Linear Programming Problems, Annals of Operations Research, Vol. 99, pp. 123-139, 2000.	Annals of Operations Research	reference
10	doi:10.1109/tac.1962.1105469	1962	10.1109/TAC.1962.1105469	Zadeh, L., and Whalen, L., On Optimal Control and Linear Programming, IRE Transaction on Automatic Control, Vol. 7, pp. 45-46, 1962.	IRE Transaction on Automatic Control	reference
11	doi:10.1016/s0098-1354(98)00301-9	1999	10.1016/S0098-1354(98)00301-9	Morari, M., and Lee, J., Model Predictive Control: Past, Present, and Future, Computers and Chemical Engineering, Vol. 23, pp. 667-682, 1999.	Computers and Chemical Engineering	reference
12	doi:10.1016/s0005-1098(99)00214-9	2000	10.1016/S0005-1098(99)00214-9	Mayne, D., Rawlings, J., Rao, C., and Scokaert, P., Constrained Model Predictive Control: Stability and Optimality, Automatica, Vol. 36, pp. 789-814, 2000.	Automatica	reference
13	doi:10.1109/tac.2002.805688	2002	10.1109/TAC.2002.805688	Bemporad, A., Borrelli, F., and Morari, M., Model Predictive Control Based on Linear Programming: The Explicit Solution, IEEE Transactions on Automatic Control, Vol. 47, pp. 1974-1985, 2002.	IEEE Transactions on Automatic Control	reference
14	citation-14	2002	-	Borrelli, F., Discrete-Time Constrained Optimal Control, PhD Thesis, Automatic Control Labotatory, ETH, Zurich, Switzerland, 2002.	-	reference
15	doi:10.1007/bf01758841	1992	10.1007/BF01758841	Adler, I., and Monteiro, R., A Geometric View of Parametric Linear Programming, Algorithmica, Vol. 8, pp. 161-176, 1992.	Algorithmica	reference
16	citation-16	1992	-	Mehrotra, S., and Monteiro, R., Parametric and Range Analysis for Interior-Point Methods., Technical Report, Department of Systems and Industrial Engineering, University of Arizona, Tucson, Arizona, 1992.	-	reference
17	citation-17	1997	-	Berkelaar, A., Roos, K., and Terlaky, T., The Optimal Set and Optimal Partition Approach to Linear and Quadratic Programming, Advances in Sensitivity Analysis and Parametric Programming, Edited by T. Gal and H. Greenberg, International Series in Operations Research and Management Science, Kluwer Academic Publishers, Dordrecht, Netherlands, Vol. 6, 1997.	-	reference
18	doi:10.1016/s0925-7721(01)00004-9	2001	10.1016/S0925-7721(01)00004-9	Bemporad, A., Fukuda, K., and Torrisi, F., Convexity Recognition of the Union of Polyhedra, Computational Geometry, Vol. 18, pp. 141-154, 2001.	Computational Geometry	reference
19	citation-19	1997	-	Fukuda, K., cdd/cddC Reference Manual, Institute for Operations Research, ETH-Zentrum, Zurich, Switzerland, 0.61 (cdd) and 0.75 (cdd+) editions, 1997.	-	reference
20	doi:10.1007/bf01581642	1980	10.1007/BF01581642	Murty, K.G., Computational Complexity of Parametric Linear Programming, Mathematical Programming, Vol. 19, pp. 213-219, 1980.	Mathematical Programming	reference
21	citation-21	1997	-	Goodman, J., and O'Rourke, J., Handbook of Discrete and Computational Geometry, Discrete Mathematics and Its Applications, CRC Press, New York, NY, 1997.	-	reference
22	doi:10.1007/3-540-45351-2_16	2001	10.1007/3-540-45351-2_16	Borrelli, F., Bemporad, A., Fodor, M., and Hrovat, D., A Hybrid Approach to Traction Control, Hybrid Systems: Computation and Control, Edited by A. Sangiovanni-Vincentelli and M. D. Benedetto, Lecture Notes in Computer Science, Springer Verlag, Berlin, Germany, Vol. 2034, pp. 162-174, 2001.	-	reference
