rank	source_id	year	doi	title	venue	type
1	10.1007/978-3-540-71209-1_12	2007	10.1007/978-3-540-71209-1_12	JPF-SE: A Symbolic Execution Extension to Java PathFinder	Lecture Notes in Computer Science	book-chapter
2	10.1109/ISSRE.2018.00019	2018	10.1109/ISSRE.2018.00019	Worst-Case Execution Time Testing via Evolutionary Symbolic Execution	2018 IEEE 29th International Symposium on Software Reliability Engineering (ISSRE)	proceedings-article
3	10.1145/1403375.1403577	2008	10.1145/1403375.1403577	Efficient symbolic simulation of low level software	Proceedings of the conference on Design, automation and test in Europe	proceedings-article
4	citation-4	2008		Exploiting Structure for Scalable Software Verification	University of British Columbia	dissertation
5	10.1145/3182657	2018	10.1145/3182657	A Survey of Symbolic Execution Techniques	ACM Computing Surveys	journal-article
6	10.1109/TSE.2015.2490067	2016	10.1109/TSE.2015.2490067	Bidirectional Symbolic Analysis for Effective Branch Testing	IEEE Transactions on Software Engineering	journal-article
7	10.1007/s11219-013-9207-1	2014	10.1007/s11219-013-9207-1	Software testing with code-based test generators: data and lessons learned from a case study with an industrial software component	Software Quality Journal	journal-article
8	10.1145/2491411.2491433	2013	10.1145/2491411.2491433	Enhancing symbolic execution with built-in term rewriting and constrained lazy initialization	Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering	proceedings-article
9	10.1145/2786805.2786842	2015	10.1145/2786805.2786842	Symbolic execution of programs with heap inputs	Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering	proceedings-article
10	10.1145/2950290.2983940	2016	10.1145/2950290.2983940	JBSE: a symbolic executor for Java programs with complex heap inputs	Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering	proceedings-article
11	10.1145/1966445.1966463	2011	10.1145/1966445.1966463	Parallel symbolic execution for automated real-world software testing	Proceedings of the sixth conference on Computer systems	proceedings-article
12	10.1109/ICSE.2009.5070545	2009	10.1109/ICSE.2009.5070545	WISE: Automated test generation for worst-case complexity	2009 IEEE 31st International Conference on Software Engineering	proceedings-article
13	10.1109/ASE.2008.69	2008	10.1109/ASE.2008.69	Heuristics for Scalable Dynamic Test Generation	2008 23rd IEEE/ACM International Conference on Automated Software Engineering	proceedings-article
14	ref14	2008		KLEE: Unassisted and Automatic Generation of High-coverage Tests for Complex Systems Programs		reference
15	10.1145/2408776.2408795	2013	10.1145/2408776.2408795	Symbolic Execution for Software Testing: Three Decades Later	Communications of the ACM	journal-article
16	10.1145/800191.805647	1976	10.1145/800191.805647	A program testing system	Proceedings of the annual conference on   - ACM 76	proceedings-article
17	10.1145/503209.503230	2001	10.1145/503209.503230	Using symbolic execution for verifying safety-critical systems	Proceedings of the 8th European software engineering conference held jointly with 9th ACM SIGSOFT international symposium on Foundations of software engineering	proceedings-article
18	10.1007/978-3-540-78800-3_24	2008	10.1007/978-3-540-78800-3_24	Z3: An Efficient SMT Solver	Lecture Notes in Computer Science	book-chapter
19	10.1109/ase.2006.26	2006	10.1109/ase.2006.26	Bogor/Kiasan: A k-bounded Symbolic Execution for Checking Strong Heap Properties of Open Systems	21st IEEE/ACM International Conference on Automated Software Engineering (ASE'06)	proceedings-article
20	10.1007/s10515-011-0089-9	2012	10.1007/s10515-011-0089-9	Efficient and formal generalized symbolic execution	Automated Software Engineering	journal-article
21	10.1109/sefm.2007.43	2007	10.1109/sefm.2007.43	Towards A Case-Optimal Symbolic Execution Algorithm for Analyzing Strong Properties of Object-Oriented Programs	Fifth IEEE International Conference on Software Engineering and Formal Methods (SEFM 2007)	proceedings-article
22	10.1109/ase.2015.78	2015	10.1109/ase.2015.78	Quantification of Software Changes through Probabilistic Symbolic Execution (N)	2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)	proceedings-article
23	10.1007/978-3-642-38088-4_16	2013	10.1007/978-3-642-38088-4_16	Bounded Lazy Initialization	Lecture Notes in Computer Science	book-chapter
24	10.1145/1065010.1065036	2005	10.1145/1065010.1065036	DART: directed automated random testing	Proceedings of the 2005 ACM SIGPLAN conference on Programming language design and implementation	proceedings-article
25	10.1007/978-3-642-04694-0_6	2009	10.1007/978-3-642-04694-0_6	State Joining and Splitting for the Symbolic Execution of Binaries	Lecture Notes in Computer Science	book-chapter
