rank	source_id	year	doi	title	venue	type
1	citation-1	2005		Evaluation Strategies for Functional Logic Programming	Journal of Symbolic Computation	article
2	citation-2	2000		Compiling Multi-Paradigm Declarative Programs into Prolog	FroCoS 2000	proceedings-article
3	citation-3	2002		Functional Logic Design Patterns	FLOPS 2002	proceedings-article
4	citation-4	2006	10.1007/11799573_9	Overlapping Rules and Logic Variables in Functional Logic Programs	ICLP 2006	proceedings-article
5	citation-5	2005		A Virtual Machine for Functional Logic Computations	IFL 2004	proceedings-article
6	citation-6	1994		On Generating Unique Names	Journal of Functional Programming	article
7	citation-7	2007		The Kiel Curry System KiCS	INAP/WLP 2007	proceedings-article
8	citation-8	2007	10.1007/978-3-540-76637-7_9	On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
9	citation-9	2008		EasyCheck - Test Data for Free	FLOPS 2008	proceedings-article
10	citation-10	2000		QuickCheck: A Lightweight Tool for Random Testing of Haskell Programs	ICFP 2000	proceedings-article
11	citation-11	2007		Constraint Functional Logic Programming over Finite Domains	Theory and Practice of Logic Programming	article
12	citation-12	2008		Data-Flow Testing of Declarative Programs	ICFP 2008	proceedings-article
13	citation-13	1997		A Unified Computation Model for Functional and Logic Programming	POPL 1997	proceedings-article
14	citation-14	2007		Multi-Paradigm Declarative Languages	ICLP 2007	proceedings-article
15	citation-15	2007		PAKCS: The Portland Aachen Kiel Curry System	software	software
16	citation-16	1998		Demand-Driven Search in Functional Logic Programs	LIFO Research Report RR-LIFO-98-08	technical-report
17	citation-17	1999		An Abstract Machine for Curry and Its Concurrent Implementation in Java	Journal of Functional and Logic Programming	article
18	citation-18	2006		Curry: An Integrated Functional Logic Language (Version 0.8.2)	Curry language specification	report
19	citation-19	2000		Deriving Backtracking Monad Transformers	ICFP 2000	proceedings-article
20	citation-20	2005		Simple Fair and Terminating Backtracking Monad Transformer	personal web publication	web
21	citation-21	1995		Declarative Programming in Escher	University of Bristol	technical-report
22	citation-22	1999		TOY: A Multiparadigm Declarative System	RTA 1999	proceedings-article
23	citation-23	1999		An Efficient Abstract Machine for Curry	Informatik 1999	proceedings-article
24	citation-24	2007		A Functional-Logic Library for Wired	Haskell 2007	proceedings-article
25	citation-25	2003		Haskell 98 Language and Libraries - The Revised Report	Cambridge University Press	book
26	citation-26	2002		Clean Language Report Version 2.0	Clean language report	report
27	citation-27	2008		SmallCheck and Lazy SmallCheck: Automatic Exhaustive Testing for Small Values	Haskell 2008	proceedings-article
28	citation-28	1985		How to Replace Failure by a List of Successes	Functional Programming and Computer Architecture	proceedings-article
