rank	source_id	year	doi	title	venue	type
1	citation-1	2014		Optimal Dynamic Partial Order Reduction	POPL	conference paper
2	10.1007/978-3-662-46681-0_28	2015	10.1007/978-3-662-46681-0_28	Stateless Model Checking for TSO and PSO	TACAS	conference paper
3	10.1007/978-3-319-63387-9_26	2017	10.1007/978-3-319-63387-9_26	Context-Sensitive Dynamic Partial Order Reduction	CAV	conference paper
4	citation-4	2013		Partial Orders for Efficient Bounded Model Checking of Concurrent Software	CAV	conference paper
5	citation-5	2004		Zing: A Model Checker for Concurrent Software	CAV	conference paper
6	10.1007/978-3-319-89963-3_14	2018	10.1007/978-3-319-89963-3_14	Optimal Dynamic Partial Order Reduction with Observers	TACAS	conference paper
7	citation-7	1980		Mutual exclusion using invisible reads and writes	Annual Allerton Conference on Communication, Control, and Computing	conference paper
8	citation-8	1973		Mechanizable proofs about parallel processes	SWAT	conference paper
9	10.1145/3158119	2017	10.1145/3158119	Data-centric Dynamic Partial Order Reduction	Proceedings of the ACM on Programming Languages	journal article
10	citation-10	2019		Value-centric Dynamic Partial Order Reduction	arXiv	preprint
11	citation-11	1999		State space reduction using partial order techniques	International Journal on Software Tools for Technology Transfer	journal article
12	citation-12	1986		Automatic Verification of Finite-state Concurrent Systems Using Temporal Logic Specifications	ACM Transactions on Programming Languages and Systems	journal article
13	citation-13	1999		Model Checking	MIT Press	book
14	citation-14	2016		2-thread software solutions for the mutual exclusion problem	Concurrency Freaks	technical report
15	10.1145/2814270.2814297	2015	10.1145/2814270.2814297	SATCheck: SAT-directed Stateless Model Checking for SC and TSO	OOPSLA	conference paper
16	10.1145/357980.357989	1983	10.1145/357980.357989	Solution of a Problem in Concurrent Programming Control	Communications of the ACM	journal article
17	citation-17	2012		Verification of parameterized concurrent programs by modular reasoning about data and control	CAV	conference paper
18	citation-18	2009		The Complexity of Predicting Atomicity Violations	TACAS	conference paper
19	citation-19	2005		Dynamic Partial-order Reduction for Model Checking Software	POPL	conference paper
20	citation-20	1996		Partial-Order Methods for the Verification of Concurrent Systems: An Approach to the State-Explosion Problem	Springer-Verlag	book
21	citation-21	1997		Model Checking for Programming Languages Using VeriSoft	POPL	conference paper
22	citation-22	2005		Software Model Checking: The VeriSoft Approach	Formal Methods in System Design	journal article
23	citation-23	1995		State-space Caching Revisited	Formal Methods in System Design	journal article
24	10.1145/2737924.2737975	2015	10.1145/2737924.2737975	Stateless Model Checking Concurrent Programs with Maximal Causality Reduction	PLDI	conference paper
25	10.1145/3022671.2984025	2016	10.1145/3022671.2984025	Maximal Causality Reduction for TSO and PSO	ACM SIGPLAN Notices	journal article
26	10.4230/LIPIcs.ECOOP.2017.16	2017	10.4230/LIPIcs.ECOOP.2017.16	Speeding Up Maximal Causality Reduction with Static Dependency Analysis	ECOOP	conference paper
27	citation-27	2012		Using Unfoldings in Automated Testing of Multithreaded Programs	ACSD	conference paper
28	citation-28	1992		Defining Conditional Independence Using Collapses	Theoretical Computer Science	journal article
29	10.1007/BF00288966	1982	10.1007/BF00288966	Arbitration without common modifiable variables	Acta Informatica	journal article
30	10.1145/355592.365595	1966	10.1145/355592.365595	Additional Comments on a Problem in Concurrent Programming Control	Communications of the ACM	journal article
31	10.1145/3158105	2017	10.1145/3158105	Effective Stateless Model Checking for C/C++ Concurrency	Proceedings of the ACM on Programming Languages	journal article
32	citation-32	2009		Reducing Concurrent Analysis Under a Context Bound to Sequential Analysis	Formal Methods in System Design	journal article
33	citation-33	2010		Evaluating Ordering Heuristics for Dynamic Partial-order Reduction Techniques	FASE	conference paper
34	citation-34	1975		Reduction: A Method of Proving Properties of Parallel Programs	Communications of the ACM	journal article
35	citation-35	2007		CHESS: A systematic testing tool for concurrent software	Microsoft Research	technical report
36	citation-36	1987		Trace Theory	Advances in Petri Nets 1986	book chapter
37	citation-37	1995		A Technique of State Space Search Based on Unfolding	Formal Methods in System Design	journal article
38	citation-38	2007		Iterative Context Bounding for Systematic Testing of Multithreaded Programs	ACM SIGPLAN Notices	journal article
39	citation-39	2008		Finding and Reproducing Heisenbugs in Concurrent Programs	OSDI	conference paper
40	10.1007/978-3-319-96142-2_22	2018	10.1007/978-3-319-96142-2_22	Quasi-Optimal Partial Order Reduction	CAV	conference paper
41	citation-41	1993		All from One, One for All: On Model Checking Using Representatives	CAV	conference paper
42	citation-42	1981		Myths About the Mutual Exclusion Problem	Information Processing Letters	journal article
43	10.1145/800105.803398	1977	10.1145/800105.803398	Economical Solutions for the Critical Section Problem in a Distributed System (Extended Abstract)	STOC	conference paper
44	citation-44	1962		Kommunikation mit Automaten	Universität Hamburg	doctoral thesis
45	citation-45	2015		Unfolding-based Partial Order Reduction	CONCUR	conference paper
46	citation-46	2012		Improving Dynamic Partial Order Reductions for Concolic Testing	ACSD	conference paper
47	citation-47	2006		Automated Systematic Testing of Open Distributed Programs	FASE	conference paper
48	citation-48	2007		A Race-detection and Flipping Algorithm for Automated Testing of Multi-threaded Programs	HVC	conference paper
49	10.1145/55364.55425	1988	10.1145/55364.55425	A Simple Solution to Lamport's Concurrent Programming Problem with Linear Wait	ICS	conference paper
50	citation-50	2012		TransDPOR: A Novel Dynamic Partial-order Reduction Technique for Testing Actor Programs	FMOODS/FORTE	conference paper
51	citation-51	1998		Deriving a Scalable Algorithm for Mutual Exclusion	DISC	conference paper
52	citation-52	1991		Stubborn Sets for Reduced State Space Generation	Petri Nets	conference paper
53	citation-53	2008		Peephole Partial Order Reduction	TACAS	conference paper
