rank	source_id	year	doi	title	venue	type
1	https://doi.org/10.1007/s10009-009-0118-1	2009	https://doi.org/10.1007/s10009-009-0118-1	A survey of new trends in symbolic execution for software testing and analysis	International Journal on Software Tools for Technology Transfer	article
2	https://doi.org/10.1109/TSE.2010.49	2010	https://doi.org/10.1109/TSE.2010.49	Proofs from Tests	IEEE Transactions on Software Engineering	article
3	https://doi.org/10.1007/978-3-540-71209-1_12	2007	https://doi.org/10.1007/978-3-540-71209-1_12	JPF-SE: A Symbolic Execution Extension to Java PathFinder	TACAS	conference-paper
4	https://doi.org/10.1145/1273463.1273478	2007	https://doi.org/10.1145/1273463.1273478	Variably interprocedural program analysis for runtime error detection	ESEC/FSE	conference-paper
5	https://doi.org/10.1145/1065010.1065036	2005	https://doi.org/10.1145/1065010.1065036	DART: Directed Automated Random Testing	PLDI	conference-paper
6	https://doi.org/10.1007/978-3-642-14295-6_10	2010	https://doi.org/10.1007/978-3-642-14295-6_10	Lazy Annotation for Program Testing and Verification	CAV	conference-paper
7	https://doi.org/10.1145/360248.360252	1976	https://doi.org/10.1145/360248.360252	Symbolic execution and program testing	Communications of the ACM	article
8	https://doi.org/10.1007/978-3-540-78800-3_24	2008	https://doi.org/10.1007/978-3-540-78800-3_24	Z3: An Efficient SMT Solver	TACAS	conference-paper
9	https://doi.org/10.1145/347324.348870	2000	https://doi.org/10.1145/347324.348870	Automated Testing of Classes	ISSTA	conference-paper
10	https://doi.org/10.1109/32.6194	1988	https://doi.org/10.1109/32.6194	An applicable family of data flow testing criteria	IEEE Transactions on Software Engineering	article
11	https://doi.org/10.1145/193173.195402	1994	https://doi.org/10.1145/193173.195402	Performing data flow testing on classes	FSE	conference-paper
12	https://doi.org/10.1145/24039.24041	1987	https://doi.org/10.1145/24039.24041	The program dependence graph and its use in optimization	ACM Transactions on Programming Languages and Systems	article
13	https://doi.org/10.1145/1190216.1190226	2007	https://doi.org/10.1145/1190216.1190226	Compositional dynamic test generation	POPL	conference-paper
14	https://doi.org/10.1007/978-3-540-78800-3_28	2008	https://doi.org/10.1007/978-3-540-78800-3_28	Demand-Driven Compositional Symbolic Execution	TACAS	conference-paper
15	https://doi.org/10.1145/1831708.1831733	2010	https://doi.org/10.1145/1831708.1831733	Exploiting program dependencies for scalable multiple-path symbolic execution	ISSTA	conference-paper
16	https://doi.org/10.1145/2025113.2025152	2011	https://doi.org/10.1145/2025113.2025152	Path exploration based on symbolic output	ESEC/FSE	conference-paper
17	https://doi.org/10.1007/978-3-540-78800-3_27	2008	https://doi.org/10.1007/978-3-540-78800-3_27	RWset: Attacking Path Explosion in Constraint-Based Test Generation	TACAS	conference-paper
18	https://doi.org/10.1109/FMCAD.2008.ECP.23	2008	https://doi.org/10.1109/FMCAD.2008.ECP.23	Symbolic Program Analysis Using Term Rewriting and Generalization	FMCAD	conference-paper
19	https://doi.org/10.1145/268946.268950	1998	https://doi.org/10.1145/268946.268950	Data flow analysis is model checking of abstract interpretations	POPL	conference-paper
20	https://doi.org/10.1145/1146238.1146243	2006	https://doi.org/10.1145/1146238.1146243	Test input generation for Java containers using state matching	ISSTA	conference-paper
