rank	source_id	year	doi	title	venue	type
1	citation-1	2001		A Framework for Goal-Directed Bottom-Up Evaluation of Functional Logic Programs	FLOPS 2001	proceedings-article
2	citation-2	2002		Abstract Diagnosis of Functional Programs	LOPSTR 2002	proceedings-article
3	citation-3	1998		Partial Evaluation of Functional Logic Programs	ACM Transactions on Programming Languages and Systems	article
4	citation-4	2001		Constructor-Based Conditional Narrowing	PPDP 2001	proceedings-article
5	citation-5	2011		On the Correctness of Pull-Tabbing	Theory and Practice of Logic Programming	article
6	citation-6	2000		A Needed Narrowing Strategy	Journal of the ACM	article
7	citation-7	2000		Compiling Multi-Paradigm Declarative Programs into Prolog	FroCoS 2000	proceedings-article
8	citation-8	2002		Functional Logic Design Patterns	FLOPS 2002	proceedings-article
9	citation-9	2006		Overlapping Rules and Logic Variables in Functional Logic Programs	ICLP 2006	proceedings-article
10	citation-10	2010		Functional Logic Programming	Communications of the ACM	article
11	citation-11	2011		New Functional Logic Design Patterns	WFLP 2011	proceedings-article
12	citation-12	2005		A Virtual Machine for Functional Logic Computations	IFL 2004	proceedings-article
13	citation-13	2012		Compiling a Functional Logic Language: The Basic Scheme	FLOPS 2012	proceedings-article
14	citation-14	1994		On Generating Unique Names	Journal of Functional Programming	article
15	citation-15	1995		Abstraction of Conditional Term Rewriting Systems	International Logic Programming Symposium 1995	proceedings-article
16	citation-16	2011		Implementing Functional Logic Programs by Translation into Purely Functional Programs	Christian-Albrechts-Universitat zu Kiel	thesis
17	citation-17	2008		From Functional Logic Programs to Purely Functional Programs Preserving Laziness	IFL 2008	proceedings-article
18	citation-18	2008		High-Level Database Programming in Curry	PADL 2008	proceedings-article
19	citation-19	2011		KiCS2: A New Compiler from Curry to Haskell	WFLP 2011	proceedings-article
20	citation-20	2007		On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
21	citation-21	2009		The Kiel Curry System KiCS	Applications of Declarative Programming and Knowledge Management	book-chapter
22	citation-22	1999		A Functional-Logic Perspective of Parsing	FLOPS 1999	proceedings-article
23	citation-23	2000		Typed Logical Variables in Haskell	ACM SIGPLAN Haskell Workshop	proceedings-article
24	citation-24	1977		Abstract Interpretation: A Unified Lattice Model for Static Analysis of Programs by Construction or Approximation of Fixpoints	POPL 1977	proceedings-article
25	citation-25	2007		Extra Variables Can Be Eliminated from Functional Logic Programs	Electronic Notes in Theoretical Computer Science	article
26	citation-26	2005		A Functional Logic Database Library	WCFLP 2005	proceedings-article
27	citation-27	2007		Systematic Generation of Glass-Box Test Cases for Functional Logic Programs	PPDP 2007	proceedings-article
28	citation-28	1999		An Approach to Declarative Programming Based on a Rewriting Logic	Journal of Logic Programming	article
29	citation-29	2000		A Functional Logic Programming Approach to Graphical User Interfaces	PADL 2000	proceedings-article
30	citation-30	2001		High-Level Server Side Web Scripting in Curry	PADL 2001	proceedings-article
31	citation-31	2006		Type-Oriented Construction of Web User Interfaces	PPDP 2006	proceedings-article
32	citation-32	2007		Multi-Paradigm Declarative Languages	ICLP 2007	proceedings-article
33	citation-33	2008		Call Pattern Analysis for Functional Logic Programs	PPDP 2008	proceedings-article
34	citation-34	2012		Improving Lazy Non-Deterministic Computations by Demand Analysis	Christian-Albrechts-Universitat Kiel	report
35	citation-35	2010		An ER-Based Framework for Declarative Web Programming	PADL 2010	proceedings-article
36	citation-36	1999		A Semantics for Program Analysis in Narrowing-Based Functional Logic Languages	FLOPS 1999	proceedings-article
37	citation-37	1999		An Abstract Machine for Curry and Its Concurrent Implementation in Java	Journal of Functional and Logic Programming	article
38	citation-38	2006		Curry: An Integrated Functional Logic Language (Version 0.8.2)	Curry language specification	report
39	citation-39	2001		Prolog's Control Constructs in a Functional Setting: Axioms and Implementation	International Journal of Foundations of Computer Science	article
40	citation-40	1992		Nondeterministic Algebraic Specifications and Nonconfluent Term Rewriting	Journal of Logic Programming	article
41	citation-41	1999		TOY: A Multiparadigm Declarative System	RTA 1999	proceedings-article
42	citation-42	2007		A Simple Rewrite Notion for Call-Time Choice Semantics	PPDP 2007	proceedings-article
43	citation-43	1999		Implementing Encapsulated Search for a Lazy Functional Logic Language	FLOPS 1999	proceedings-article
44	citation-44	1997		Modularity in Functional-Logic Programming	ICLP 1997	proceedings-article
45	citation-45	1993		Efficient Lazy Narrowing Using Demandedness Analysis	PLILP 1993	proceedings-article
46	citation-46	1980		The Theory and Practice of Transforming Call-by-Need into Call-by-Value	International Symposium on Programming	proceedings-article
47	citation-47	2003		Haskell 98 Language and Libraries: The Revised Report	Cambridge University Press	book
48	citation-48	1985		Narrowing as the Operational Semantics of Functional Languages	IEEE Symposium on Logic Programming	proceedings-article
49	citation-49	1972		Definitional Interpreters for Higher-Order Programming Languages	ACM Annual Conference	proceedings-article
50	citation-50	2008		Smallcheck and Lazy Smallcheck: Automatic Exhaustive Testing for Small Values	Haskell 2008	proceedings-article
51	citation-51	1974		Automated Theorem-Proving for Theories with Simplifiers, Commutativity, and Associativity	Journal of the ACM	article
52	citation-52	1982		Higher-Order Extensions to Prolog: Are They Needed?	Machine Intelligence 10	book-chapter
53	citation-53	1997		Denotational Abstract Interpretation of Functional Logic Programs	SAS 1997	proceedings-article
