rank	source_id	year	doi	title	venue	type
1	AIN00	2000		On unfolding unbounded Petri Nets	Computer Aided Verification	conference paper
2	CKV95	1995		Petri Net based reasoning for the diagnosis of Dynamic Discrete Event Systems	6th International Fuzzy Systems Association World Congress	conference paper
3	DRvB04	2004		Covering sharing trees: A compact data structure for parameterized verification	International Journal on Software Tools for Technology Transfer	journal article
4	Eng91	1991		Branching processes of Petri Nets	Acta Informatica	journal article
5	ERV96	1996		An improvement of McMillan's unfolding algorithm	Lecture Notes in Computer Science 1055	conference paper
6	Esp94	1994		Model checking using net unfoldings	Science of Computer Programming	journal article
7	FBHJ05	2005		Distributed monitoring of concurrent and asynchronous systems	Discrete Event Dynamic Systems	journal article
8	FRSB02	2002		Monotonic extensions of Petri Nets: forward and backward search revisited	Electronic Notes in Theoretical Computer Science	journal article
9	GCS05	2005		State estimation of lambda-free labeled Petri Nets with contact-free nondeterministic transitions	Discrete Event Dynamic Systems	journal article
10	GL03	2003		Distributed diagnosis for DES using Petri Nets	Applications and Theory of Petri Nets	conference paper
11	GS02	2002		Observability of Place/Transition Nets	IEEE Transactions on Automatic Control	journal article
12	GW93	1993		Using partial orders for efficient verification of deadlock freedom and safety properties	Formal Methods in System Design	journal article
13	JB04	2004		Contextual analysis of Petri Nets for distributed applications	MTNS 2004	conference paper
14	JB05	2005		Distributed diagnosis for Petri Net models with unobservable interactions via common places	44th IEEE Conference on Decision and Control	conference paper
15	JBB			Distributed on-line monitoring for networks of Petri Nets, with unobservable interactions via common places	in preparation	unpublished
16	Jir06	2006		Fault diagnosis for large Petri nets	Ghent University	dissertation
17	KM69	1969		Parallel Program Schemata	Journal of Computer and System Sciences	journal article
18	Kos82	1982		Decidability of reachability in vector addition systems	14th Annual ACM Symposium on Theory of Computing	conference paper
19	LA94	1994		B-W analysis: a backward reachability analysis for diagnostic problem solving suitable to parallel implementation	15th International Conference on Application and Theory of Petri Nets	conference paper
20	Lip76	1976		The reachability problem requires exponential space	Yale University Department of Computer Science Research Report 62	technical report
21	LZ02	2002		Diagnosis of Discrete Event Systems from uncertain temporal observations	Artificial Intelligence	journal article
22	MBL00	2000		Optimal Control of Discrete Event Systems under Partial Observation	INRIA Rennes	technical report
23	McI98	1998		Explanatory diagnosis: Conjecturing actions to explain observation	6th International Conference on Principles of Knowledge Representation and Reasoning	conference paper
24	McM92	1992		Using unfoldings to avoid the state space explosion problem in verification of asynchronous circuits	4th International Workshop on Computer Aided Verification	conference paper
25	Mur89	1989		Petri Nets: Properties, Analysis and Applications	Proceedings of the IEEE	journal article
26	NAH98	1998		Verification of large state/event systems using compositionality and dependency analysis	Tools and Algorithms for the Construction and Analysis of Systems	conference paper
27	OW90	1990		Observability of Discrete Event Systems	IEEE Transactions on Automatic Control	journal article
28	SJ94	1994		Fault detection/monitoring using Timed Petri Nets	IEEE Transactions on Systems, Man, and Cybernetics	journal article
29	SSL95	1995		Diagnosability of Discrete Event Systems	IEEE Transactions on Automatic Control	journal article
30	Val90	1990		Stubborn sets for reduced state space generation	Advances in Petri Nets	book chapter
