rank	source_id	year	doi	title	venue	type
1	citation-1	2002	-	The Explicit Linear Quadratic Regulator for Constrained Systems	Automatica	journal-article
2	citation-2	2016	-	A Comparison of Four Variants of Event-Triggered Networked MPC	IEEE Multi-Conference on Systems and Control	proceedings-article
3	citation-3	2017	-	Optimal Control of a Laboratory Binary Distillation Column via Regionless Explicit MPC	Computers & Chemical Engineering	journal-article
4	citation-4	2011	-	Novel Event-Triggered Strategies for Model Predictive Controllers	IEEE Conference on Decision and Control and European Control Conference	proceedings-article
5	citation-5	2013	-	An Improved Algorithm for Combinatorial Multi-Parametric Quadratic Programming	Automatica	journal-article
6	citation-6	2008	10.1016/j.automatica.2007.11.027	Optimal Complexity Reduction of Polyhedral Piecewise Affine Systems	Automatica	journal-article
7	citation-7	1991	-	Linear Systems with State and Control Constraints: The Theory and Application of Maximal Output Admissible Sets	IEEE Transactions on Automatic Control	journal-article
8	citation-8	2011	-	A Novel Approach to Multiparametric Quadratic Programming	Automatica	journal-article
9	citation-9	2015	-	Enumeration-Based Approach to Solving Parametric Linear Complementarity Problems	Automatica	journal-article
10	citation-10	2013	-	Accelerating Online MPC with Partial Explicit Information and Linear Storage Complexity in the Number of Constraints	European Control Conference	proceedings-article
11	citation-11	2015	-	Accelerating Tube-Based Model Predictive Control by Constraint Removal	IEEE Conference on Decision and Control	proceedings-article
12	citation-12	2015	-	Optimal and Suboptimal Event-Triggering in Linear Model Predictive Control	European Control Conference	proceedings-article
13	citation-13	2017	-	Regional MPC with Active Set Updates	IFAC-PapersOnLine	journal-article
14	citation-14	2018	-	Regional MPC with Nonlinearly Bounded Regions of Validity	European Control Conference	proceedings-article
15	citation-15	2012	10.1109/TAC.2011.2179428	Clipping-Based Complexity Reduction in Explicit MPC	IEEE Transactions on Automatic Control	journal-article
16	citation-16	2013	10.1016/j.automatica.2013.02.018	Complexity Reduction of Explicit Model Predictive Control via Separation	Automatica	journal-article
17	citation-17	2013	-	Event-Triggered Model Predictive Control of Discrete-Time Linear Systems Subject to Disturbances	European Control Conference	proceedings-article
18	citation-18	2014	-	Event-Triggered Robust Model Predictive Control of Continuous-Time Nonlinear Systems	Automatica	journal-article
19	citation-19	2019	-	On the Structure of the Set of Active Sets in Constrained Linear Quadratic Regulation	Automatica	journal-article
20	citation-20	2017	-	Explicit Model Predictive Control: A Connected-Graph Approach	Automatica	journal-article
21	citation-21	2013	-	Polygonic Representation of Explicit Model Predictive Control	IEEE Conference on Decision and Control	proceedings-article
22	citation-22	2003	-	Characterisation of Receding Horizon Control for Constrained Linear Systems	Asian Journal of Control	journal-article
23	citation-23	2001	-	An Algorithm for Multi-Parametric Quadratic Programming and Explicit MPC Solutions	IEEE Conference on Decision and Control	proceedings-article
