rank	source_id	year	doi	title	venue	type
1	3	1999		Translation of conditional compilation	Nordic Journal of Computing	reference
2	2	0		Gambit Web Page	Gambit Web Page	reference
3	10.1109/52.754052	1999	10.1109/52.754052	Harissa: A hybrid approach to Java execution	IEEE Software	journal-article
4	10.1049/sej.1988.0029	1988	10.1049/sej.1988.0029	Symbolic execution systems—a review	Software Engineering Journal	journal-article
5	10.1109/ICSE.1994.296765	1994	10.1109/ICSE.1994.296765	On the inference of configuration structures from source code	Proceedings of 16th International Conference on Software Engineering	proceedings-article
6	10.1145/360248.360252	1976	10.1145/360248.360252	Symbolic execution and program testing	Communications of the ACM	journal-article
7	10.1145/290229.290234	1998	10.1145/290229.290234	Revised 5 report on the algorithmic language Scheme	ACM SIGPLAN Notices	journal-article
8	4	2000		C/C++ conditional compilation analysis using symbolic execution	Proceedings of the International Conference on Software Maintenance (ICSM'00)	reference
9	10.1109/WPC.1994.341255	1994	10.1109/WPC.1994.341255	Understanding code containing preprocessor constructs	Proceedings 1994 IEEE 3rd Workshop on Program Comprehension- WPC '94	proceedings-article
10	10.1109/WCRE.2001.957805	2001	10.1109/WCRE.2001.957805	Folding: an approach to enable program understanding of preprocessed languages	Proceedings Eighth Working Conference on Reverse Engineering	proceedings-article
11	11	1992		Ifdef considered harmful, or portability experience with c news	Summer '92 USENIX	reference
