rank	source_id	year	doi	title	venue	type
1	10.1145/2408776.2408795	2013	10.1145/2408776.2408795	Symbolic Execution for Software Testing	ACM Computing Surveys	journal article
2	10.1109/ICSE-SEIP66354.2025.00018	2025	10.1109/ICSE-SEIP66354.2025.00018	ArkAnalyzer: The Static Analysis Framework for OpenHarmony	ICSE-SEIP	conference paper
3	citation-3	2024		ECMAScript 2024 Language Specification	Ecma International	standard
4	10.1145/3290379	2019	10.1145/3290379	JaVerT 2.0: Compositional Symbolic Execution for JavaScript	Proceedings of the ACM on Programming Languages	journal article
5	10.1145/2635868.2635904	2014	10.1145/2635868.2635904	JSAI: A Static Analysis Platform for JavaScript	FSE	conference paper
6	10.1145/360248.360252	1976	10.1145/360248.360252	Symbolic Execution and Program Testing	Communications of the ACM	journal article
7	citation-7	2023		KSMT: Kotlin/Java API for various SMT solvers	KSMT	software
8	10.1145/2635868.2635913	2014	10.1145/2635868.2635913	SymJS: Automatic Symbolic Testing of JavaScript Web Applications	FSE	conference paper
9	10.1109/SANER56733.2023.00031	2023	10.1109/SANER56733.2023.00031	In-Situ Concolic Testing of JavaScript	SANER	conference paper
10	10.1145/3092282.3092295	2017	10.1145/3092282.3092295	ExpoSE: Practical Symbolic Execution of Standalone JavaScript	SPIN	conference paper
11	10.1145/3314221.3314645	2019	10.1145/3314221.3314645	Sound Regular Expression Semantics for Dynamic Symbolic Execution of JavaScript	PLDI	conference paper
12	10.5281/zenodo.17659275	2025	10.5281/zenodo.17659275	Path-Minimal Objects in ArkTS Symbolic Execution: Artifact	Zenodo	software
13	10.1145/3236950.3236956	2018	10.1145/3236950.3236956	Symbolic Execution for JavaScript	PPDP	conference paper
14	10.1109/SP.2010.38	2010	10.1109/SP.2010.38	A Symbolic Execution Framework for JavaScript	IEEE Symposium on Security and Privacy	conference paper
15	10.1145/2491411.2491447	2013	10.1145/2491411.2491447	Jalangi: A Selective Record-Replay and Dynamic Analysis Framework for JavaScript	ESEC/FSE	conference paper
16	citation-16	2023		USVM: Universal Symbolic Virtual Machine	GitHub	software
