rank	source_id	year	doi	title	venue	type
1	citation-1	2004		An Algorithm to Verify Formulas by Means of (0,S,=)-BDDs	CSICC 2004	proceedings-article
2	citation-2	2005		Zero, Successor and Equality in BDDs	Annals of Pure and Applied Logic	article
3	10.3233/FAIA201017	2021	10.3233/FAIA201017	Satisfiability Modulo Theories	Handbook of Satisfiability	book-chapter
4	citation-4	2016		SDDs Are Exponentially More Succinct than OBDDs	AAAI 2016	proceedings-article
5	citation-5	2011		On the Completeness of First-Order Knowledge Compilation for Lifted Probabilistic Inference	NeurIPS 2011	proceedings-article
6	10.1109/TC.1986.1676819	1986	10.1109/TC.1986.1676819	Graph-Based Algorithms for Boolean Function Manipulation	IEEE Transactions on Computers	article
7	citation-7	2002		Boolean Satisfiability with Transitivity Constraints	ACM Transactions on Computational Logic	article
8	citation-8	1992		Symbolic Model Checking: 10^20 States and Beyond	Information and Computation	article
9	citation-9	2007		Computing Predicate Abstractions by Integrating BDDs and SMT Solvers	FMCAD 2007	proceedings-article
10	citation-10	2009		Decision Diagrams for Linear Arithmetic	FMCAD 2009	proceedings-article
11	citation-11	1997		Combining Constraint Solving and Symbolic Model Checking for a Class of Systems with Non-Linear Constraints	CAV 1997	proceedings-article
12	citation-12	2008		On Probabilistic Inference by Weighted Model Counting	Artificial Intelligence	article
13	citation-13	2010		Tighter Integration of BDDs and SMT for Predicate Abstraction	DATE 2010	proceedings-article
14	citation-14	2011		Computing Small Unsatisfiable Cores in Satisfiability Modulo Theories	Journal of Artificial Intelligence Research	article
15	citation-15	2013		A Modular Approach to MaxSAT Modulo Theories	SAT 2013	proceedings-article
16	10.1007/978-3-642-36742-7_7	2013	10.1007/978-3-642-36742-7_7	The MathSAT5 SMT Solver	TACAS 2013	proceedings-article
17	citation-17	2011		SDD: A New Canonical Representation of Propositional Knowledge Bases	IJCAI 2011	proceedings-article
18	10.1613/jair.989	2002	10.1613/jair.989	A Knowledge Compilation Map	Journal of Artificial Intelligence Research	article
19	citation-19	2003		Light-Weight Theorem Proving for Debugging and Verifying Units of Code	SEFM 2003	proceedings-article
20	citation-20	2023		Top-Down Knowledge Compilation for Counting Modulo Theories	Counting and Sampling Workshop at SAT 2023	workshop-paper
21	citation-21	2019		Exact and Approximate Weighted Model Integration with Probability Density Functions Using Knowledge Compilation	AAAI 2019	proceedings-article
22	citation-22	2011		Inference in Probabilistic Logic Programs Using Weighted CNF's	UAI 2011	proceedings-article
23	citation-23	2002		Using BDDs with Combinations of Theories	LPAR 2002	proceedings-article
24	citation-24	2000		Equational Binary Decision Diagrams	LPAR 2000	proceedings-article
25	citation-25	2015		PySMT: A Solver-Agnostic Library for Fast Prototyping of SMT-Based Algorithms	SMT Workshop 2015	workshop-paper
26	citation-26	1998		BDD Based Procedures for a Theory of Equality with Uninterpreted Functions	CAV 1998	proceedings-article
27	citation-27	2003		BDD Based Procedures for a Theory of Equality with Uninterpreted Functions	Formal Methods in System Design	article
28	citation-28	2006		Combining Knowledge Compilation and Search for Conformant Probabilistic Planning	ICAPS 2006	proceedings-article
29	citation-29	2020		How to Exploit Structure While Solving Weighted Model Integration Problems	UAI 2020	proceedings-article
30	10.1007/11817963_39	2006	10.1007/11817963_39	SMT Techniques for Fast Predicate Abstraction	CAV 2006	proceedings-article
31	10.5281/zenodo.13133096	2024	10.5281/zenodo.13133096	Canonical Decision Diagrams Modulo Theories - Benchmarking	Zenodo	dataset
32	10.5281/zenodo.13149412	2024	10.5281/zenodo.13149412	Canonical Decision Diagrams Modulo Theories - Code	Zenodo	software
33	citation-33	1999		Difference Decision Diagrams	CSL 1999	proceedings-article
34	10.24963/ijcai.2017/100	2017	10.24963/ijcai.2017/100	Efficient Weighted Model Integration via SMT-Based Predicate Abstraction	IJCAI 2017	proceedings-article
35	10.1016/j.artint.2019.04.003	2019	10.1016/j.artint.2019.04.003	Advanced SMT Techniques for Weighted Model Integration	Artificial Intelligence	article
36	citation-36	2015		Model Counting Modulo Theories	Queen Mary University of London	thesis
37	citation-37	2009		CUDD: CU Decision Diagram Package Release 3.0.0	CUDD	software
38	citation-38	2022		SMT-Based Weighted Model Integration with Structure Awareness	UAI 2022	proceedings-article
39	10.1016/j.artint.2024.104067	2024	10.1016/j.artint.2024.104067	Enhancing SMT-Based Weighted Model Integration by Structure Awareness	Artificial Intelligence	article
40	10.1609/aaai.v38i8.28652	2024	10.1609/aaai.v38i8.28652	Disjoint Partial Enumeration Without Blocking Clauses	AAAI 2024	proceedings-article
41	citation-41	2005		A BDD-Representation for the Logic of Equality and Uninterpreted Functions	MFCS 2005	proceedings-article
42	citation-42	2013		Lifted Inference and Learning in Statistical Relational Models	KU Leuven	thesis
