rank	source_id	year	doi	title	venue	type
1	10.1007/s00224-013-9447-2	2013	10.1007/s00224-013-9447-2	Compact DSOP and Partial DSOP Forms	Theory of Computing Systems	article
2	10.5555/646483.691738	1999	10.5555/646483.691738	Symbolic Model Checking Without BDDs	TACAS 1999	proceedings-article
3	citation-3	2017		An Abstract Dual Propositional Model Counter	YSIP 2017	workshop-paper
4	10.1007/978-3-642-22110-1_17	2011	10.1007/978-3-642-22110-1_17	Existential Quantification as Incremental SAT	CAV 2011	proceedings-article
5	10.1145/368273.368557	1962	10.1145/368273.368557	A Machine Program for Theorem-Proving	Communications of the ACM	article
6	10.1145/321033.321034	1960	10.1145/321033.321034	A Computing Procedure for Quantification Theory	Journal of the ACM	article
7	citation-7	2016		Exploiting the Enumeration of All Feature Model Configurations: A New Perspective with Distributed Computing	SPLC 2016	proceedings-article
8	citation-8	2007		clasp: A Conflict-Driven Answer Set Solver	LPNMR 2007	proceedings-article
9	10.1007/978-3-540-30494-4_20	2004	10.1007/978-3-540-30494-4_20	Memory Efficient All-Solutions SAT Solver and Its Application for Reachability Analysis	FMCAD 2004	proceedings-article
10	10.1007/3-540-40922-X_22	2000	10.1007/3-540-40922-X_22	SAT-Based Image Computation with Application in Reachability Analysis	FMCAD 2000	proceedings-article
11	citation-11	2013		SAT-Based Analysis and Quantification of Information Flow in Programs	QEST 2013	proceedings-article
12	10.1609/aaai.v33i01.33011536	2019	10.1609/aaai.v33i01.33011536	A Recursive Algorithm for Projected Model Counting	AAAI 2019	proceedings-article
13	10.1007/11817963_39	2006	10.1007/11817963_39	SMT Techniques for Fast Predicate Abstraction	CAV 2006	proceedings-article
14	10.1109/DATE.2004.1268860	2004	10.1109/DATE.2004.1268860	A Novel SAT All-Solutions Solver for Efficient Preimage Computation	DATE 2004	proceedings-article
15	citation-15	2014		Incremental QBF Solving	CP 2014	proceedings-article
16	citation-16	2018		Computing with SAT Oracles: Past, Present and Future	CiE 2018	proceedings-article
17	10.1109/12.769433	1999	10.1109/12.769433	GRASP: A Search Algorithm for Propositional Satisfiability	IEEE Transactions on Computers	article
18	10.1007/3-540-45657-0_19	2002	10.1007/3-540-45657-0_19	Applying SAT Methods in Unbounded Symbolic Model Checking	CAV 2002	proceedings-article
19	10.1109/ICTAI.2018.00111	2018	10.1109/ICTAI.2018.00111	Dualizing Projected Model Counting	ICTAI 2018	proceedings-article
20	10.1007/978-3-030-24258-9_18	2019	10.1007/978-3-030-24258-9_18	Backing Backtracking	SAT 2019	proceedings-article
21	10.29007/vgg4	2019	10.29007/vgg4	Combining Conflict-Driven Clause Learning and Chronological Backtracking for Propositional Model Counting	GCAI 2019	proceedings-article
22	10.24963/ijcai.2017/100	2017	10.24963/ijcai.2017/100	Efficient Weighted Model Integration via SMT-Based Predicate Abstraction	IJCAI 2017	proceedings-article
23	10.1016/j.artint.2019.04.003	2019	10.1016/j.artint.2019.04.003	Advanced SMT Techniques for Weighted Model Integration	Artificial Intelligence	article
24	10.1145/378239.379017	2001	10.1145/378239.379017	Chaff: Engineering an Efficient SAT Solver	DAC 2001	proceedings-article
25	10.1007/978-3-319-94144-8_7	2018	10.1007/978-3-319-94144-8_7	Chronological Backtracking	SAT 2018	proceedings-article
26	citation-26	2018		An Exhaustive DPLL Algorithm for Model Counting	Journal of Artificial Intelligence Research	article
27	citation-27	2009		Backdoor Sets of Quantified Boolean Formulas	Journal of Automated Reasoning	article
28	10.48550/arXiv.2003.04225	2020	10.48550/arXiv.2003.04225	Are You Satisfied by This Partial Assignment?	arXiv	preprint
29	10.3233/SAT190034	2007	10.3233/SAT190034	Lazy Satisfiability Modulo Theories	Journal on Satisfiability, Boolean Modeling and Computation	article
30	citation-30	2003		Efficient Preimage Computation Using a Novel Success-Driven ATPG	DATE 2003	proceedings-article
31	citation-31	2000		Tuning SAT Checkers for Bounded Model Checking	CAV 2000	proceedings-article
32	10.1109/DDECS.2018.00028	2018	10.1109/DDECS.2018.00028	Augmenting All Solution SAT Solving for Circuits with Structural Information	DDECS 2018	proceedings-article
33	10.1145/2975585	2016	10.1145/2975585	Implementing Efficient All Solutions SAT Solvers	ACM Journal of Experimental Algorithmics	article
34	10.1007/978-3-642-41010-9_4	2013	10.1007/978-3-642-41010-9_4	Boolean Quantifier Elimination for Automotive Configuration - A Case Study	FMICS 2013	proceedings-article
