rank	source_id	year	doi	title	venue	type
1	citation-1	2015		#∃SAT: Projected Model Counting	SAT 2015	proceedings-article
2	citation-2	2003		DPLL with Caching: A New Algorithm for #SAT and Bayesian Inference	Electronic Colloquium on Computational Complexity	report
3	citation-3	2000		Counting Models Using Connected Components	AAAI/IAAI 2000	proceedings-article
4	10.1007/s00224-013-9447-2	2013	10.1007/s00224-013-9447-2	Compact DSOP and Partial DSOP Forms	Theory of Computing Systems	article
5	citation-5	1999		Symbolic Model Checking without BDDs	TACAS 1999	proceedings-article
6	citation-6	2017		An Abstract Dual Propositional Model Counter	YSIP 2017	proceedings-article
7	citation-7	1999		The Good Old Davis-Putnam Procedure Helps Counting Models	Journal of Artificial Intelligence Research	article
8	citation-8	2018		A Verified SAT Solver Framework with Learn, Forget, Restart, and Incrementality	Journal of Automated Reasoning	article
9	10.1007/978-3-642-22110-1_17	2011	10.1007/978-3-642-22110-1_17	Existential Quantification as Incremental SAT	CAV 2011	proceedings-article
10	citation-10	1997		A Survey on Knowledge Compilation	AI Communications	article
11	citation-11	2008		On Probabilistic Inference by Weighted Model Counting	Artificial Intelligence	article
12	citation-12	2002		A Knowledge Compilation Map	Journal of Artificial Intelligence Research	article
13	10.1145/368273.368557	1962	10.1145/368273.368557	A Machine Program for Theorem-Proving	Communications of the ACM	article
14	10.1145/321033.321034	1960	10.1145/321033.321034	A Computing Procedure for Quantification Theory	Journal of the ACM	article
15	citation-15	2020		DPMC: Weighted Model Counting by Dynamic Programming on Project-Join Trees	CP 2020	proceedings-article
16	citation-16	2003		Temporal Induction by Incremental SAT Solving	Electronic Notes in Theoretical Computer Science	article
17	citation-17	2018		Weighted Model Counting on the GPU by Exploiting Small Treewidth	ESA 2018	proceedings-article
18	citation-18	2015		Formalisation of Ground Inference Systems in a Proof Assistant	École normale supérieure de Rennes	thesis
19	10.4230/LIPIcs.SAT.2024.13	2024	10.4230/LIPIcs.SAT.2024.13	Entailing Generalization Boosts Enumeration	SAT 2024	proceedings-article
20	10.1007/978-3-642-01929-6_7	2009	10.1007/978-3-642-01929-6_7	Solution Enumeration for Projected Boolean Search Problems	CPAIOR 2009	proceedings-article
21	10.1007/978-3-540-30494-4_20	2004	10.1007/978-3-540-30494-4_20	Memory Efficient All-Solutions SAT Solver and Its Application for Reachability Analysis	FMCAD 2004	proceedings-article
22	10.1007/3-540-40922-X_22	2000	10.1007/3-540-40922-X_22	SAT-Based Image Computation with Application in Reachability Analysis	FMCAD 2000	proceedings-article
23	citation-23	1993		Solving the Incremental Satisfiability Problem	Journal of Logic Programming	article
