rank	source_id	year	doi	title	venue	type
1	citation-1	2001	10.1007/s101070100233	A Polynomial Case of Unconstrained Zero-One Quadratic Optimization	Mathematical Programming	journal-article
2	citation-2	1996	10.1016/0166-218X(95)00026-N	Reverse Search for Enumeration	Discrete Applied Mathematics	journal-article
3	citation-3	1943	10.2307/2303424	Partition of Space	American Mathematical Monthly	journal-article
4	citation-4	1998	10.1016/S0925-7721(98)00021-2	The Vertex Set of a 01-Polytope Is Strongly P-Enumerable	Computational Geometry	journal-article
5	citation-5	1986	10.1137/0215024	Constructing Arrangements of Lines and Hyperplanes with Applications	SIAM Journal on Computing	journal-article
6	citation-6	2005	10.1016/j.ejor.2003.04.011	Solving the Fixed Rank Convex Quadratic Maximization in Binary Variables by a Parallel Zonotope Construction Algorithm	European Journal of Operational Research	journal-article
7	citation-7	2014	-	Gurobi Optimizer Reference Manual	Gurobi Optimization	manual
8	citation-8	1995	-	Enumerating Extreme Points in Higher Dimensions	technical report	technical-report
9	citation-9	1998	-	Output-Sensitive Cell Enumeration in Hyperplane Arrangements	SWAT	proceedings-article
10	citation-10	1975	10.1090/memo/0154	Facing Up to Arrangements: Face-Count Formulas for Partitions of Space by Hyperplanes	Memoirs of the American Mathematical Society	book
