rank	source_id	year	doi	title	venue	type
1	citation-1	1994	10.1145/174675.177907	A Needed Narrowing Strategy	POPL 1994	proceedings-article
2	citation-2	2007	-	Overloaded Booleans	augustss.blogspot.com	web
3	citation-3	1998	-	Introduction to Functional Programming Using Haskell	Prentice-Hall	book
4	citation-4	2008	10.1007/978-3-540-78969-7_23	EasyCheck – Test Data for Free	FLOPS 2008	proceedings-article
5	citation-5	2002	10.1007/978-3-540-44833-4_3	Testing and Tracing Lazy Functional Programs Using QuickCheck and Hat	AFP 2002	book-chapter
6	citation-6	2000	10.1145/351240.351266	QuickCheck: A Lightweight Tool for Random Testing of Haskell Programs	ICFP 2000	proceedings-article
7	citation-7	2007	10.1145/1291201.1291203	Haskell Program Coverage	Haskell 2007	proceedings-article
8	citation-8	2006	-	Curry: An Integrated Functional Logic Language	Curry language report	report
9	citation-9	2002	10.1017/S0956796801004300	The Countdown Problem	Journal of Functional Programming	article
10	citation-10	2006	-	Software Abstractions: Logic, Language and Analysis	MIT Press	book
11	citation-11	2002	10.1007/978-3-540-44854-3_6	Gast: Generic Automated Software Testing	IFL 2002	proceedings-article
12	citation-12	2007	-	Property Directed Generation of First-Order Test Data	TFP 2007	proceedings-article
13	citation-13	1999	-	Programming in an Integrated Functional and Logic Language	Journal of Functional and Logic Programming	article
14	citation-14	2003	-	The Münster Curry Compiler	project website	software
15	citation-15	2007	-	Derive – Project Home Page	project website	software
16	citation-16	2005	-	A Static Checker for Safe Pattern Matching in Haskell	TFP 2005	proceedings-article
17	citation-17	2007	10.1007/978-3-540-85373-2_8	The Reduceron: Widening the von Neumann Bottleneck for Graph Reduction Using an FPGA	IFL 2007	proceedings-article
18	citation-18	2007	10.1109/SCAM.2007.30	Finding Inputs that Reach a Target Expression	SCAM 2007	proceedings-article
19	citation-19	1999	10.1017/S0956796899003494	Red-Black Trees in a Functional Setting	Journal of Functional Programming	article
20	citation-20	1987	-	The Implementation of Functional Programming Languages	Prentice-Hall	book
21	citation-21	1999	10.1145/301618.301637	A Semantics for Imprecise Exceptions	PLDI 1999	proceedings-article
22	citation-22	1979	10.1002/spe.4380090105	A New Implementation Technique for Applicative Languages	Software: Practice and Experience	article
