rank	source_id	year	doi	title	venue	type
1	citation-1	1999	-	Neural Network Learning: Theoretical Foundations	-	reference
2	citation-2	2018	-	Understanding Deep Neural Networks with Rectified Linear Units	ICLR	reference
3	citation-3	1979	-	Disjunctive Programming	Annals of Discrete Mathematics	reference
4	10.1007/BF01581273	1993	10.1007/BF01581273	A Lift-and-Project Cutting Plane Algorithm for Mixed 0–1 Programs	Mathematical Programming	journal-article
5	10.1109/TNNLS.2013.2293637	2014	10.1109/TNNLS.2013.2293637	On the Complexity of Neural Network Classifiers: A Comparison Between Shallow and Deep Architectures	IEEE Transactions on Neural Networks and Learning Systems	journal-article
6	10.1287/INTE.20.5.61	1990	10.1287/INTE.20.5.61	Cutting Big M Down to Size	Interfaces	journal-article
7	citation-7	2017	-	Maximum Resilience of Artificial Neural Networks	ATVA	reference
8	citation-8	2012	-	Multi Column Deep Neural Network for Traffic Sign Classification	Neural Networks	reference
9	10.1007/BF02551274	1989	10.1007/BF02551274	Approximation by Superpositions of a Sigmoidal Function	Mathematics of Control, Signals and Systems	journal-article
10	10.1007/978-3-540-72792-7_22	2007	10.1007/978-3-540-72792-7_22	Generating Multiple Solutions for Mixed Integer Programming Problems	IPCO	book-chapter
11	citation-11	2011	-	Shallow vs. Deep Sum-Product Networks	NIPS	reference
12	citation-12	2016	-	The Power of Depth for Feedforward Neural Networks	Conference on Learning Theory	reference
13	citation-13	1826	-	Solution d'une Question Particulière du Calcul des Inégalités	Nouveau Bulletin des Sciences par la Société Philomatique de Paris	reference
14	citation-14	2013	-	Maxout Networks	ICML	reference
15	10.1109/CVPR.2016.90	2016	10.1109/CVPR.2016.90	Deep Residual Learning for Image Recognition	CVPR	proceedings-article
16	citation-16	2012	-	Deep Neural Networks for Acoustic Modeling in Speech Recognition	IEEE Signal Processing Magazine	reference
17	10.1016/0166-218X(87)90026-6	1987	10.1016/0166-218X(87)90026-6	Representability in Mixed Integer Programming, I: Characterization Results	Discrete Applied Mathematics	journal-article
18	citation-18	2012	-	Imagenet Classification with Deep Convolutional Neural Networks	NIPS	reference
19	10.1109/5.726791	1998	10.1109/5.726791	Gradient-Based Learning Applied to Document Recognition	Proceedings of the IEEE	journal-article
20	10.1007/978-1-4615-2696-4_4	1994	10.1007/978-1-4615-2696-4_4	A Comparison of the Computational Power of Sigmoid and Boolean Threshold Circuits	Theoretical Advances in Neural Computation and Learning	book-chapter
21	citation-21	2016	-	Learning Real and Boolean Functions: When Is Deep Better Than Shallow	CoRR	reference
22	citation-22	2017	-	Notes on the Number of Linear Regions of Deep Neural Networks	SampTA	reference
23	citation-23	2014	-	On the Number of Linear Regions of Deep Neural Networks	NIPS	reference
24	citation-24	2016	-	Expressiveness of Rectifier Networks	ICML	reference
25	citation-25	2014	-	On the Number of Response Regions of Deep Feedforward Networks with Piecewise Linear Activations	ICLR	reference
26	citation-26	2017	-	On the Expressive Power of Deep Neural Networks	ICML	reference
27	citation-27	1730	-	Methodus Differentialis sive Tractatus de Summatione et Interpolatione Serierum Infinitarum	-	book
28	10.1109/CVPR.2015.7298594	2015	10.1109/CVPR.2015.7298594	Going Deeper with Convolutions	CVPR	proceedings-article
29	citation-29	2015	-	Representation Benefits of Deep Feedforward Networks	CoRR	reference
30	10.1090/MEMO/0154	1975	10.1090/MEMO/0154	Facing Up to Arrangements: Face-Count Formulas for Partitions of Space by Hyperplanes	American Mathematical Society	book
