rank	source_id	year	doi	title	venue	type
1	https://doi.org/10.1007/978-3-319-49812-6	2016	https://doi.org/10.1007/978-3-319-49812-6	Deductive Software Verification — The KeY Book — From Theory to Practice	Lecture Notes in Computer Science	book
2	https://doi.org/10.1007/978-3-319-02654-1_16	2013	https://doi.org/10.1007/978-3-319-02654-1_16	A generic framework for symbolic execution	SLE	conference-paper
3	https://doi.org/10.4230/LIPIcs.ECOOP.2024.3	2024	https://doi.org/10.4230/LIPIcs.ECOOP.2024.3	A dynamic logic for symbolic execution for the smart contract programming language Michelson	ECOOP	conference-paper
4	citation-4	1998		Term Rewriting and All That	Cambridge University Press	book
5	https://doi.org/10.1007/s00165-020-00527-y	2021	https://doi.org/10.1007/s00165-020-00527-y	Symbolic execution formally explained	Formal Aspects of Computing	article
6	citation-6	2008		KLEE: Unassisted and automatic generation of high-coverage tests for complex systems programs	OSDI	conference-paper
7	https://doi.org/10.1145/1180405.1180445	2006	https://doi.org/10.1145/1180405.1180445	EXE: Automatically generating inputs of death	CCS	conference-paper
8	https://doi.org/10.1145/1985793.1985995	2011	https://doi.org/10.1145/1985793.1985995	Symbolic execution for software testing in practice: Preliminary assessment	ICSE	conference-paper
9	https://doi.org/10.1145/2408776.2408795	2013	https://doi.org/10.1145/2408776.2408795	Symbolic execution for software testing: Three decades later	Communications of the ACM	article
10	https://doi.org/10.5281/zenodo.7313584	2022	https://doi.org/10.5281/zenodo.7313584	The Coq proof assistant	Zenodo	software
11	https://doi.org/10.1145/3611643.3616290	2023	https://doi.org/10.1145/3611643.3616290	Engineering a formally verified automated bug finder	ESEC/FSE	conference-paper
12	https://doi.org/10.1093/logcom/2.4.511	1992	https://doi.org/10.1093/logcom/2.4.511	Abstract Interpretation Frameworks	Journal of Logic and Computation	article
13	citation-13	1997		A Discipline of Programming	Prentice Hall	book
14	https://doi.org/10.1145/3648439	2024	https://doi.org/10.1145/3648439	Locally abstract, globally concrete semantics of concurrent programming languages	ACM Transactions on Programming Languages and Systems	article
15	https://doi.org/10.1145/1065010.1065036	2005	https://doi.org/10.1145/1065010.1065036	DART: Directed automated random testing	PLDI	conference-paper
16	https://doi.org/10.1007/978-1-84882-912-1_5	2010	https://doi.org/10.1007/978-1-84882-912-1_5	Forward with Hoare	Reflections on the Work of C. A. R. Hoare	book-chapter
17	https://doi.org/10.1007/978-3-319-21690-4_16	2015	https://doi.org/10.1007/978-3-319-21690-4_16	OpenJDK's Java.utils.collection.sort() is broken: The good, the bad and the worst case	CAV	conference-paper
18	citation-18	2000		Dynamic Logic	MIT Press	book
19	https://doi.org/10.1007/978-3-319-52228-9_2	2016	https://doi.org/10.1007/978-3-319-52228-9_2	A new roadmap for linking theories of programming	UTP	conference-paper
20	citation-20	1998		Unifying theories of programming	RelMiCS	conference-paper
21	https://doi.org/10.1007/s10009-018-0490-9	2019	https://doi.org/10.1007/s10009-018-0490-9	The symbolic execution debugger (SED): A platform for interactive symbolic execution, debugging, verification and more	International Journal on Software Tools for Technology Transfer	article
22	https://doi.org/10.1145/363235.363259	1969	https://doi.org/10.1145/363235.363259	An axiomatic basis for computer programming	Communications of the ACM	article
23	citation-23	1997		A tutorial on (co)algebras and (co)induction	Bulletin of the EATCS	article
24	https://doi.org/10.1007/978-3-031-75783-9_13	2024	https://doi.org/10.1007/978-3-031-75783-9_13	Towards a proof system for probabilistic dynamic logic	Principles of Verification	book-chapter
25	https://doi.org/10.4230/LIPIcs.CONCUR.2023.9	2023	https://doi.org/10.4230/LIPIcs.CONCUR.2023.9	Compositional correctness and completeness for symbolic partial order reduction	CONCUR	conference-paper
26	https://doi.org/10.1016/0167-6423(91)90008-L	1991	https://doi.org/10.1016/0167-6423(91)90008-L	Symbolic execution: A semantic approach	Science of Computer Programming	article
27	https://doi.org/10.1016/j.jsc.2016.07.012	2017	https://doi.org/10.1016/j.jsc.2016.07.012	A generic framework for symbolic execution: A coinductive approach	Journal of Symbolic Computation	article
28	citation-28	2013		Categories for the Working Mathematician	Springer	book
29	https://doi.org/10.1007/978-3-031-40436-8_15	2023	https://doi.org/10.1007/978-3-031-40436-8_15	A Coq implementation of the program algebra in Jifeng He's new roadmap for linking theories of programming	Theories of Programming and Formal Methods	book-chapter
30	https://doi.org/10.1007/978-3-642-03359-9_26	2009	https://doi.org/10.1007/978-3-642-03359-9_26	Trace-based coinductive operational semantics for While: Big-step and small-step, relational and functional styles	TPHOLs	conference-paper
31	https://doi.org/10.1007/978-3-662-49498-1_23	2016	https://doi.org/10.1007/978-3-662-49498-1_23	Functional big-step semantics	ESOP	conference-paper
32	https://doi.org/10.1145/3498709	2022	https://doi.org/10.1145/3498709	A formal foundation for symbolic evaluation with merging	Proceedings of the ACM on Programming Languages	article
33	https://doi.org/10.3233/978-1-61499-810-5-186	2017	https://doi.org/10.3233/978-1-61499-810-5-186	K: A semantic framework for programming languages and formal analysis tools	Dependable Software Systems Engineering	book-chapter
34	https://doi.org/10.1007/978-3-030-64354-6_8	2020	https://doi.org/10.1007/978-3-030-64354-6_8	Formal analysis of smart contracts: Applying the KeY system	Deductive Software Verification: Future Perspectives	book-chapter
35	https://doi.org/10.1007/978-3-319-08918-8_29	2014	https://doi.org/10.1007/978-3-319-08918-8_29	All-path reachability logic	RTA-TLCA	conference-paper
36	https://doi.org/10.23638/LMCS-15(2:5)2019	2019	https://doi.org/10.23638/LMCS-15(2:5)2019	All-path reachability logic	Logical Methods in Computer Science	article
37	citation-37	2020		Abstract execution: Automatically proving infinitely many programs	Technische Universität Darmstadt	dissertation
38	https://doi.org/10.4204/EPTCS.137.6	2013	https://doi.org/10.4204/EPTCS.137.6	Coinductive big-step semantics for concurrency	PLACES	conference-paper
39	https://doi.org/10.1007/978-3-031-76554-4_13	2024	https://doi.org/10.1007/978-3-031-76554-4_13	Correct and complete symbolic execution for free	IFM	conference-paper
