rank	source_id	year	doi	title	venue	type
1	https://doi.org/10.1145/800191.805647	1976	https://doi.org/10.1145/800191.805647	A program testing system	ACM Annual Conference	conference-paper
2	https://doi.org/10.1145/360248.360252	1976	https://doi.org/10.1145/360248.360252	Symbolic execution and program testing	Communications of the ACM	article
3	https://doi.org/10.1145/1081706.1081750	2005	https://doi.org/10.1145/1081706.1081750	CUTE: A concolic unit testing engine for C	ESEC/FSE	conference-paper
4	https://doi.org/10.1145/1064978.1065036	2005	https://doi.org/10.1145/1064978.1065036	DART: Directed automated random testing	PLDI	conference-paper
5	citation-5	2008		KLEE: Unassisted and automatic generation of high-coverage tests for complex systems programs	OSDI	conference-paper
6	https://doi.org/10.1145/1858996.1859035	2010	https://doi.org/10.1145/1858996.1859035	Symbolic PathFinder: Symbolic execution of Java bytecode	ASE	conference-paper
7	https://doi.org/10.1007/s10009-009-0118-1	2009	https://doi.org/10.1007/s10009-009-0118-1	A survey of new trends in symbolic execution for software testing and analysis	International Journal on Software Tools for Technology Transfer	article
8	https://doi.org/10.1145/1985793.1985995	2011	https://doi.org/10.1145/1985793.1985995	Symbolic execution for software testing in practice: Preliminary assessment	ICSE	conference-paper
9	https://doi.org/10.1145/2522920.2522925	2013	https://doi.org/10.1145/2522920.2522925	Path exploration based on symbolic output	ACM Transactions on Software Engineering and Methodology	article
10	https://doi.org/10.1109/ICSE.1994.296778	1994	https://doi.org/10.1109/ICSE.1994.296778	Experiments on the effectiveness of dataflow- and controlflow-based test adequacy criteria	ICSE	conference-paper
11	citation-11	2014		Reducing test cases with causality partitions	SEKE	conference-paper
12	https://doi.org/10.1007/s10009-008-0090-1	2009	https://doi.org/10.1007/s10009-008-0090-1	Symbolic execution with abstraction	International Journal on Software Tools for Technology Transfer	article
13	https://doi.org/10.1145/1190216.1190226	2007	https://doi.org/10.1145/1190216.1190226	Compositional dynamic test generation	POPL	conference-paper
14	https://doi.org/10.1007/978-3-540-78800-3_28	2008	https://doi.org/10.1007/978-3-540-78800-3_28	Demand-driven compositional symbolic execution	TACAS	conference-paper
15	https://doi.org/10.1145/2629536	2014	https://doi.org/10.1145/2629536	Directed Incremental Symbolic Execution	ACM Transactions on Software Engineering and Methodology	article
16	https://doi.org/10.1145/1831708.1831733	2010	https://doi.org/10.1145/1831708.1831733	Exploiting program dependencies for scalable multiple-path symbolic execution	ISSTA	conference-paper
17	https://doi.org/10.1145/1831708.1831732	2010	https://doi.org/10.1145/1831708.1831732	Parallel symbolic execution for structural test generation	ISSTA	conference-paper
18	https://doi.org/10.1145/2384616.2384654	2012	https://doi.org/10.1145/2384616.2384654	Scaling symbolic execution using ranged analysis	OOPSLA	conference-paper
19	https://doi.org/10.1007/978-3-540-78800-3_27	2008	https://doi.org/10.1007/978-3-540-78800-3_27	RWset: Attacking path explosion in constraint-based test generation	TACAS	conference-paper
20	https://doi.org/10.1145/1882291.1882330	2010	https://doi.org/10.1145/1882291.1882330	Directed test suite augmentation	FSE	conference-paper
21	https://doi.org/10.1145/2786805.2786830	2015	https://doi.org/10.1145/2786805.2786830	MultiSE: Multi-path symbolic execution using value summaries	ESEC/FSE	conference-paper
22	https://doi.org/10.1145/2001420.2001422	2011	https://doi.org/10.1145/2001420.2001422	eXpress: Guided path exploration for efficient regression test generation	ISSTA	conference-paper
23	https://doi.org/10.1145/2491411.2491430	2013	https://doi.org/10.1145/2491411.2491430	Regression tests to expose change interaction errors	ESEC/FSE	conference-paper
24	https://doi.org/10.1145/2568225.2568319	2014	https://doi.org/10.1145/2568225.2568319	Property differencing for incremental checking	ICSE	conference-paper
25	https://doi.org/10.1145/2786805.2786841	2015	https://doi.org/10.1145/2786805.2786841	Assertion guided symbolic execution of multithreaded programs	ESEC/FSE	conference-paper
26	https://doi.org/10.1007/978-3-319-17524-9_23	2015	https://doi.org/10.1007/978-3-319-17524-9_23	Conflict-Directed Graph Coverage	NASA Formal Methods	conference-paper
27	citation-27	2011		Symbolic execution with mixed concrete-symbolic solving	ISSTA	conference-paper
28	https://doi.org/10.1145/2491411.2491456	2013	https://doi.org/10.1145/2491411.2491456	Z3-str: A Z3-based string solver for web application analysis	ESEC/FSE	conference-paper
29	https://doi.org/10.1145/1108792.1108817	2005	https://doi.org/10.1145/1108792.1108817	Generalizing symbolic execution to library classes	PASTE	conference-paper
30	https://doi.org/10.1109/ICSE.2013.6606649	2013	https://doi.org/10.1109/ICSE.2013.6606649	JST: An automatic test generation tool for industrial Java applications with strings	ICSE	conference-paper
31	https://doi.org/10.1007/978-3-642-20398-5_26	2011	https://doi.org/10.1007/978-3-642-20398-5_26	CORAL: Solving complex constraints for Symbolic PathFinder	NASA Formal Methods	conference-paper
32	https://doi.org/10.1145/2635868.2635889	2014	https://doi.org/10.1145/2635868.2635889	Solving complex path conditions through heuristic search on induced polytopes	FSE	conference-paper
33	https://doi.org/10.1145/2635868.2635872	2014	https://doi.org/10.1145/2635868.2635872	How we get there: A context-guided search strategy in concolic testing	FSE	conference-paper
34	https://doi.org/10.1145/2642937.2642951	2014	https://doi.org/10.1145/2642937.2642951	Targeted test input generation using symbolic-concrete backward execution	ASE	conference-paper
35	https://doi.org/10.1109/ICSE.2013.6606576	2013	https://doi.org/10.1109/ICSE.2013.6606576	Partition-based regression verification	ICSE	conference-paper
36	https://doi.org/10.1145/2642937.2642987	2014	https://doi.org/10.1145/2642937.2642987	Automating regression verification	ASE	conference-paper
37	https://doi.org/10.1145/2211616.2211622	2012	https://doi.org/10.1145/2211616.2211622	DARWIN: An approach to debugging evolving programs	ACM Transactions on Software Engineering and Methodology	article
38	https://doi.org/10.1145/1831708.1831734	2010	https://doi.org/10.1145/1831708.1831734	On test repair using symbolic execution	ISSTA	conference-paper
