rank	source_id	year	doi	title	venue	type
1	10.1007/978-3-540-73368-3_52	None	10.1007/978-3-540-73368-3_52	A Decision Procedure for Bit-Vectors and Arrays	Lecture Notes in Computer Science	book-chapter
2	10.1145/129393.129398	1992	10.1145/129393.129398	The CLP( ℛ ) language and system	ACM Transactions on Programming Languages and Systems	journal-article
3	10.1007/978-3-642-22110-1_45	2011	10.1007/978-3-642-22110-1_45	Interpolation-Based Software Verification with Wolverine	Lecture Notes in Computer Science	book-chapter
4	ref32	2012		Algorithms for software model checking: Predicate abstraction versus impact	Proc Formal Methods Comput -Aided Des	reference
5	ref31	2011		Unbounded symbolic execution for program verification	Proceedings of the 2nd International Conference on Runtime Verification	reference
6	10.1145/2491411.2491425	2013	10.1145/2491411.2491425	Boosting concolic testing via interpolation	Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering	proceedings-article
7	10.1007/978-3-642-31424-7_48	2012	10.1007/978-3-642-31424-7_48	Ufo: A Framework for Abstraction- and Interpolation-Based Software Verification	Lecture Notes in Computer Science	book-chapter
8	10.1007/978-3-642-27940-9_4	2012	10.1007/978-3-642-27940-9_4	Whale: An Interpolation-Based Algorithm for Inter-procedural Verification	Lecture Notes in Computer Science	book-chapter
9	10.1007/978-3-642-11319-2_12	2010	10.1007/978-3-642-11319-2_12	Interpolant Strength	Lecture Notes in Computer Science	book-chapter
10	ref34	2012		Wolverine:  Battling bugs with interpolants-(competition contribution)	Proc Int Conf Tools and Algorithms Constr and Anal Syst	reference
11	10.1145/2001420.2001423	2011	10.1145/2001420.2001423	Statically-directed dynamic automated test generation	Proceedings of the 2011 International Symposium on Software Testing and Analysis	proceedings-article
12	10.1145/2451116.2451152	2013	10.1145/2451116.2451152	Verifying systems rules using rule-directed symbolic execution	Proceedings of the eighteenth international conference on Architectural support for programming languages and operating systems	proceedings-article
13	10.1145/1755913.1755946	2010	10.1145/1755913.1755946	Execution synthesis	Proceedings of the 5th European conference on Computer systems	proceedings-article
14	10.1109/ICSE.2015.80	2015	10.1109/ICSE.2015.80	Regular Property Guided Dynamic Symbolic Execution	2015 IEEE/ACM 37th IEEE International Conference on Software Engineering	proceedings-article
15	10.1007/978-3-642-31424-7_61	2012	10.1007/978-3-642-31424-7_61	TRACER: A Symbolic Execution Tool for Verification	Lecture Notes in Computer Science	book-chapter
16	10.1145/1993498.1993558	2011	10.1145/1993498.1993558	Directed incremental symbolic execution	Proceedings of the 32nd ACM SIGPLAN Conference on Programming Language Design and Implementation	proceedings-article
