rank	openalex_id	year	doi	title	venue	type
1	W4396242236	2024	https://doi.org/10.1145/3649835	Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization	Proceedings of the ACM on Programming Languages	article
2	W4315631888	2023	https://doi.org/10.1145/3571209	Grisette: Symbolic Compilation as a Functional Programming Library	Proceedings of the ACM on Programming Languages	article
3	W4399851061	2024	https://doi.org/10.1145/3656415	Superfusion: Eliminating Intermediate Data Structures via Inductive Synthesis	Proceedings of the ACM on Programming Languages	article
4	W4411269341	2025	https://doi.org/10.1145/3729334	Roulette: A Language for Expressive, Exact, and Efficient Discrete Probabilistic Programming	Proceedings of the ACM on Programming Languages	article
5	W4391420835	2024	https://doi.org/10.1145/3620665.3640387	FPGA Technology Mapping Using Sketch-Guided Program Synthesis		conference-paper
6	W4388897629	2023	https://doi.org/10.1007/978-3-031-47963-2_22	Denotational Semantics for Symbolic Execution	Lecture notes in computer science	conference-paper
7	W4404278057	2024	https://doi.org/10.1007/978-3-031-76554-4_13	Correct and Complete Symbolic Execution for Free	Lecture notes in computer science	conference-paper
8	W4281750432	2022	https://doi.org/10.1145/3519939.3523732	Karp: a language for NP reductions		conference-paper
9	W4387667003	2023	https://doi.org/10.1145/3622837	A Pretty Expressive Printer	Proceedings of the ACM on Programming Languages	article
10	W4409538590	2025	https://doi.org/10.1016/j.tcs.2025.115263	Compositional symbolic execution semantics	Theoretical Computer Science	article
11	W4411260318	2025	https://doi.org/10.1145/3729303	Polygon: Symbolic Reasoning for SQL using Conflict-Driven Under-Approximation Search	Proceedings of the ACM on Programming Languages	article
12	W7163911480	2026	https://doi.org/10.1145/3808343	Categorical Semantics of Probabilistic Symbolic Execution	Proceedings of the ACM on Programming Languages	article
