rank	openalex_id	year	doi	title	venue	type
1	W30322230	2006	https://doi.org/10.4143/crt.2018.465	Combining knowledge compilation and search for conformant probabilistic planning	Cancer Research and Treatment	article
2	W89830494	2013	https://doi.org/10.1007/978-3-642-39071-5_12	A Modular Approach to MaxSAT Modulo Theories	Lecture notes in computer science	conference-paper
3	W1481397690	2018	https://doi.org/10.1007/978-3-319-10575-8_11	Satisfiability Modulo Theories		book-chapter
4	W1536305866	2002	https://doi.org/10.1007/3-540-36078-6_13	Using BDDs with Combinations of Theories	Lecture notes in computer science	conference-paper
5	W1594722104	1997	https://doi.org/10.1007/3-540-63166-6_32	Combining constraint solving and symbolic model checking for a class of systems with non-linear constraints	Lecture notes in computer science	conference-paper
6	W1751719170	1999	https://doi.org/10.1007/3-540-48168-0_9	Difference Decision Diagrams	Lecture notes in computer science	conference-paper
7	W1775889152	2011	https://doi.org/10.1613/jair.3196	Computing Small Unsatisfiable Cores in Satisfiability Modulo Theories	Journal of Artificial Intelligence Research	article
8	W1889548941	2012	https://doi.org/10.48550/arxiv.1202.3719	Inference in Probabilistic Logic Programs using Weighted CNF's	arXiv (Cornell University)	preprint
9	W1894658779	2013		Lifted Inference and Learning in Statistical Relational Models	Lirias	dissertation
10	W2039160606	2004	https://doi.org/10.1016/j.apal.2004.10.005	Zero, successor and equality in BDDs	Annals of Pure and Applied Logic	article
11	W2061438988	1992	https://doi.org/10.1016/0890-5401(92)90017-a	Symbolic model checking: 1020 States and beyond	Information and Computation	article
12	W2062818807	2007	https://doi.org/10.1016/j.artint.2007.11.002	On probabilistic inference by weighted model counting	Artificial Intelligence	article
13	W2080267935	1986	https://doi.org/10.1109/tc.1986.1676819	Graph-Based Algorithms for Boolean Function Manipulation	IEEE Transactions on Computers	article
14	W2104115705	2002	https://doi.org/10.1145/566385.566390	Boolean satisfiability with transitivity constraints	ACM Transactions on Computational Logic	article
15	W2107940672	2005	https://doi.org/10.1007/11549345_66	A BDD-Representation for the Logic of Equality and Uninterpreted Functions	Lecture notes in computer science	conference-paper
16	W2122719199	2009	https://doi.org/10.1109/fmcad.2009.5351143	Decision diagrams for linear arithmetic		conference-paper
17	W2124515106	1998	https://doi.org/10.1007/bfb0028749	BDD based procedures for a theory of equality with uninterpreted functions	Lecture notes in computer science	conference-paper
18	W2126626789	2006	https://doi.org/10.1007/11817963_39	SMT Techniques for Fast Predicate Abstraction	Lecture notes in computer science	conference-paper
19	W2159284075	2011		On the Completeness of First-Order Knowledge Compilation for Lifted Probabilistic Inference	Lirias	conference-paper
20	W2171996597	2003	https://doi.org/10.1109/sefm.2003.1236224	Light-weight theorem proving for debugging and verifying units of code		conference-paper
21	W2253447482	2015	https://doi.org/10.48550/arxiv.1504.02796	Model Counting Modulo Theories	arXiv (Cornell University)	preprint
22	W2611009622	2000		Equational binary decision diagrams	Centrum Wiskunde & Informatica (CWI), the national research institute for mathematics and computer science in the Netherlands	conference-paper
23	W2741018875	2017	https://doi.org/10.24963/ijcai.2017/100	Efficient Weighted Model Integration via SMT-Based Predicate Abstraction		conference-paper
24	W2904757977	2019	https://doi.org/10.1609/aaai.v33i01.33017825	Exact and Approximate Weighted Model Integration with Probability Density Functions Using Knowledge Compilation	Proceedings of the AAAI Conference on Artificial Intelligence	conference-paper
25	W2937129136	2019	https://doi.org/10.1016/j.artint.2019.04.003	Advanced SMT techniques for weighted model integration	Artificial Intelligence	article
26	W2951699500	2016	https://doi.org/10.1609/aaai.v30i1.10107	SDDs Are Exponentially More Succinct than OBDDs		article
27	W2966456993	2019		How to Exploit Structure while Solving Weighted Model Integration Problems.	Lirias	conference-paper
28	W3099451540	2002		A Knowledge Compilation Map		article
29	W3143773890	2010	https://doi.org/10.1109/date.2010.5457090	Tighter integration of BDDs and SMT for Predicate Abstraction		conference-paper
30	W4235626864	2007	https://doi.org/10.1109/famcad.2007.35	Computing Predicate Abstractions by Integrating BDDs and SMT Solvers		conference-paper
31	W4283723512	2022	https://doi.org/10.48550/arxiv.2206.13856	SMT-based Weighted Model Integration with Structure Awareness	Lirias	conference-paper
32	W4379958492	2023	https://doi.org/10.48550/arxiv.2306.04541	Top-Down Knowledge Compilation for Counting Modulo Theories	arXiv (Cornell University)	preprint
33	W4391068108	2024	https://doi.org/10.1016/j.artint.2024.104067	Enhancing SMT-based Weighted Model Integration by structure awareness	Artificial Intelligence	article
34	W4393153254	2024	https://doi.org/10.1609/aaai.v38i8.28652	Disjoint Partial Enumeration without Blocking Clauses	Proceedings of the AAAI Conference on Artificial Intelligence	conference-paper
