rank	openalex_id	year	doi	title	venue	type
1	W2758227629	2017	https://doi.org/10.1109/csf.2017.8	Synthesis of Adaptive Side-Channel Attacks		conference-paper
2	W2604497631	2017	https://doi.org/10.1007/978-3-319-57288-8_9	Model-Counting Approaches for Nonlinear Numerical Constraints	Lecture notes in computer science	conference-paper
3	W2863410800	2018	https://doi.org/10.1109/eurosp.2018.00029	Online Synthesis of Adaptive Side-Channel Attacks Based On Noisy Observations		conference-paper
4	W2937129136	2019	https://doi.org/10.1016/j.artint.2019.04.003	Advanced SMT techniques for weighted model integration	Artificial Intelligence	article
5	W4409921792	2025	https://doi.org/10.1016/j.artint.2025.104346	Disjoint projected enumeration for SAT and SMT without blocking clauses	Artificial Intelligence	article
6	W4404706341	2024	https://doi.org/10.1007/978-3-031-77382-2_23	Automated Invariant Generation for Efficient Deductive Reasoning About Embedded Systems	Lecture notes in computer science	conference-paper
7	W4412376392	2025	https://doi.org/10.1613/jair.1.16870	On CNF Conversion for SAT and SMT Enumeration	Journal of Artificial Intelligence Research	article
8	W3023037516	2020	https://doi.org/10.1142/s0218194020500163	Automated Test Input Generation via Model Inference Based on User Story and Acceptance Criteria for Mobile Application Development	International Journal of Software Engineering and Knowledge Engineering	article
9	W4401713891	2024	https://doi.org/10.1007/978-3-031-68150-9_1	Safe Linear Encoding of Vehicle Dynamics for the Instantiation of Abstract Scenarios	Lecture notes in computer science	conference-paper
10	W4415282550	2025	https://doi.org/10.1007/s10009-025-00827-9	Correct-by-construction instantiation of abstract scenarios	International Journal on Software Tools for Technology Transfer	article
11	W2921284698	2019	https://doi.org/10.1587/transinf.2019edp7132	Quantifying Dynamic Leakage - Complexity Analysis and Model Counting-based Calculation -	IEICE Transactions on Information and Systems	article
12	W2560313048	2016	https://doi.org/10.5121/csit.2016.61304	Model Checkers - Tools and Languages for System Design - A Survey		conference-paper
13	W2253447482	2015	https://doi.org/10.48550/arxiv.1504.02796	Model Counting Modulo Theories	arXiv (Cornell University)	preprint
14	W4320721007	2023	https://doi.org/10.48550/arxiv.2302.05402	A Survey on Cyber-Resilience Approaches for Cyber-Physical Systems	HAL (Le Centre pour la Communication Scientifique Directe)	preprint
15	W3034167257	2019	https://doi.org/10.1109/icd47981.2019.9105761	Notice of Violation of IEEE Publication Principles: Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria		conference-paper
16	W3162657350	2021	https://doi.org/10.1007/978-981-15-1358-9_5	Towards Practically Applicable Quantitative Information Flow Analysis		book-chapter
17	W4240276632	2016	https://doi.org/10.5121/csit.2016.61300	Computer Science &amp; Information Technology ( CS &amp; IT )		paratext
18	W4322485536	2023	https://doi.org/10.1007/978-3-031-26066-7_42	Scalable Design Space Exploration for the Synthesis of Redundant Architectures	Lecture notes in electrical engineering	conference-paper
19	W4403675700	2024	https://doi.org/10.1109/et63133.2024.10721483	Impact of Multi-Threading on All-SMT Solving		conference-paper
20	W4412897516	2025	https://doi.org/10.1007/978-3-031-99984-0_37	Entailment vs. Verification for Partial-Assignment Satisfiability and Enumeration	Lecture notes in computer science	conference-paper
21	W4412955610	2025	https://doi.org/10.1145/3759251	Deductive Verification of Cooperative RTOS Applications	ACM Transactions on Embedded Computing Systems	article
22	W7165741854	2026	https://doi.org/10.1007/s10270-026-01389-3	Deductive reasoning about embedded systems using reachable abstract states invariants	Software & Systems Modeling	article
